Version,ClassName,LinesOfCode,AddedLOC,MaxAddedLOC,AvgAddedLOC,TouchedLOC,Churn,MaxChurn,AvgChurn,NumberOfAuthors,Buggy
0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,137,235,137,2.5543478,333,137,137,1.4891304,2,False
0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,244,332,244,3.6086957,428,236,244,2.5652175,2,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1026,1727,1026,18.77174,1947,1507,1026,16.380434,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,92,132,92,1.4347826,161,103,92,1.1195652,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,180,207,180,2.25,222,192,180,2.0869565,2,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,471,617,471,6.7065215,779,455,471,4.945652,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,204,290,204,3.152174,296,284,204,3.0869565,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,551,636,551,6.9130435,706,566,551,6.152174,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,149,184,149,2.0,203,165,149,1.7934783,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,157,170,157,1.8478261,177,163,157,1.7717391,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,147,147,147,1.5978261,147,147,147,1.5978261,1,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,137,280,137,3.0434783,412,148,137,1.6086956,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,271,302,271,3.2826087,311,293,271,3.1847825,3,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,548,1178,548,12.804348,1670,686,548,7.4565215,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,728,945,728,10.271739,1148,742,728,8.065217,2,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,205,213,205,2.3152175,220,206,205,2.2391305,2,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,50,53,50,0.57608694,56,50,50,0.54347825,2,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,185,208,185,2.2608695,230,186,185,2.0217392,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,61,66,61,0.7173913,71,61,61,0.6630435,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java,157,200,157,2.173913,253,147,157,1.5978261,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java,81,93,81,1.0108696,104,82,81,0.8913044,3,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,84,134,84,1.4565217,183,85,84,0.92391306,2,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java,762,1677,762,18.22826,2377,977,762,10.619565,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,248,338,248,3.673913,378,298,248,3.2391305,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,169,261,169,2.8369565,324,198,169,2.152174,3,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,196,242,196,2.6304348,270,214,196,2.326087,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,67,76,67,0.82608694,85,67,67,0.7282609,3,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,165,209,165,2.2717392,226,192,165,2.0869565,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,173,196,173,2.1304348,216,176,173,1.9130435,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,103,129,103,1.4021739,153,105,103,1.1413044,2,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,78,78,78,0.84782606,78,78,78,0.84782606,1,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,87,88,87,0.95652175,89,87,87,0.9456522,2,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,85,86,85,0.9347826,87,85,85,0.92391306,2,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,105,150,105,1.6304348,151,149,105,1.6195652,1,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,216,224,216,2.4347825,232,216,216,2.347826,2,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,377,397,377,4.3152175,417,377,377,4.097826,2,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,253,257,253,2.7934783,259,255,253,2.7717392,1,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,193,193,193,2.097826,193,193,193,2.097826,1,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,514,514,514,5.5869565,514,514,514,5.5869565,1,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,204,204,204,2.2173913,204,204,204,2.2173913,1,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,144,144,144,1.5652174,144,144,144,1.5652174,1,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,98,98,98,1.0652174,98,98,98,1.0652174,1,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,181,206,181,2.2391305,228,184,181,2.0,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,154,241,154,2.6195652,249,233,154,2.5326087,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,393,673,393,7.3152175,769,577,393,6.271739,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,132,214,132,2.326087,221,207,132,2.25,3,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,533,568,533,6.173913,591,545,533,5.923913,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,603,713,603,7.75,793,633,603,6.880435,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,148,148,148,1.6086956,148,148,148,1.6086956,1,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,174,185,174,2.0108695,195,175,174,1.9021739,2,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,148,159,148,1.7282609,169,149,148,1.6195652,2,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,92,163,92,1.7717391,905,-579,92,-6.2934785,3,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,234,463,234,5.0326085,667,259,234,2.8152175,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,54,59,54,0.6413044,64,54,54,0.5869565,3,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,38,43,38,0.4673913,48,38,38,0.41304347,2,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,98,102,98,1.1086956,106,98,98,1.0652174,2,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,39,50,39,0.54347825,60,40,39,0.4347826,2,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,69,73,69,0.79347825,102,44,69,0.47826087,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,94,94,94,1.0217391,94,94,94,1.0217391,1,True
0,hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,72,72,72,0.7826087,72,72,72,0.7826087,1,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,42,42,42,0.45652175,42,42,42,0.45652175,1,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,48,56,48,0.6086956,64,48,48,0.5217391,2,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,63,67,63,0.7282609,71,63,63,0.6847826,2,True
0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,237,257,237,2.7934783,277,237,237,2.576087,2,True
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,133,139,133,1.5108696,145,133,133,1.4456521,2,True
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,137,151,137,1.6413044,164,138,137,1.5,2,True
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,177,182,177,1.9782609,186,178,177,1.9347826,2,True
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,46,47,46,0.51086956,48,46,46,0.5,2,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java,128,138,128,1.5,147,129,128,1.4021739,3,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,149,153,149,1.6630435,156,150,149,1.6304348,2,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,58,59,58,0.6413044,60,58,58,0.6304348,2,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,149,152,149,1.6521739,155,149,149,1.6195652,2,True
0,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,74,78,74,0.84782606,82,74,74,0.8043478,2,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java,37,37,37,0.4021739,37,37,37,0.4021739,1,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,38,40,38,0.4347826,42,38,38,0.41304347,2,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java,39,40,39,0.4347826,41,39,39,0.42391303,2,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,96,108,96,1.173913,119,97,96,1.0543479,2,True
0,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,88,92,88,1.0,95,89,88,0.9673913,2,False
