VersionNumber,ClassName,LinesOfCode,AddedLOC,MaxAddedLOC,AvgAddedLOC,TouchedLOC,Churn,MaxChurn,AvgChurn,NumberOfAuthors,NumberOfRevisions,NumberOfDefectsFixed,Buggy
0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java,137.0,235.0,137.0,58.75,333.0,139.0,137.0,34.75,2,4,0,False
0,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java,244.0,332.0,244.0,66.4,428.0,254.0,244.0,50.8,2,5,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java,1026.0,1727.0,1026.0,123.35714,1947.0,1507.0,1026.0,107.64286,3,14,0,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java,92.0,132.0,92.0,44.0,161.0,103.0,92.0,34.333332,3,3,0,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,180.0,207.0,180.0,51.75,222.0,192.0,180.0,48.0,2,4,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java,471.0,617.0,471.0,68.55556,779.0,535.0,471.0,59.444443,3,9,0,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java,204.0,290.0,204.0,58.0,296.0,284.0,204.0,56.8,3,5,0,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java,551.0,636.0,551.0,90.85714,706.0,572.0,551.0,81.71429,3,7,0,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java,149.0,184.0,149.0,36.8,203.0,165.0,149.0,33.0,3,5,0,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,157.0,170.0,157.0,56.666668,177.0,163.0,157.0,54.333332,3,3,0,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,1,1,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java,137.0,280.0,137.0,56.0,412.0,152.0,137.0,30.4,3,5,0,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java,271.0,302.0,271.0,75.5,311.0,293.0,271.0,73.25,3,4,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java,548.0,1178.0,548.0,130.88889,1670.0,686.0,548.0,76.22222,3,9,0,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java,728.0,945.0,728.0,157.5,1148.0,896.0,728.0,149.33333,2,6,0,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java,205.0,213.0,205.0,53.25,220.0,206.0,205.0,51.5,2,4,0,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,50.0,53.0,50.0,26.5,56.0,50.0,50.0,25.0,2,2,0,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java,185.0,208.0,185.0,41.6,230.0,186.0,185.0,37.2,3,5,0,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,61.0,66.0,61.0,22.0,71.0,61.0,61.0,20.333334,3,3,0,True
