TrainingRelease,ClassifierName,FilterName,SamplerName,SensitiveLearning,Precision,Recall,ROC_AUC,Kappa,TruePositive,FalsePositive,TrueNegative,FalseNegative
0,RandomForest,false,NotSet,false,NaN,0.0,0.5,0.0,0.0,0.0,138.0,89.0
0,NaiveBayes,false,NotSet,false,0.08196721311475409,0.056179775280898875,0.2039163002768279,-0.3703001034839601,5.0,56.0,82.0,84.0
0,IBk,false,NotSet,false,NaN,0.0,0.5157547630679042,0.0,0.0,0.0,138.0,89.0
0,RandomForest,true,NotSet,false,NaN,0.0,0.5,0.0,0.0,0.0,138.0,89.0
0,NaiveBayes,true,NotSet,false,NaN,0.0,0.3432665689627097,0.0,0.0,0.0,138.0,89.0
0,IBk,true,NotSet,false,NaN,0.0,0.6527438527927047,0.0,0.0,0.0,138.0,89.0
0,RandomForest,false,Over,false,NaN,0.0,0.5,0.0,0.0,0.0,138.0,89.0
0,NaiveBayes,false,Over,false,0.14473684210526316,0.12359550561797752,0.20530043966780653,-0.3566681991056128,11.0,65.0,73.0,78.0
0,IBk,false,Over,false,NaN,0.0,0.7081908483960268,0.0,0.0,0.0,138.0,89.0
0,RandomForest,false,Under,false,NaN,0.0,0.5,0.0,0.0,0.0,138.0,89.0
0,NaiveBayes,false,Under,false,0.08196721311475409,0.056179775280898875,0.2039163002768279,-0.3703001034839601,5.0,56.0,82.0,84.0
0,IBk,false,Under,false,NaN,0.0,0.5157547630679042,0.0,0.0,0.0,138.0,89.0
0,RandomForest,false,SMOTE,false,NaN,0.0,0.5,0.0,0.0,0.0,138.0,89.0
0,NaiveBayes,false,SMOTE,false,0.08196721311475409,0.056179775280898875,0.2039163002768279,-0.3703001034839601,5.0,56.0,82.0,84.0
0,IBk,false,SMOTE,false,NaN,0.0,0.5157547630679042,0.0,0.0,0.0,138.0,89.0
0,RandomForest,true,Over,false,NaN,0.0,0.5,0.0,0.0,0.0,138.0,89.0
0,NaiveBayes,true,Over,false,NaN,0.0,0.3336590131900342,0.0,0.0,0.0,138.0,89.0
0,IBk,true,Over,false,NaN,0.0,0.6026705748249471,0.0,0.0,0.0,138.0,89.0
0,RandomForest,true,Under,false,NaN,0.0,0.5,0.0,0.0,0.0,138.0,89.0
0,NaiveBayes,true,Under,false,NaN,0.0,0.3432665689627097,0.0,0.0,0.0,138.0,89.0
0,IBk,true,Under,false,NaN,0.0,0.6527438527927047,0.0,0.0,0.0,138.0,89.0
0,RandomForest,true,SMOTE,false,NaN,0.0,0.5,0.0,0.0,0.0,138.0,89.0
0,NaiveBayes,true,SMOTE,false,NaN,0.0,0.3432665689627097,0.0,0.0,0.0,138.0,89.0
0,IBk,true,SMOTE,false,NaN,0.0,0.6527438527927047,0.0,0.0,0.0,138.0,89.0
0,RandomForest,false,NotSet,true,NaN,0.0,0.5,0.0,0.0,0.0,138.0,89.0
0,NaiveBayes,false,NotSet,true,0.08196721311475409,0.056179775280898875,0.2039163002768279,-0.3703001034839601,5.0,56.0,82.0,84.0
0,IBk,false,NotSet,true,NaN,0.0,0.5157547630679042,0.0,0.0,0.0,138.0,89.0
0,RandomForest,true,NotSet,true,NaN,0.0,0.5,0.0,0.0,0.0,138.0,89.0
0,NaiveBayes,true,NotSet,true,NaN,0.0,0.3432665689627097,0.0,0.0,0.0,138.0,89.0
0,IBk,true,NotSet,true,NaN,0.0,0.6527438527927047,0.0,0.0,0.0,138.0,89.0
1,RandomForest,false,NotSet,false,0.3333333333333333,0.014084507042253521,0.6497652582159624,0.008677173720559737,1.0,2.0,238.0,70.0
1,NaiveBayes,false,NotSet,false,0.3137254901960784,0.22535211267605634,0.43770539906103284,0.08827361563517915,16.0,35.0,205.0,55.0
1,IBk,false,NotSet,false,0.3333333333333333,0.056338028169014086,0.571537558685446,0.032518976315898306,4.0,8.0,232.0,67.0
1,RandomForest,true,NotSet,false,0.5,0.028169014084507043,0.6487089201877935,0.029705145669464198,2.0,2.0,238.0,69.0
1,NaiveBayes,true,NotSet,false,0.4,0.14084507042253522,0.4156983568075117,0.10149775716566575,10.0,15.0,225.0,61.0
1,IBk,true,NotSet,false,0.4166666666666667,0.07042253521126761,0.6457159624413146,0.05831847028080787,5.0,7.0,233.0,66.0
1,RandomForest,false,Over,false,0.5,0.07042253521126761,0.6509976525821596,0.07109503176138982,5.0,5.0,235.0,66.0
1,NaiveBayes,false,Over,false,0.23076923076923078,0.4225352112676056,0.44014084507042256,0.004540192050123739,30.0,100.0,140.0,41.0
1,IBk,false,Over,false,0.2857142857142857,0.056338028169014086,0.5218016431924882,0.020452407248333214,4.0,10.0,230.0,67.0
1,RandomForest,false,Under,false,0.35064935064935066,0.38028169014084506,0.64231220657277,0.1669801105602099,27.0,50.0,190.0,44.0
1,NaiveBayes,false,Under,false,0.3939393939393939,0.18309859154929578,0.4870011737089202,0.12293007448116253,13.0,20.0,220.0,58.0
1,IBk,false,Under,false,0.2692307692307692,0.19718309859154928,0.5210974178403756,0.04289092617188769,14.0,38.0,202.0,57.0
1,RandomForest,false,SMOTE,false,0.29411764705882354,0.07042253521126761,0.6418427230046948,0.02789132002885288,5.0,12.0,228.0,66.0
