TrainingRelease,ClassifierName,FilterName,SamplerName,SensitiveLearning,Precision,Recall,ROC_AUC,Kappa,TruePositive,FalsePositive,TrueNegative,FalseNegative,Npofb20
1,NaiveBayes,false,NONE,true,0,0,0.49645390070922,-0.00878582009500938,0,1,140,86,0.341176470588235
1,NaiveBayes,false,NONE,false,NaN,0,0.345827148276431,0,0,0,141,86,0.235294117647059
1,NaiveBayes,false,Oversampling,true,NaN,0,0.5,0,0,0,141,86,0.341176470588235
1,NaiveBayes,false,Oversampling,false,NaN,0,0.549604156358238,0,0,0,141,86,0.223529411764706
1,NaiveBayes,false,Smote,true,0,0,0.49645390070922,-0.00878582009500938,0,1,140,86,0.341176470588235
1,NaiveBayes,false,Smote,false,NaN,0,0.345827148276431,0,0,0,141,86,0.235294117647059
1,NaiveBayes,false,Undersampling,true,0,0,0.49645390070922,-0.00878582009500938,0,1,140,86,0.341176470588235
1,NaiveBayes,false,Undersampling,false,NaN,0,0.345827148276431,0,0,0,141,86,0.235294117647059
1,NaiveBayes,true,NONE,true,0.0655737704918033,0.0465116279069768,0.32112815437902,-0.379245530445426,4,57,84,82,0.341176470588235
1,NaiveBayes,true,NONE,false,0.0655737704918033,0.0465116279069768,0.192314035955797,-0.379245530445426,4,57,84,82,0.105882352941176
1,NaiveBayes,true,Oversampling,true,NaN,0,0.5,0,0,0,141,86,0.341176470588235
1,NaiveBayes,true,Oversampling,false,NaN,0,0.274492825333993,0,0,0,141,86,0.0352941176470588
1,NaiveBayes,true,Smote,true,0.0655737704918033,0.0465116279069768,0.32112815437902,-0.379245530445426,4,57,84,82,0.341176470588235
1,NaiveBayes,true,Smote,false,0.0655737704918033,0.0465116279069768,0.192314035955797,-0.379245530445426,4,57,84,82,0.105882352941176
1,NaiveBayes,true,Undersampling,true,0.0655737704918033,0.0465116279069768,0.32112815437902,-0.379245530445426,4,57,84,82,0.341176470588235
1,NaiveBayes,true,Undersampling,false,0.0655737704918033,0.0465116279069768,0.191942932541646,-0.379245530445426,4,57,84,82,0.105882352941176
2,NaiveBayes,false,NONE,true,0.186440677966102,0.183333333333333,0.496049136786189,-0.00795215342978393,11,48,203,49,0.2
2,NaiveBayes,false,NONE,false,0.31578947368421,0.1,0.362250996015936,0.0651442415541301,6,13,238,54,0.183333333333333
2,NaiveBayes,false,Oversampling,true,0.164383561643836,0.2,0.478486055776892,-0.0397509431647397,12,61,190,48,0.183333333333333
2,NaiveBayes,false,Oversampling,false,0.291666666666667,0.116666666666667,0.338545816733068,0.0634142144209261,7,17,234,53,0.233333333333333
2,NaiveBayes,false,Smote,true,0.152542372881356,0.3,0.450796812749004,-0.0719452400601972,18,100,151,42,0.283333333333333
2,NaiveBayes,false,Smote,false,0.285714285714286,0.166666666666667,0.377025232403718,0.0797001380942985,10,25,226,50,0.2
2,NaiveBayes,false,Undersampling,true,0.385714285714286,0.45,0.639342629482072,0.262066812363409,27,43,208,33,0.25
2,NaiveBayes,false,Undersampling,false,0.481481481481481,0.433333333333333,0.729747675962815,0.334506799199282,26,28,223,34,0.254237288135593
2,NaiveBayes,true,NONE,true,0.130081300813008,0.533333333333333,0.340371845949535,-0.146482649361728,32,214,37,28,0.2
