@relation openjpa_training_4

@attribute LinesOfCode numeric
@attribute AddedLOC numeric
@attribute MaxAddedLOC numeric
@attribute AvgAddedLOC numeric
@attribute TouchedLOC numeric
@attribute Churn numeric
@attribute MaxChurn numeric
@attribute AvgChurn numeric
@attribute NumberOfAuthors numeric
@attribute NumberOfRevisions numeric
@attribute NumberOfDefectsFixed numeric
@attribute Buggy {'True', 'False'}

@data
62.0,62.0,62.0,31.0,62.0,62.0,62.0,31.0,1,2,0,False
100.0,100.0,100.0,50.0,100.0,100.0,100.0,50.0,1,2,0,False
211.0,215.0,211.0,53.75,218.0,212.0,211.0,53.0,2,4,0,False
257.0,259.0,257.0,86.333336,261.0,257.0,257.0,85.666664,2,3,0,False
147.0,151.0,147.0,37.75,154.0,148.0,147.0,37.0,2,4,0,False
50.0,51.0,50.0,17.0,51.0,51.0,50.0,17.0,1,3,0,False
603.0,612.0,603.0,204.0,627.0,609.0,603.0,203.0,2,3,0,False
873.0,900.0,873.0,128.57143,954.0,906.0,873.0,129.42857,3,7,0,False
52.0,59.0,52.0,19.666666,64.0,54.0,52.0,18.0,2,3,0,False
58.0,58.0,58.0,29.0,58.0,58.0,58.0,29.0,1,2,0,False
158.0,158.0,158.0,79.0,158.0,158.0,158.0,79.0,1,2,0,False
61.0,61.0,61.0,20.333334,65.0,65.0,61.0,21.666666,1,3,0,False
135.0,135.0,135.0,67.5,135.0,135.0,135.0,67.5,1,2,0,False
189.0,189.0,189.0,94.5,189.0,189.0,189.0,94.5,1,2,0,False
376.0,412.0,376.0,137.33333,456.0,384.0,376.0,128.0,1,3,0,False
259.0,273.0,259.0,68.25,290.0,262.0,259.0,65.5,2,4,0,False
32.0,32.0,32.0,16.0,32.0,32.0,32.0,16.0,1,2,0,False
243.0,254.0,243.0,63.5,255.0,253.0,243.0,63.25,2,4,0,False
42.0,42.0,42.0,21.0,42.0,42.0,42.0,21.0,1,2,0,False
126.0,129.0,126.0,32.25,133.0,127.0,126.0,31.75,2,4,0,False
58.0,61.0,58.0,20.333334,64.0,58.0,58.0,19.333334,2,3,0,False
168.0,169.0,168.0,56.333332,170.0,168.0,168.0,56.0,2,3,0,False
172.0,182.0,172.0,45.5,184.0,180.0,172.0,45.0,2,4,0,False
322.0,465.0,322.0,66.42857,571.0,369.0,322.0,52.714287,3,7,0,False
46.0,46.0,46.0,23.0,46.0,46.0,46.0,23.0,1,2,0,False
38.0,38.0,38.0,19.0,38.0,38.0,38.0,19.0,1,2,0,False
96.0,97.0,96.0,24.25,108.0,106.0,96.0,26.5,2,4,0,False
1383.0,1645.0,1383.0,164.5,1982.0,1484.0,1383.0,148.4,3,10,0,False
628.0,718.0,628.0,119.666664,816.0,636.0,628.0,106.0,2,6,0,True
43.0,43.0,43.0,21.5,43.0,43.0,43.0,21.5,1,2,0,False
455.0,464.0,455.0,154.66667,475.0,457.0,455.0,152.33333,2,3,0,False
360.0,364.0,360.0,121.333336,377.0,369.0,360.0,123.0,2,3,0,False
217.0,217.0,217.0,108.5,217.0,217.0,217.0,108.5,1,2,0,False
441.0,452.0,441.0,113.0,467.0,445.0,441.0,111.25,3,4,0,True
177.0,177.0,177.0,88.5,177.0,177.0,177.0,88.5,1,2,0,True
44.0,44.0,44.0,22.0,44.0,44.0,44.0,22.0,1,2,0,False
127.0,138.0,127.0,34.5,151.0,129.0,127.0,32.25,1,4,0,False
70.0,75.0,70.0,25.0,80.0,70.0,70.0,23.333334,2,3,0,False
128.0,128.0,128.0,42.666668,129.0,129.0,128.0,43.0,1,3,0,False
257.0,260.0,257.0,65.0,269.0,263.0,257.0,65.75,2,4,0,False
156.0,158.0,156.0,52.666668,170.0,166.0,156.0,55.333332,2,3,0,False
625.0,628.0,625.0,157.0,631.0,625.0,625.0,156.25,1,4,0,False
40.0,40.0,40.0,20.0,40.0,40.0,40.0,20.0,1,2,0,False
200.0,200.0,200.0,100.0,200.0,200.0,200.0,100.0,1,2,0,False
45.0,47.0,45.0,15.666667,57.0,53.0,45.0,17.666666,2,3,0,False
74.0,99.0,74.0,19.8,110.0,88.0,74.0,17.6,2,5,0,False
193.0,225.0,193.0,37.5,256.0,194.0,193.0,32.333332,2,6,0,False
33.0,33.0,33.0,16.5,33.0,33.0,33.0,16.5,1,2,0,False
91.0,104.0,91.0,26.0,117.0,91.0,91.0,22.75,2,4,0,False
33.0,33.0,33.0,16.5,33.0,33.0,33.0,16.5,1,2,0,False
180.0,205.0,180.0,51.25,228.0,182.0,180.0,45.5,2,4,0,False
40.0,41.0,40.0,13.666667,42.0,40.0,40.0,13.333333,2,3,0,False
79.0,90.0,79.0,22.5,101.0,79.0,79.0,19.75,2,4,0,False
80.0,88.0,80.0,22.0,97.0,81.0,80.0,20.25,2,4,0,False
134.0,151.0,134.0,37.75,168.0,134.0,134.0,33.5,2,4,0,False
101.0,116.0,101.0,29.0,131.0,101.0,101.0,25.25,2,4,0,False
173.0,206.0,173.0,41.2,236.0,176.0,173.0,35.2,2,5,0,False
204.0,235.0,204.0,47.0,273.0,211.0,204.0,42.2,2,5,0,False
83.0,88.0,83.0,29.333334,93.0,83.0,83.0,27.666666,2,3,0,False
76.0,86.0,76.0,21.5,97.0,77.0,76.0,19.25,2,4,0,False
185.0,197.0,185.0,49.25,202.0,192.0,185.0,48.0,2,4,0,False
62.0,62.0,62.0,20.666666,66.0,66.0,62.0,22.0,2,3,0,False
46.0,46.0,46.0,23.0,46.0,46.0,46.0,23.0,1,2,0,False
54.0,55.0,54.0,13.75,57.0,55.0,54.0,13.75,2,4,0,False
70.0,73.0,70.0,24.333334,76.0,70.0,70.0,23.333334,2,3,0,False
44.0,44.0,44.0,14.666667,48.0,48.0,44.0,16.0,2,3,0,False
55.0,62.0,55.0,15.5,71.0,57.0,55.0,14.25,2,4,0,False
202.0,224.0,202.0,56.0,246.0,202.0,202.0,50.5,2,4,0,False
75.0,83.0,75.0,27.666666,91.0,75.0,75.0,25.0,2,3,0,False
72.0,75.0,72.0,18.75,89.0,83.0,72.0,20.75,2,4,0,False
237.0,279.0,237.0,46.5,316.0,242.0,237.0,40.333332,2,6,0,False
103.0,103.0,103.0,51.5,103.0,103.0,103.0,51.5,1,2,0,False
101.0,106.0,101.0,35.333332,111.0,101.0,101.0,33.666668,2,3,0,False
80.0,80.0,80.0,40.0,80.0,80.0,80.0,40.0,1,2,0,False
213.0,213.0,213.0,213.0,213.0,213.0,213.0,213.0,1,1,0,False
181.0,204.0,181.0,51.0,229.0,183.0,181.0,45.75,2,4,0,False
30.0,37.0,30.0,18.5,43.0,31.0,30.0,15.5,1,2,0,False
175.0,196.0,175.0,39.2,218.0,176.0,175.0,35.2,2,5,0,True
44.0,44.0,44.0,22.0,44.0,44.0,44.0,22.0,1,2,0,False
79.0,94.0,79.0,23.5,109.0,79.0,79.0,19.75,2,4,0,False
44.0,44.0,44.0,22.0,44.0,44.0,44.0,22.0,1,2,0,False
164.0,196.0,164.0,39.2,226.0,168.0,164.0,33.6,2,5,0,False
152.0,163.0,152.0,27.166666,175.0,153.0,152.0,25.5,2,6,0,False
71.0,83.0,71.0,20.75,96.0,72.0,71.0,18.0,2,4,0,False
71.0,82.0,71.0,20.5,94.0,72.0,71.0,18.0,2,4,0,False
42.0,42.0,42.0,21.0,42.0,42.0,42.0,21.0,1,2,0,False
