Version,ClassName,LinesOfCode,AddedLOC,MaxAddedLOC,AvgAddedLOC,TouchedLOC,Churn,MaxChurn,AvgChurn,NumberOfAuthors,NumberOfRevisions,NumberOfDefectsFixed,Buggy
0,openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/kernel/JDBC3SavepointManager.java,62,62,62,31.0,62,62,62,31.0,1,2,0,False
0,openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/meta/strats/EnumValueHandler.java,100,100,100,50.0,100,100,100,50.0,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/MappingToolTask.java,211,215,211,53.75,218,212,211,53.0,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java,257,259,257,86.333336,261,257,257,85.666664,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/SchemaToolTask.java,147,151,147,37.75,154,148,147,37.0,2,4,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/FetchModeValue.java,50,51,50,17.0,51,51,50,17.0,1,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfiguration.java,603,612,603,204.0,627,609,603,203.0,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java,873,900,873,128.57143,954,906,873,129.42857,3,7,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCProductDerivation.java,52,59,52,19.666666,64,54,52,18.0,2,3,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCSeqValue.java,58,58,58,29.0,58,58,58,29.0,1,2,0,False
0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/MappingFactoryValue.java,158,158,158,79.0,158,158,158,79.0,1,2,0,False
