ID,SIZE,PREDICTED,ACTUAL
0,212,0.001196534466687701,NO
1,274,0.9523292832495688,NO
2,461,0.001196534466687701,YES
3,138,0.001196534466687701,NO
4,358,2.3976591442641717E-4,NO
5,1272,0.9998800882920463,YES
6,51,1.3323168082870685E-4,NO
7,45,0.5,NO
8,157,5.989839382709841E-4,NO
9,31,1.199117079535165E-4,NO
10,1406,0.001196534466687701,YES
11,55,2.996714675313014E-4,NO
12,204,3.9948214777408447E-4,NO
13,55,2.996714675313014E-4,NO
14,103,2.3976591442641717E-4,NO
15,34,5.989839382709841E-4,NO
16,83,0.6666400174900893,NO
17,285,0.001196534466687701,NO
18,83,0.6666400174900893,NO
19,129,0.001196534466687701,NO
20,867,5.989839382709841E-4,YES
21,380,0.001196534466687701,NO
22,40,2.996714675313014E-4,NO
23,387,0.001196534466687701,YES
24,390,0.001196534466687701,NO
25,51,1.3323168082870685E-4,NO
26,637,5.989839382709841E-4,YES
27,32,1.4988064871960705E-4,NO
28,68,3.9948214777408447E-4,YES
29,547,5.989839382709841E-4,YES
30,566,0.001196534466687701,NO
31,314,0.001196534466687701,YES
32,907,0.001196534466687701,YES
33,275,0.001196534466687701,NO
34,31,1.199117079535165E-4,NO
35,50,8.565708927415362E-5,NO
36,27,4.612669522003692E-5,NO
37,175,2.996714675313014E-4,NO
38,50,8.565708927415362E-5,NO
39,62,7.495155814796129E-5,NO
40,87,5.989839382709841E-4,NO
41,52,3.9948214777408447E-4,NO
42,373,3.9948214777408447E-4,NO
43,224,3.9948214777408447E-4,NO
44,118,0.001196534466687701,YES
45,83,0.001196534466687701,NO
46,147,1.4988064871960705E-4,NO
47,58,0.45455041022297477,NO
48,44,1.712848350274967E-4,NO
49,106,0.5263124674423396,NO
50,238,0.9998800882920463,NO
51,43,2.996714675313014E-4,NO
52,185,0.001196534466687701,YES
53,189,5.989839382709841E-4,NO
54,151,2.996714675313014E-4,NO
55,364,0.9998800882920463,NO
56,910,0.001196534466687701,NO
57,889,0.001196534466687701,NO
58,43,0.001196534466687701,NO
59,325,0.9998800882920463,NO
60,27,4.612669522003692E-5,NO
61,55,2.996714675313014E-4,NO
62,93,0.001196534466687701,NO
63,191,1.9982089876885258E-4,NO
64,90,1.199117079535165E-4,NO
65,89,0.001196534466687701,NO
66,272,5.989839382709841E-4,NO
67,152,0.001196534466687701,NO
68,90,1.199117079535165E-4,YES
69,82,5.989839382709841E-4,NO
70,148,0.9998800882920463,NO
71,421,0.9998800882920463,YES
72,1190,0.001196534466687701,YES
73,528,0.001196534466687701,YES
74,205,0.9998800882920463,YES
75,190,1.4988064871960705E-4,NO
76,86,1.712848350274967E-4,NO
77,212,0.9998800882920463,NO
78,404,0.9998800882920463,NO
79,572,0.001196534466687701,NO
80,132,0.001196534466687701,NO
81,168,0.9998800882920463,NO
82,109,1.712848350274967E-4,YES
83,85,1.4988064871960705E-4,NO
84,107,0.001196534466687701,NO
85,237,0.001196534466687701,NO
86,511,0.9998800882920463,YES
87,47,5.710798731874777E-5,NO
88,1328,0.001196534466687701,YES
89,27,4.612669522003692E-5,NO
90,89,1.3323168082870685E-4,NO
91,482,0.9998800882920463,YES
92,226,0.001196534466687701,YES
93,166,0.001196534466687701,NO
94,92,0.001196534466687701,NO
95,476,5.989839382709841E-4,NO
96,93,0.001196534466687701,NO
97,244,3.9948214777408447E-4,NO
98,204,3.9948214777408447E-4,NO
99,252,5.989839382709841E-4,NO
100,119,0.001196534466687701,NO
101,733,0.001196534466687701,NO
102,630,0.001196534466687701,NO
103,69,0.6666400174900893,NO
104,77,9.224488053709355E-5,NO
105,97,3.9948214777408447E-4,NO
106,380,0.001196534466687701,NO
107,214,1.9982089876885258E-4,NO
108,38,3.9948214777408447E-4,NO
109,79,1.9982089876885258E-4,NO
110,25,2.3976591442641717E-4,NO
111,84,0.45455041022297477,NO
112,34,1.3323168082870685E-4,NO
113,33,2.3976591442641717E-4,NO
114,104,1.712848350274967E-4,NO
115,193,0.001196534466687701,NO
116,70,1.3323168082870685E-4,NO
117,140,2.996714675313014E-4,NO
118,22,0.001196534466687701,NO
119,156,2.3976591442641717E-4,NO
120,142,0.001196534466687701,NO
121,100,0.001196534466687701,YES
122,152,2.996714675313014E-4,NO
123,31,1.199117079535165E-4,NO
124,60,0.6666400174900893,NO
125,60,0.6666400174900893,NO
126,876,0.001196534466687701,NO
127,61,3.9948214777408447E-4,NO
128,185,0.001196534466687701,NO
129,264,0.001196534466687701,NO
130,43,1.3323168082870685E-4,NO
131,248,3.9948214777408447E-4,NO
132,361,0.9998800882920463,NO
133,199,0.001196534466687701,NO
134,194,0.001196534466687701,NO
135,346,5.989839382709841E-4,NO
136,91,0.001196534466687701,NO
137,335,0.9998800882920463,NO
138,370,0.001196534466687701,NO
139,82,0.001196534466687701,NO
140,53,1.712848350274967E-4,NO
141,148,0.001196534466687701,NO
142,4088,3.9948214777408447E-4,NO
143,88,0.001196534466687701,NO
144,878,0.9998800882920463,NO
