ID,SIZE,PREDICTED,ACTUAL
0,215,2.875215641173088E-4,NO
1,273,5.747126436781609E-4,YES
2,460,5.747126436781609E-4,YES
3,138,0.5999769903359411,NO
4,358,5.747126436781609E-4,NO
5,1154,0.999808282208589,YES
6,51,5.747126436781609E-4,NO
7,157,1.9171779141104292E-4,NO
8,31,1.438021282714984E-4,NO
9,1009,5.747126436781609E-4,NO
10,193,0.999425287356322,NO
11,83,1.438021282714984E-4,YES
12,262,5.747126436781609E-4,NO
13,638,2.875215641173088E-4,YES
14,40,5.747126436781609E-4,NO
15,374,0.9998849516797055,NO
16,390,5.747126436781609E-4,NO
17,51,5.747126436781609E-4,NO
18,579,0.999808282208589,YES
19,32,7.191140514885661E-5,NO
20,66,1.438021282714984E-4,NO
21,260,5.747126436781609E-4,YES
22,596,0.999425287356322,NO
23,198,5.747126436781609E-4,NO
24,50,1.9171779141104292E-4,NO
25,27,3.384323812102342E-5,NO
26,926,1.9171779141104292E-4,NO
27,60,0.7999654815326199,NO
28,62,8.21827744904668E-5,NO
29,87,1.9171779141104292E-4,NO
30,52,5.747126436781609E-4,NO
31,297,0.9997124784358826,NO
32,163,1.9171779141104292E-4,NO
33,118,0.999808282208589,NO
34,83,1.438021282714984E-4,NO
35,147,2.875215641173088E-4,NO
36,58,0.2500359557025744,NO
37,44,5.747126436781609E-4,NO
38,106,2.875215641173088E-4,NO
39,192,5.747126436781609E-4,NO
40,151,0.999425287356322,NO
41,352,0.9998561978717285,YES
42,752,0.999808282208589,YES
43,877,0.9998561978717285,YES
44,319,0.9999041227229146,YES
45,27,1.9171779141104292E-4,NO
46,55,2.875215641173088E-4,NO
47,94,0.9997124784358826,NO
48,191,2.875215641173088E-4,NO
49,90,1.1504832029452369E-4,NO
50,90,0.9997124784358826,NO
51,271,2.875215641173088E-4,YES
52,138,1.9171779141104292E-4,NO
53,79,1.438021282714984E-4,NO
54,82,2.875215641173088E-4,NO
55,147,2.875215641173088E-4,NO
56,422,5.747126436781609E-4,YES
57,1026,0.9999041227229146,YES
58,530,2.875215641173088E-4,NO
59,189,2.875215641173088E-4,YES
60,167,2.875215641173088E-4,YES
61,86,2.875215641173088E-4,NO
62,195,0.9998561978717285,YES
63,374,2.875215641173088E-4,YES
64,573,2.875215641173088E-4,NO
65,126,2.875215641173088E-4,YES
66,106,1.9171779141104292E-4,NO
67,109,2.875215641173088E-4,NO
68,85,9.587727708533077E-5,NO
69,237,2.875215641173088E-4,NO
70,345,5.747126436781609E-4,YES
71,47,1.9171779141104292E-4,NO
72,781,2.875215641173088E-4,YES
73,27,3.384323812102342E-5,NO
74,89,5.747126436781609E-4,NO
75,300,0.9999476987447699,NO
76,166,0.9999041227229146,NO
77,92,0.5,NO
78,497,0.9997124784358826,NO
79,93,5.747126436781609E-4,NO
80,244,2.875215641173088E-4,NO
81,183,5.747126436781609E-4,NO
82,252,2.875215641173088E-4,NO
83,109,2.875215641173088E-4,NO
84,607,2.875215641173088E-4,NO
85,565,5.747126436781609E-4,NO
86,69,0.6249820221487128,NO
87,77,1.9171779141104292E-4,NO
88,97,0.9997124784358826,NO
89,343,2.875215641173088E-4,NO
90,214,2.875215641173088E-4,NO
91,79,1.438021282714984E-4,NO
92,25,1.9171779141104292E-4,NO
93,84,0.5999884938442066,NO
94,34,2.875215641173088E-4,NO
95,33,5.747126436781609E-4,NO
96,104,5.747126436781609E-4,NO
97,172,5.747126436781609E-4,NO
98,70,2.875215641173088E-4,NO
99,140,2.875215641173088E-4,NO
100,156,1.9171779141104292E-4,NO
101,142,0.999808282208589,NO
102,152,0.9997124784358826,NO
103,31,5.747126436781609E-4,NO
104,60,5.747126436781609E-4,NO
105,60,5.747126436781609E-4,NO
106,876,0.9998561978717285,NO
107,61,5.747126436781609E-4,NO
108,185,2.875215641173088E-4,NO
109,264,0.9998561978717285,NO
110,248,2.875215641173088E-4,NO
111,286,0.9999280885948512,YES
112,185,0.9999280885948512,NO
113,194,2.875215641173088E-4,NO
114,346,2.875215641173088E-4,NO
115,309,5.747126436781609E-4,NO
116,363,0.9999041227229146,YES
117,84,0.5999884938442066,NO
118,53,1.438021282714984E-4,NO
119,132,9.587727708533077E-5,NO
120,4088,5.747126436781609E-4,NO
121,721,0.999808282208589,YES
122,47,6.392227051904884E-5,NO
123,101,0.8332694151486097,NO
124,517,0.9999476987447699,NO
125,327,5.747126436781609E-4,NO
126,274,2.875215641173088E-4,YES
127,136,5.747126436781609E-4,NO
128,56,1.438021282714984E-4,NO
129,74,3.196317841846193E-5,NO
130,361,2.875215641173088E-4,YES
131,174,5.747126436781609E-4,NO
132,148,0.3750179778512872,NO
133,92,0.5,NO
134,45,0.7692069392812887,NO
135,168,1.1504832029452369E-4,NO
136,77,1.9171779141104292E-4,NO
137,666,0.9997124784358826,NO
138,88,1.9171779141104292E-4,NO
139,263,5.747126436781609E-4,NO
140,54,8.21827744904668E-5,NO
141,51,2.875215641173088E-4,NO
142,132,1.9171779141104292E-4,NO
143,160,0.999425287356322,YES
144,152,5.747126436781609E-4,NO
145,39,9.587727708533077E-5,NO
146,677,0.999808282208589,NO
147,131,9.587727708533077E-5,NO
148,47,6.392227051904884E-5,NO
149,129,5.747126436781609E-4,NO
150,43,1.1504832029452369E-4,NO
151,257,0.9999178172255095,NO
152,356,0.999808282208589,NO
153,62,8.21827744904668E-5,NO
154,45,0.7692069392812887,NO
155,97,0.26668456581773553,NO
156,476,5.747126436781609E-4,NO
157,77,1.9171779141104292E-4,NO
158,69,0.6249820221487128,NO
159,104,5.747126436781609E-4,NO
160,115,5.747126436781609E-4,NO
161,421,5.747126436781609E-4,NO
162,61,0.47059022607283063,NO
163,2009,0.9997124784358826,NO
164,179,5.747126436781609E-4,NO
165,106,1.1504832029452369E-4,NO
166,33,5.747126436781609E-4,NO
167,657,0.9997124784358826,NO
168,295,5.747126436781609E-4,NO
169,872,0.9997124784358826,NO
170,444,5.747126436781609E-4,NO
171,168,1.1504832029452369E-4,NO
172,752,0.9997124784358826,NO
173,135,5.747126436781609E-4,NO
174,1126,0.9997124784358826,NO
175,163,1.9171779141104292E-4,NO
176,184,1.9171779141104292E-4,NO
177,51,5.747126436781609E-4,NO
178,25,1.9171779141104292E-4,NO
179,180,8.21827744904668E-5,NO
180,64,2.875215641173088E-4,NO
181,101,0.8332694151486097,NO
182,512,5.747126436781609E-4,NO
183,187,1.1504832029452369E-4,NO
184,56,1.438021282714984E-4,NO
185,39,9.587727708533077E-5,NO
186,261,5.747126436781609E-4,NO
187,73,2.7397260273972603E-5,NO
188,65,9.587727708533077E-5,NO
189,329,5.747126436781609E-4,NO
190,64,2.875215641173088E-4,NO
191,164,1.9171779141104292E-4,NO
192,624,2.875215641173088E-4,NO
193,74,3.196317841846193E-5,NO
194,117,5.747126436781609E-4,NO
195,84,0.5999884938442066,NO
196,226,5.747126436781609E-4,NO
197,76,1.438021282714984E-4,NO
198,323,5.747126436781609E-4,NO
199,72,1.9171779141104292E-4,NO
200,42,6.392227051904884E-5,NO
201,48,6.392227051904884E-5,NO
202,89,5.747126436781609E-4,NO
203,380,5.747126436781609E-4,NO
204,141,2.875215641173088E-4,NO
205,148,0.3750179778512872,NO
206,191,2.875215641173088E-4,NO
207,46,1.1504832029452369E-4,NO
208,165,1.9171779141104292E-4,NO
209,171,1.1504832029452369E-4,NO
210,56,1.438021282714984E-4,NO
211,179,5.747126436781609E-4,NO
212,74,3.196317841846193E-5,NO
213,36,1.438021282714984E-4,NO
214,37,1.438021282714984E-4,NO
215,34,2.875215641173088E-4,NO
216,34,2.875215641173088E-4,NO
217,38,0.4000230096640589,NO
218,39,9.587727708533077E-5,NO
219,156,1.9171779141104292E-4,NO
220,84,0.5999884938442066,NO
221,117,5.747126436781609E-4,NO
222,94,0.3333546407568397,NO
223,71,2.875215641173088E-4,NO
224,183,1.9171779141104292E-4,NO
225,85,9.587727708533077E-5,NO
226,183,1.9171779141104292E-4,NO
227,70,2.875215641173088E-4,NO
228,54,8.21827744904668E-5,NO
229,160,1.9171779141104292E-4,NO
230,128,1.9171779141104292E-4,NO
231,151,5.747126436781609E-4,NO
232,422,5.747126436781609E-4,NO
233,221,5.747126436781609E-4,NO
234,50,1.9171779141104292E-4,NO
235,42,6.392227051904884E-5,NO
236,624,2.875215641173088E-4,NO
237,377,5.747126436781609E-4,NO
238,382,0.9999041227229146,NO
239,72,1.9171779141104292E-4,NO
240,92,0.5,NO
241,282,5.747126436781609E-4,NO
242,371,5.747126436781609E-4,NO
243,47,6.392227051904884E-5,NO
244,108,1.1504832029452369E-4,NO
245,111,9.587727708533077E-5,NO
246,319,5.747126436781609E-4,NO
247,129,5.747126436781609E-4,NO
248,49,8.21827744904668E-5,NO
249,358,5.747126436781609E-4,NO
250,277,5.747126436781609E-4,NO
251,49,8.21827744904668E-5,NO
252,89,5.747126436781609E-4,NO
253,41,1.438021282714984E-4,NO
254,66,1.438021282714984E-4,NO
255,63,0.5,NO
256,24,7.191140514885661E-5,NO
257,50,1.9171779141104292E-4,NO
258,72,1.9171779141104292E-4,NO
259,47,6.392227051904884E-5,NO
260,47,6.392227051904884E-5,NO
261,183,1.9171779141104292E-4,NO
262,49,8.21827744904668E-5,NO
263,50,1.9171779141104292E-4,NO
264,98,0.26668456581773553,NO
265,143,1.9171779141104292E-4,NO
266,43,1.1504832029452369E-4,NO
267,42,6.392227051904884E-5,NO
268,56,1.438021282714984E-4,NO
269,44,5.747126436781609E-4,NO
270,26,1.9171779141104292E-4,NO
271,254,2.875215641173088E-4,NO
272,16883,5.747126436781609E-4,NO
273,74,3.196317841846193E-5,NO
274,153,8.21827744904668E-5,NO
275,68,5.747126436781609E-4,NO
276,100,1.9171779141104292E-4,NO
277,550,2.875215641173088E-4,NO
278,437,5.747126436781609E-4,NO
279,1038,0.9997124784358826,NO
280,104,5.747126436781609E-4,NO
281,332,5.747126436781609E-4,NO
282,123,1.1504832029452369E-4,NO
283,106,1.1504832029452369E-4,NO
284,106,1.9171779141104292E-4,NO
285,94,0.3333546407568397,NO
286,101,0.8332694151486097,NO
287,38,0.4000230096640589,NO
288,628,2.875215641173088E-4,YES
289,32,7.191140514885661E-5,NO
290,111,9.587727708533077E-5,NO
291,35,1.1504832029452369E-4,NO
292,90,1.1504832029452369E-4,NO
293,27,3.384323812102342E-5,NO
294,28,1.1504832029452369E-4,NO
295,92,0.5,NO
296,979,2.875215641173088E-4,NO
297,67,5.747126436781609E-4,NO
298,29,1.1504832029452369E-4,NO
299,105,0.9999520567647905,NO
300,72,1.9171779141104292E-4,NO
301,37,1.438021282714984E-4,NO
302,47,6.392227051904884E-5,NO
303,31,1.438021282714984E-4,NO
304,90,1.1504832029452369E-4,NO
305,223,5.747126436781609E-4,NO
306,214,2.875215641173088E-4,NO
307,107,5.747126436781609E-4,NO
308,37,1.438021282714984E-4,NO
309,27,3.384323812102342E-5,NO
310,48,6.392227051904884E-5,NO
311,167,7.191140514885661E-5,NO
312,213,2.875215641173088E-4,NO
