ID,SIZE,PREDICTED,ACTUAL
0,212,0.9980392156862745,NO
1,274,0.9990176817288802,NO
2,461,0.00196078431372549,YES
3,138,0.9980392156862745,NO
4,358,0.00196078431372549,NO
5,1272,0.9980392156862745,YES
6,51,4.916420845624386E-4,NO
7,45,0.33355176933158587,NO
8,157,0.00196078431372549,NO
9,31,9.823182711198428E-4,NO
10,1406,0.9980392156862745,YES
11,55,9.823182711198428E-4,NO
12,204,0.00196078431372549,NO
13,55,9.823182711198428E-4,NO
14,103,9.823182711198428E-4,NO
15,34,0.9980392156862745,NO
16,83,0.9980392156862745,NO
17,285,0.00196078431372549,NO
18,83,0.9980392156862745,NO
19,129,0.00196078431372549,NO
20,867,0.00196078431372549,YES
21,380,0.9980392156862745,NO
22,40,0.00196078431372549,NO
23,387,0.00196078431372549,YES
24,390,0.00196078431372549,NO
25,51,4.916420845624386E-4,NO
26,637,0.9980392156862745,YES
27,32,4.916420845624386E-4,NO
28,68,0.5,YES
29,547,0.00196078431372549,YES
30,566,0.00196078431372549,NO
31,314,0.9980392156862745,YES
32,907,0.9980392156862745,YES
33,275,0.9980392156862745,NO
34,31,9.823182711198428E-4,NO
35,50,6.55307994757536E-4,NO
36,27,2.810567734682406E-4,NO
37,175,0.00196078431372549,NO
38,50,6.55307994757536E-4,NO
39,62,6.55307994757536E-4,NO
40,87,0.00196078431372549,NO
41,52,0.00196078431372549,NO
42,373,9.823182711198428E-4,NO
43,224,0.00196078431372549,NO
44,118,9.823182711198428E-4,YES
45,83,0.00196078431372549,NO
46,147,0.00196078431372549,NO
47,58,0.5,NO
48,44,0.00196078431372549,NO
49,106,0.2002360346184107,NO
50,238,0.9980392156862745,NO
51,43,0.00196078431372549,NO
52,185,0.00196078431372549,YES
53,189,9.823182711198428E-4,NO
54,151,0.00196078431372549,NO
55,364,0.9980392156862745,NO
56,910,0.9980392156862745,NO
57,889,0.9980392156862745,NO
58,43,0.00196078431372549,NO
59,325,0.9980392156862745,NO
60,27,2.810567734682406E-4,NO
61,55,9.823182711198428E-4,NO
62,93,0.00196078431372549,NO
63,191,9.823182711198428E-4,NO
64,90,9.823182711198428E-4,NO
65,89,0.00196078431372549,NO
66,272,0.9980392156862745,NO
67,152,0.00196078431372549,NO
68,90,9.823182711198428E-4,YES
69,82,0.9990176817288802,NO
70,148,0.9980392156862745,NO
71,421,0.9980392156862745,YES
72,1190,0.9980392156862745,YES
73,528,0.9980392156862745,YES
74,205,0.9980392156862745,YES
75,190,9.823182711198428E-4,NO
76,86,6.55307994757536E-4,NO
77,212,0.9980392156862745,NO
78,404,0.9980392156862745,NO
79,572,0.9980392156862745,NO
80,132,0.00196078431372549,NO
81,168,0.9980392156862745,NO
82,109,0.00196078431372549,YES
