ID,SIZE,PREDICTED,ACTUAL
0,215,0.0017106310084785317,NO
1,274,0.0017106310084785317,YES
2,461,0.9998284085457599,YES
3,138,8.567811406259001E-4,NO
4,358,5.715138686200933E-4,NO
5,1248,0.0017106310084785317,YES
6,51,2.8592034175067783E-4,NO
7,45,5.715138686200933E-4,NO
8,157,0.0017106310084785317,NO
9,31,2.4509460079544406E-4,NO
10,1008,0.0017106310084785317,YES
11,55,0.9998284085457599,NO
12,204,0.0017106310084785317,NO
13,55,8.567811406259001E-4,NO
14,103,8.567811406259001E-4,NO
15,83,0.0017106310084785317,NO
16,262,8.567811406259001E-4,NO
17,83,8.567811406259001E-4,NO
18,867,0.9998284085457599,YES
19,40,5.715138686200933E-4,NO
20,387,0.9998284085457599,YES
21,390,0.0017106310084785317,NO
22,51,2.8592034175067783E-4,NO
23,637,0.9998284085457599,NO
24,32,2.8592034175067783E-4,NO
25,68,8.567811406259001E-4,YES
26,547,0.0017106310084785317,YES
27,566,0.9998284085457599,NO
28,314,0.0017106310084785317,YES
29,839,0.9998284085457599,NO
30,211,0.0017106310084785317,NO
31,31,8.567811406259001E-4,NO
32,50,1.7159145424019696E-4,NO
33,27,9.032597512524538E-5,NO
34,175,0.0017106310084785317,NO
35,50,5.715138686200933E-4,NO
36,62,1.4300105778665195E-4,NO
37,87,8.567811406259001E-4,NO
38,52,8.567811406259001E-4,NO
39,373,0.0017106310084785317,NO
40,224,0.0017106310084785317,NO
41,118,4.2875792201442606E-4,YES
42,83,0.7691596902181786,NO
43,147,2.8592034175067783E-4,NO
44,58,4.2875792201442606E-4,NO
45,44,3.4306517437605324E-4,NO
46,106,0.6666285308698731,NO
47,189,0.0017106310084785317,NO
48,151,8.567811406259001E-4,NO
49,352,0.0017106310084785317,YES
50,849,0.9998284085457599,YES
51,877,0.0017106310084785317,YES
52,41,0.0017106310084785317,NO
53,319,8.567811406259001E-4,YES
54,27,9.032597512524538E-5,NO
55,55,5.715138686200933E-4,NO
56,94,0.8332856594966622,NO
57,191,4.2875792201442606E-4,NO
58,90,2.8592034175067783E-4,NO
59,90,2.8592034175067783E-4,NO
60,271,0.0017106310084785317,YES
61,152,0.0017106310084785317,NO
62,90,0.9089632751016409,YES
63,82,0.0017106310084785317,NO
64,147,2.8592034175067783E-4,NO
65,422,0.0017106310084785317,YES
66,1059,0.0017106310084785317,YES
67,530,0.0017106310084785317,NO
68,205,0.0017106310084785317,YES
69,190,0.0017106310084785317,NO
70,86,0.0017106310084785317,NO
71,207,0.0017106310084785317,YES
72,397,0.9998284085457599,YES
73,573,0.0017106310084785317,NO
74,126,8.567811406259001E-4,YES
75,167,8.567811406259001E-4,YES
76,109,3.4306517437605324E-4,NO
77,85,2.8592034175067783E-4,NO
78,237,0.0017106310084785317,NO
79,424,0.0017106310084785317,YES
80,47,1.2257734344277966E-4,NO
