ID,SIZE,PREDICTED,ACTUAL
0,212,6.22975330176925E-5,NO
1,274,0.8461372567813669,NO
2,461,1.5571473061351602E-4,YES
3,138,3.113325031133251E-4,NO
4,358,6.22975330176925E-5,NO
5,1272,0.9999555001779992,YES
6,51,3.461165720614703E-5,NO
7,45,0.3077015240103518,NO
8,157,1.5571473061351602E-4,NO
9,31,2.3962426914597913E-5,NO
10,1406,1.5571473061351602E-4,YES
11,55,1.5571473061351602E-4,NO
12,204,3.461165720614703E-5,NO
13,55,1.5571473061351602E-4,NO
14,103,4.4499822000712E-5,NO
15,34,1.5571473061351602E-4,NO
16,83,0.20003737851981063,NO
17,285,0.9999653883427939,NO
18,83,0.20003737851981063,NO
19,129,3.113325031133251E-4,NO
20,867,1.5571473061351602E-4,YES
21,380,0.9999555001779992,NO
22,40,3.113325031133251E-4,NO
23,387,3.113325031133251E-4,YES
24,390,3.113325031133251E-4,NO
25,51,3.461165720614703E-5,NO
26,637,1.5571473061351602E-4,YES
27,32,2.5959192149940297E-5,NO
28,68,1.0382059800664452E-4,YES
29,547,1.5571473061351602E-4,YES
30,566,3.113325031133251E-4,NO
31,314,1.5571473061351602E-4,YES
32,907,0.9999377024669822,YES
33,275,0.9999221305092664,NO
34,31,2.3962426914597913E-5,NO
35,50,2.5959192149940297E-5,NO
36,27,1.4159893517600749E-5,NO
37,175,7.78694907335306E-5,NO
38,50,2.5959192149940297E-5,NO
39,62,1.4834154156529996E-5,NO
40,87,7.78694907335306E-5,NO
41,52,1.5571473061351602E-4,NO
42,373,7.78694907335306E-5,NO
43,224,7.78694907335306E-5,NO
44,118,7.78694907335306E-5,YES
45,83,0.9999777490988385,NO
46,147,3.461165720614703E-5,NO
47,58,0.2941251924063622,NO
48,44,7.78694907335306E-5,NO
49,106,0.5,NO
50,238,0.9999377024669822,NO
51,43,1.0382059800664452E-4,NO
52,185,1.5571473061351602E-4,YES
53,189,3.115070712105165E-5,NO
54,151,1.0382059800664452E-4,NO
55,364,0.9998442852693864,NO
56,910,3.113325031133251E-4,NO
57,889,0.9999716810149525,NO
58,43,3.113325031133251E-4,NO
59,325,0.9999221305092664,NO
60,27,1.4159893517600749E-5,NO
61,55,1.5571473061351602E-4,NO
62,93,3.113325031133251E-4,NO
63,191,3.115070712105165E-5,NO
64,90,4.4499822000712E-5,NO
65,89,1.0382059800664452E-4,NO
66,272,7.78694907335306E-5,NO
67,152,3.113325031133251E-4,NO
68,90,4.4499822000712E-5,YES
69,82,1.0382059800664452E-4,NO
70,148,0.9999480843110787,NO
71,421,0.9999610622225684,YES
72,1190,1.5571473061351602E-4,YES
73,528,1.0382059800664452E-4,YES
74,205,3.113325031133251E-4,YES
75,190,3.115070712105165E-5,NO
76,86,6.22975330176925E-5,NO
77,212,3.113325031133251E-4,NO
78,404,0.9999610622225684,NO
79,572,1.0382059800664452E-4,NO
80,132,3.113325031133251E-4,NO
81,168,0.9999555001779992,NO
82,109,4.4499822000712E-5,YES
83,85,2.2250901161497043E-5,NO
84,107,1.5571473061351602E-4,NO
85,237,3.113325031133251E-4,NO
86,511,0.9999716810149525,YES
87,47,1.29799330235456E-5,NO
88,1328,3.113325031133251E-4,YES
89,27,1.4159893517600749E-5,NO
90,89,3.115070712105165E-5,NO
91,482,0.9999716810149525,YES
92,226,7.78694907335306E-5,YES
93,166,7.78694907335306E-5,NO
94,92,3.113325031133251E-4,NO
95,476,3.113325031133251E-4,NO
96,93,3.113325031133251E-4,NO
97,244,7.78694907335306E-5,NO
98,204,3.461165720614703E-5,NO
99,252,3.113325031133251E-4,NO
100,119,3.113325031133251E-4,NO
101,733,1.0382059800664452E-4,NO
102,630,1.5571473061351602E-4,NO
103,69,0.7142666429334282,NO
104,77,1.4834154156529996E-5,NO
105,97,1.0382059800664452E-4,NO
106,380,0.9999221305092664,NO
107,214,6.22975330176925E-5,NO
108,38,3.113325031133251E-4,NO
109,79,5.1915688921191985E-5,NO
110,25,7.78694907335306E-5,NO
111,84,0.3181869672340064,NO
112,34,2.83189850475759E-5,NO
113,33,4.4499822000712E-5,NO
114,104,3.461165720614703E-5,NO
115,193,0.9999377024669822,NO
116,70,6.22975330176925E-5,NO
117,140,3.113325031133251E-4,NO
118,22,3.113325031133251E-4,NO
119,156,7.78694907335306E-5,NO
120,142,3.113325031133251E-4,NO
121,100,3.113325031133251E-4,YES
122,152,1.0382059800664452E-4,NO
123,31,2.3962426914597913E-5,NO
124,60,0.5999937698585758,NO
125,60,0.5999937698585758,NO
126,876,3.113325031133251E-4,NO
127,61,1.5571473061351602E-4,NO
128,185,3.113325031133251E-4,NO
129,264,3.113325031133251E-4,NO
130,43,2.83189850475759E-5,NO
131,248,6.22975330176925E-5,NO
132,361,0.9999610622225684,NO
133,199,6.22975330176925E-5,NO
134,194,3.113325031133251E-4,NO
135,346,3.113325031133251E-4,NO
136,91,3.113325031133251E-4,NO
137,335,0.9999221305092664,NO
138,370,0.9999653883427939,NO
139,82,1.5571473061351602E-4,NO
140,53,3.461165720614703E-5,NO
141,148,3.113325031133251E-4,NO
142,4088,6.22975330176925E-5,NO
143,88,3.113325031133251E-4,NO
144,878,0.9999480843110787,NO
145,37,1.0382059800664452E-4,NO
146,48,3.113325031133251E-4,NO
147,47,1.29799330235456E-5,NO
148,101,0.41667099319869166,NO
149,556,0.9999610622225684,NO
150,360,3.113325031133251E-4,NO
151,284,0.9998442852693864,YES
152,135,0.999968849292879,NO
153,56,2.2250901161497043E-5,NO
154,78,0.9998442852693864,NO
155,409,0.9999610622225684,YES
156,174,7.78694907335306E-5,NO
157,148,0.46154030480207037,NO
158,88,1.0382059800664452E-4,NO
159,45,0.3077015240103518,YES
160,39,2.5959192149940297E-5,NO
161,182,0.9999610622225684,NO
162,77,1.4834154156529996E-5,NO
163,666,1.5571473061351602E-4,NO
