ID,SIZE,PREDICTED,ACTUAL
0,215,0.0,NO
1,271,0.0,NO
2,451,0.0,NO
3,137,8.935735195156361E-62,NO
4,368,0.0,YES
5,764,0.0,YES
6,51,1.0914436095672298E-160,NO
7,150,0.0,NO
8,31,6.1907833436207086E-155,NO
9,684,0.0,YES
10,180,8.902514188036145E-62,NO
11,196,0.0,YES
12,482,0.0,YES
13,40,8.259965369357314E-84,NO
14,259,0.0,YES
15,379,0.0,YES
16,510,0.0,YES
17,32,4.896595178986954E-13,NO
18,66,5.117679782702858E-91,NO
19,187,0.0,YES
20,576,0.0,YES
21,158,0.0,YES
22,46,0.0,YES
23,27,1.7609175652743337E-226,NO
24,788,0.0,YES
25,60,1.0855059645826694E-86,NO
26,62,0.0,YES
27,88,0.0,YES
28,52,3.848037733093425E-88,YES
29,163,7.517382515115604E-214,NO
30,91,0.0,YES
31,147,8.935735195156361E-62,NO
32,58,1.0855059645826694E-86,NO
33,44,8.259965369357314E-84,NO
34,139,4.4625717063980205E-69,NO
35,282,4.55291477639051E-69,NO
36,582,0.0,YES
37,800,0.0,YES
38,216,2.4468022266765584E-141,YES
39,55,0.9920218216109399,NO
40,184,6.94002200092668E-214,NO
41,65,0.99202182161094,NO
42,150,2.650358784786021E-141,YES
43,81,9.062895233874566E-62,YES
44,84,9.062895233874566E-62,NO
45,905,0.0,YES
46,312,0.0,YES
47,171,4.462571706398021E-69,YES
48,153,1.1081897295971956E-221,YES
49,84,1.042057037031873E-77,NO
50,169,7.517382515115604E-214,YES
51,189,6.94002200092668E-214,YES
52,127,2.590256404701827E-222,YES
53,79,4.526076362542702E-69,YES
54,90,6.030480455541206E-72,NO
55,85,9.062895233874566E-62,NO
56,123,1.767664009536986E-213,YES
57,276,0.0,YES
58,549,0.0,YES
59,27,4.896595178986954E-13,NO
60,88,0.0,YES
61,283,2.3273785518937527E-216,YES
62,175,9.938161261909598E-217,YES
63,507,1.1052358012759683E-216,YES
64,209,4.4459808917426037E-69,NO
65,147,4.4625717063980205E-69,NO
66,98,4.5260763625427034E-69,NO
67,132,0.0,NO
68,236,0.0,YES
69,227,0.0,YES
70,172,6.9659196872923E-214,NO
71,507,0.0,YES
72,90,0.0,YES
73,58,1.0855059645826694E-86,NO
74,132,8.935735195156361E-62,NO
75,529,3.1901349965502094E-141,YES
76,694,0.0,YES
77,148,8.935735195156361E-62,YES
78,174,8.935735195156361E-62,NO
79,148,8.935735195156361E-62,NO
80,92,4.5260763625427034E-69,NO
81,77,0.0,NO
82,664,0.0,NO
83,55,1.0929590390375512E-86,NO
84,256,9.131931761445076E-217,YES
85,54,0.9999999995983596,NO
86,38,0.9999999995983596,YES
87,98,9.062895233874566E-62,YES
88,39,0.9999999995983596,NO
89,47,8.259965369357314E-84,NO
90,69,0.9999999995983596,YES
91,43,8.259965369357314E-84,NO
92,94,9.062895233874566E-62,YES
93,72,0.9999999995983596,NO
94,42,0.9999999995983596,NO
95,48,0.9999999995983596,NO
96,63,0.9999999995983596,YES
97,318,0.0,YES
98,136,4.462571706398021E-69,YES
99,141,4.462571706398021E-69,YES
100,190,5.877692868863099E-72,YES
101,46,0.9999999995983596,NO
102,165,5.216814535423354E-160,NO
103,162,5.899626321876782E-72,NO
104,58,0.9999999995983596,NO
105,148,4.462571706398021E-69,YES
106,74,0.9999999995983596,NO
107,36,8.259965369357314E-84,NO
108,37,0.9999999995983596,NO
109,38,0.9999999995983596,NO
110,39,0.9999999995983596,NO
111,96,9.062895233874566E-62,YES
112,88,9.062895233874566E-62,NO
113,71,0.9999999995983596,NO
114,114,4.5260763625427034E-69,NO
115,342,1.0839098655444556E-77,YES
116,84,9.062895233874566E-62,NO
117,58,0.9999999995983596,NO
118,129,4.4625717063980205E-69,NO
119,363,4.679819105977762E-69,YES
120,242,4.475783074489737E-69,YES
121,682,0.0,YES
