ID,SIZE,PREDICTED,ACTUAL
0,215,0.14747880620221598,NO
1,274,0.7479585578802255,YES
2,461,0.754750466005166,YES
3,138,0.1394369221847112,NO
4,358,0.06875668880150289,NO
5,1248,0.9998988903732781,YES
6,51,0.056552359064831435,NO
7,45,0.17329459455248714,NO
8,157,0.06359066441983184,NO
9,31,0.056552359064831435,NO
10,1008,0.4274451741683563,YES
11,55,0.30894094765992397,NO
12,204,0.6137225723922304,NO
13,55,0.18403962576205035,NO
14,103,0.23052539482800274,NO
15,83,0.2728705503346253,NO
16,262,0.15050463983182413,NO
17,83,0.21069136653066645,NO
18,867,0.9662391825061076,YES
19,40,0.056552359064831435,NO
20,387,0.5977768240216482,YES
21,390,0.15518294547924555,NO
22,51,0.056552359064831435,NO
23,637,0.9993830356908985,NO
24,32,0.056552359064831435,NO
25,68,0.13577591266481867,YES
26,547,0.6943582690915643,YES
27,566,0.9362868423732946,NO
28,314,0.9872188725690977,YES
29,839,0.9175206511626431,NO
30,211,0.5755307188140873,NO
31,31,0.15979757252539975,NO
32,50,0.056552359064831435,NO
33,27,0.056552359064831435,NO
34,175,0.012623236062959012,NO
35,50,0.13232431275785936,NO
36,62,0.056552359064831435,NO
37,87,0.1345200952490821,NO
38,52,0.056552359064831435,NO
39,373,0.9776823130873042,NO
40,224,0.2430510268637996,NO
41,118,0.061498498950318795,YES
42,83,0.05914106695285372,NO
43,147,0.061498498950318795,NO
44,58,0.1290845986825866,NO
45,44,0.056552359064831435,NO
46,106,0.05914106695285372,NO
47,189,0.5380885999089964,NO
48,151,0.061498498950318795,NO
49,352,0.06875668880150289,YES
50,849,0.21625459453791787,YES
51,877,0.11741697246218485,YES
52,41,0.17213987588397373,NO
53,319,0.06798949000702621,YES
54,27,0.056552359064831435,NO
55,55,0.056552359064831435,NO
56,94,0.05914106695285372,NO
57,191,0.06359066441983184,NO
58,90,0.05914106695285372,NO
59,90,0.05914106695285372,NO
60,271,0.15050463983182413,YES
61,152,0.1530507138788558,NO
62,90,0.13735563275155654,YES
63,82,0.1345200952490821,NO
64,147,0.061498498950318795,NO
65,422,0.15518294547924555,YES
66,1059,0.9727125711719526,YES
67,530,0.06806041979704897,NO
68,205,0.7675338851859147,YES
69,190,0.34595205310769794,NO
70,86,0.1345200952490821,NO
