ID,SIZE,PREDICTED,ACTUAL
0,215,0.5178787798175121,NO
1,271,0.5365154209492501,YES
2,458,0.9198556847253088,YES
3,137,0.4709807040007915,YES
4,357,0.03399689668701284,YES
5,1242,0.9999998498546194,YES
6,51,0.3972496295702587,NO
7,154,0.9223872839149495,YES
8,31,0.3972496295702587,NO
9,928,0.7067770803139846,NO
10,180,0.49794777039923355,NO
11,260,0.6185482299273983,YES
12,551,1.8816543339008562E-69,YES
13,40,0.3972496295702587,NO
14,361,0.13987995881177098,YES
15,388,0.1265413932623773,YES
16,51,0.9715174346407257,NO
17,577,4.143959129976115E-69,NO
18,32,0.3972496295702587,NO
19,66,0.4372203496958438,NO
20,188,5.018637629696584E-71,YES
21,582,1.040129090116928E-69,NO
22,158,0.024767467969745015,YES
23,50,0.016595740594633132,NO
24,27,0.3972496295702587,NO
25,928,2.931300171647322E-69,YES
26,60,0.3972496295702587,NO
27,62,0.01950499773362316,NO
28,87,0.01950499773362316,NO
29,52,0.016595740594633132,NO
30,268,9.567184683899408E-71,NO
31,163,0.49794777039923355,NO
32,109,0.02735213332502681,NO
33,147,0.49794777039923355,NO
34,58,0.8876047242794951,NO
35,44,0.3972496295702587,NO
36,106,0.9896925589492154,NO
37,139,0.4709807040007915,NO
38,326,0.9888415938654492,YES
39,648,1.0708205871375809E-65,YES
40,778,6.478056592465649E-68,YES
41,314,0.7507619278572644,YES
42,55,0.3972496295702587,NO
43,191,0.9279079317896617,NO
44,90,0.9417606408607031,NO
45,273,0.9996594855878996,NO
46,137,0.32241783714200284,NO
47,79,0.1592336579799841,NO
48,82,0.9029982854655075,NO
49,147,0.9091908983610275,NO
50,422,0.706313039646364,NO
51,978,0.9999961878129752,YES
52,467,9.343725305608364E-65,YES
53,189,0.4368970441821492,NO
54,153,0.12060050231962167,YES
55,84,0.4372203496958438,YES
56,182,1.9644938469917264E-69,NO
57,358,0.9999999494799325,NO
58,126,1.5298019623767898E-72,NO
59,106,3.45801366897263E-73,NO
60,109,0.9292251128731562,NO
61,85,0.4372203496958438,NO
62,236,0.7684180125624293,NO
63,314,1.3487362029986193E-70,YES
64,694,0.9109664744725319,YES
65,27,0.3972496295702587,NO
66,89,0.01950499773362316,NO
67,301,0.9978273283965208,YES
68,153,0.7886059573336307,YES
69,92,0.9993449823631482,NO
70,466,0.9226167763163888,YES
71,93,0.9993449823631482,NO
72,244,0.9996713937730106,NO
73,192,0.9990159954829088,NO
74,250,0.9997986597794009,YES
75,109,0.9953333843686437,NO
76,601,0.032175977590857135,NO
77,565,0.9999998696284988,YES
78,69,0.13956124446872342,NO
79,77,0.9897560295543398,NO
80,94,0.9897560295543398,NO
81,337,0.08220048161459638,NO
82,214,0.9805348377487073,NO
83,79,0.9897560295543398,NO
84,25,0.9616700359421994,NO
85,84,0.9897560295543398,NO
86,34,0.9666465370913122,NO
87,33,0.9666465370913122,NO
88,104,0.9896925589492154,NO
89,172,0.9904793567437172,NO
90,70,0.9896247708108744,NO
91,140,0.9886154201714216,NO
92,154,0.9916396772570039,YES
93,248,0.03449077365983014,NO
94,275,9.138584955613726E-73,YES
95,176,0.9223872839149495,NO
96,624,5.177651840993364E-68,YES
97,91,0.01950499773362316,YES
98,58,0.3972496295702587,YES
99,132,0.9142944494892847,NO
100,4088,0.0,NO
101,558,0.1552789990975146,NO
102,727,8.495603785715007E-67,YES
103,150,0.024767467969745015,YES
104,503,0.9870660594022391,YES
105,325,0.9999804018736081,YES
106,273,5.183146949754204E-70,YES
107,136,0.7506749444679113,NO
108,56,0.9736122978791223,NO
109,74,0.9984039940505819,NO
110,357,0.9999648245654814,YES
111,174,0.49794777039923355,NO
112,148,0.49794777039923355,NO
113,92,0.4372203496958438,NO
114,45,0.9672430675088939,NO
115,168,0.7898784459373055,NO
116,77,0.4372203496958438,NO
117,664,0.28592199303680416,YES
118,88,0.9715614442931517,NO
119,260,0.5001869128896582,YES
120,54,0.3972496295702587,NO
121,48,0.016595740594633132,NO
122,140,3.244341072096155E-72,NO
123,152,0.9956746491516464,NO
124,39,0.3972496295702587,NO
125,131,0.9931558333435155,NO
126,47,0.3972496295702587,NO
127,129,0.3499960086674502,NO
128,43,0.3972496295702587,NO
129,243,0.8928762417955782,NO
130,62,0.10184778049301772,NO
131,45,0.9715174346407257,NO
132,94,0.1711342834638002,YES
133,72,0.4372203496958438,NO
134,42,0.3972496295702587,NO
135,48,0.3972496295702587,NO
136,89,0.04105306817439887,NO
137,380,0.5429761087501315,NO
138,138,0.022288501045971392,YES
139,142,0.024767467969745015,YES
140,191,0.026768651659487323,NO
141,46,0.3972496295702587,NO
142,165,0.49794777039923355,NO
143,171,0.9223872839149495,NO
144,56,0.8876047242794951,NO
145,179,0.21669533638569935,NO
146,74,0.4372203496958438,NO
147,36,0.3972496295702587,NO
148,37,0.3972496295702587,NO
149,34,0.058320708731056825,NO
150,34,0.9666465370913122,NO
151,38,0.3972496295702587,NO
152,39,0.3972496295702587,NO
153,156,0.9925687223686902,NO
154,84,0.9897560295543398,NO
155,117,0.48700289541211905,NO
156,94,0.9029982854655075,NO
157,71,0.9804948925533974,NO
158,183,8.833834189091533E-70,NO
159,85,0.9804948925533974,NO
160,183,0.9972702017099407,NO
161,70,0.9869963969971814,NO
162,54,0.9736122978791223,NO
163,160,0.9904793567437172,NO
164,125,8.22659535174696E-68,NO
165,151,5.865157698324952E-69,NO
166,421,1.890304876709541E-67,YES
167,219,0.9589479142800916,YES
168,50,0.9715174346407257,NO
169,42,0.28500124985440517,NO
170,624,0.016059582468848553,NO
171,377,0.6941082768746273,NO
172,383,0.9911217052838336,NO
173,72,0.9896247708108744,NO
174,92,0.9897560295543398,NO
175,284,0.9972301726225486,YES
176,371,0.0034522725174859145,NO
177,47,0.9715174346407257,NO
178,108,0.9905360356338017,NO
179,111,0.9930708461457689,NO
180,319,0.9992075869891556,NO
181,129,0.9897384846032792,NO
182,49,0.9715174346407257,NO
183,358,0.86061037570802,NO
184,277,0.7710927499395788,NO
185,49,0.9672430675088939,NO
186,89,0.9897560295543398,NO
187,41,0.3972496295702587,NO
188,66,0.4372203496958438,NO
189,63,0.4372203496958438,NO
190,24,0.9616700359421994,NO
191,50,0.9715174346407257,NO
192,72,0.9869963969971814,NO
193,47,0.9715174346407257,NO
194,47,0.3972496295702587,NO
195,183,0.5178787798175121,NO
196,49,0.3972496295702587,NO
197,50,0.3972496295702587,NO
198,98,0.4372203496958438,NO
199,143,0.49794777039923355,NO
200,43,0.3972496295702587,NO
201,42,0.3972496295702587,NO
202,56,0.3972496295702587,NO
203,44,0.9715174346407257,NO
204,26,0.9616700359421994,NO
205,254,0.8464267631105307,NO
206,16883,0.0,NO
207,74,0.9896247708108744,NO
208,153,0.49794777039923355,NO
209,68,0.9902347086086024,NO
210,100,0.9807247470700531,NO
211,549,1.5069442386801154E-70,YES
212,437,0.029367057424762262,NO
213,1033,1.0794875373243094E-70,YES
214,101,0.9142944494892847,YES
215,331,0.05689771797536224,YES
216,123,0.4709807040007915,NO
217,106,0.022288501045971392,NO
218,106,0.022288501045971392,NO
219,93,0.01950499773362316,YES
220,101,0.4709807040007915,YES
221,38,0.016595740594633132,NO
222,584,1.196668006815123E-65,YES
223,32,0.3972496295702587,NO
224,111,0.4709807040007915,NO
225,35,0.3972496295702587,NO
226,90,0.01950499773362316,NO
227,27,0.3972496295702587,NO
228,28,0.3972496295702587,NO
229,92,0.1855581180520894,NO
230,885,4.347398794657838E-60,YES
231,67,0.4372203496958438,NO
232,29,0.3972496295702587,NO
233,105,0.9896925589492154,NO
234,72,0.4372203496958438,NO
235,37,0.3972496295702587,NO
236,47,0.8876047242794951,NO
237,31,0.3972496295702587,NO
238,90,0.01950499773362316,NO
239,223,3.9230319464435876E-70,NO
