ID,SIZE,PREDICTED,ACTUAL
0,215,0.6522600839359372,NO
1,273,0.8159730269856396,YES
2,460,0.8100964164258753,YES
3,138,0.8034227478615094,NO
4,358,0.8161557415174738,NO
5,1248,0.5856489136857482,YES
6,51,0.6140699657279657,NO
7,157,0.8110887364206458,NO
8,31,0.6057299043961984,NO
9,981,0.6915349868174651,YES
10,180,0.6488859113015705,NO
11,262,0.8170362024590654,NO
12,553,0.7966743637742152,YES
13,40,0.6140699657279657,NO
14,369,0.9311915704100598,NO
15,390,0.8153487661181799,NO
16,51,0.6140699657279657,NO
17,577,0.6236667124404323,YES
18,32,0.6057299043961984,NO
19,66,0.6216647251787235,NO
20,188,0.8095751650066698,YES
21,582,0.6162792449548653,YES
22,160,0.8068267959860174,YES
23,50,0.6140699657279657,NO
24,27,0.6057299043961984,NO
25,923,0.8767388997552592,YES
26,60,0.6216647251787235,NO
27,62,0.6216647251787235,NO
28,87,0.6285263682237051,NO
29,52,0.6140699657279657,NO
30,268,0.657013165717795,YES
31,163,0.6448357853407153,NO
32,109,0.634667334402932,NO
33,147,0.6400998938308828,NO
34,58,0.6140699657279657,NO
35,44,0.6140699657279657,NO
36,106,0.6285263682237051,YES
37,139,0.6400998938308828,NO
38,326,0.6592360178699785,YES
39,648,0.5992668158825333,YES
40,792,0.7776143485861835,YES
41,319,0.9160741760942288,YES
42,55,0.6140699657279657,NO
43,191,0.6488859113015705,NO
44,90,0.6285263682237051,NO
45,273,0.6584045880997088,YES
46,137,0.6400998938308828,NO
47,79,0.6216647251787235,NO
48,82,0.6216647251787235,NO
49,147,0.6400998938308828,NO
50,422,0.653087907087426,NO
51,979,0.6014307047572903,YES
52,495,0.9309991297264152,YES
53,189,0.6488859113015705,NO
54,167,0.8191254747132588,YES
55,86,0.7955981756239876,NO
56,182,0.6488859113015705,YES
57,361,0.8051743227475778,NO
58,126,0.634667334402932,NO
59,106,0.6285263682237051,NO
60,109,0.634667334402932,NO
61,85,0.6285263682237051,NO
62,236,0.6549668180825149,NO
63,315,0.9274143277953203,YES
64,695,0.9841771449324381,YES
65,27,0.6057299043961984,NO
66,89,0.6285263682237051,NO
67,301,0.8164670187529374,YES
68,153,0.6400998938308828,YES
69,92,0.6285263682237051,NO
70,466,0.8076475798783027,YES
71,93,0.6285263682237051,NO
72,244,0.6549668180825149,NO
73,192,0.6488859113015705,YES
74,252,0.8158970308675035,NO
75,109,0.634667334402932,NO
76,601,0.6162792449548653,YES
77,565,0.7922015677077451,YES
78,69,0.6216647251787235,NO
79,77,0.6216647251787235,NO
80,94,0.6285263682237051,YES
81,337,0.6592360178699785,NO
82,214,0.6522600839359372,NO
83,79,0.6216647251787235,NO
84,25,0.6057299043961984,NO
85,84,0.6285263682237051,NO
86,34,0.6057299043961984,NO
87,33,0.6057299043961984,NO
88,104,0.6285263682237051,NO
89,172,0.6448357853407153,NO
90,70,0.6216647251787235,NO
91,140,0.6400998938308828,NO
92,156,0.8068267959860174,NO
93,248,0.6549668180825149,NO
94,277,0.8159730269856396,YES
95,189,0.9591916971183904,NO
96,194,0.9489729472241123,NO
97,346,0.9605065422368197,NO
98,304,0.9385432318782644,NO
99,356,0.9391331925738844,YES
100,84,0.9052164587429524,NO
101,53,0.7900351683390167,NO
102,132,0.6400998938308828,NO
103,4088,4.5292225752723796E-67,NO
104,691,0.9436285794079018,YES
105,47,0.924473221061473,NO
106,101,0.8584191334099789,NO
107,510,0.8313530457501153,YES
108,328,0.8206233056453429,YES
109,273,0.6584045880997088,YES
110,136,0.6400998938308828,NO
111,56,0.6140699657279657,NO
112,74,0.6216647251787235,NO
113,359,0.7950806606518827,YES
114,174,0.6448357853407153,NO
115,148,0.6400998938308828,NO
116,92,0.6285263682237051,NO
117,45,0.6140699657279657,NO
118,168,0.6448357853407153,NO
119,77,0.6216647251787235,NO
120,666,0.7700823198865385,NO
121,88,0.6285263682237051,NO
122,262,0.8150431297485209,NO
123,54,0.6140699657279657,NO
124,48,0.6140699657279657,YES
125,140,0.6400998938308828,NO
126,152,0.6400998938308828,NO
127,39,0.6140699657279657,NO
128,131,0.6400998938308828,NO
129,47,0.6140699657279657,NO
130,129,0.634667334402932,NO
131,43,0.6140699657279657,NO
132,243,0.6549668180825149,YES
133,62,0.6216647251787235,NO
134,45,0.6140699657279657,NO
135,97,0.8000464554075193,NO
136,476,7.998998898854306E-4,NO
137,77,0.8670214792531346,NO
138,69,0.8618303145100672,NO
139,104,0.8726549875610836,NO
140,115,0.8736175258490889,NO
141,421,0.010283912665146213,NO
142,61,0.857063590262043,NO
143,2009,2.0569129321837994E-143,NO
144,179,0.841137080752273,NO
145,106,0.8724526775175528,NO
146,33,0.8177752534657041,NO
147,657,1.247000153919048E-8,NO
148,295,0.42139378516553416,NO
149,872,1.3851454695166952E-68,NO
150,444,0.003758490394372317,NO
151,168,0.8490614691279321,NO
152,752,2.3037511874671448E-69,NO
153,135,0.8705989650941728,NO
154,1126,6.954932416510658E-67,NO
155,163,0.8535626380643548,NO
156,184,0.8355175385498865,NO
157,51,0.844227701082707,NO
158,25,0.8056115563782659,NO
159,180,0.841137080752273,NO
160,64,0.8567834814244294,NO
161,101,0.8726549875610836,NO
162,512,1.3785882751907804E-4,NO
163,187,0.8279531011717062,NO
164,56,0.8448367473759032,NO
165,39,0.8292263065771825,NO
166,261,0.6022913626258004,NO
167,73,0.8648353234262266,NO
168,65,0.8567834814244294,NO
169,329,0.2294402925275999,NO
170,64,0.8567834814244294,NO
171,164,0.8548711006599331,NO
172,624,0.06440523791749117,NO
173,74,0.8648353234262266,NO
174,117,0.8743993201844185,NO
175,84,0.8692653592553952,NO
176,226,0.9632205548895857,NO
177,76,0.8648353234262266,NO
178,323,0.2534020467882445,NO
179,72,0.6216647251787235,NO
180,42,0.6140699657279657,NO
181,48,0.6140699657279657,NO
182,89,0.6285263682237051,NO
183,380,0.6574701956732665,NO
184,141,0.8079093357002478,NO
185,148,0.813479023614731,NO
186,191,0.6488859113015705,NO
187,46,0.6140699657279657,NO
188,165,0.6448357853407153,NO
189,171,0.6448357853407153,NO
190,56,0.6140699657279657,NO
191,179,0.6488859113015705,NO
192,74,0.6216647251787235,NO
193,36,0.6140699657279657,NO
194,37,0.6140699657279657,NO
195,34,0.6057299043961984,NO
196,34,0.6057299043961984,NO
197,38,0.6140699657279657,NO
198,39,0.6140699657279657,NO
199,156,0.6448357853407153,NO
200,84,0.6285263682237051,NO
201,117,0.634667334402932,NO
202,94,0.6285263682237051,NO
203,71,0.6216647251787235,NO
204,183,0.6488859113015705,NO
205,85,0.6285263682237051,NO
206,183,0.6488859113015705,NO
207,70,0.6216647251787235,NO
208,54,0.6140699657279657,NO
209,160,0.6448357853407153,NO
210,125,0.634667334402932,NO
211,151,0.6400998938308828,NO
212,422,0.8124100443951067,NO
213,221,0.8118528788620208,NO
214,50,0.6140699657279657,NO
215,42,0.6140699657279657,NO
216,624,0.6081498475467325,NO
217,377,0.6574701956732665,NO
218,383,0.6574701956732665,NO
219,72,0.6216647251787235,NO
220,92,0.6285263682237051,NO
221,282,0.8159730269856396,NO
222,371,0.6574701956732665,NO
223,47,0.6140699657279657,NO
224,108,0.634667334402932,NO
225,111,0.634667334402932,NO
226,319,0.6591448620762127,NO
227,129,0.634667334402932,NO
228,49,0.6140699657279657,NO
229,358,0.6586783064764303,NO
230,277,0.6584045880997088,NO
231,49,0.6140699657279657,NO
232,89,0.6285263682237051,NO
233,41,0.6140699657279657,NO
234,66,0.6216647251787235,NO
235,63,0.6216647251787235,NO
236,24,0.6057299043961984,NO
237,50,0.6140699657279657,NO
238,72,0.6216647251787235,NO
239,47,0.6140699657279657,NO
240,47,0.6140699657279657,NO
241,183,0.6488859113015705,NO
242,49,0.6140699657279657,NO
243,50,0.6140699657279657,NO
244,98,0.6285263682237051,NO
245,143,0.6400998938308828,NO
246,43,0.6140699657279657,NO
247,42,0.6140699657279657,NO
248,56,0.6140699657279657,NO
249,44,0.6140699657279657,NO
250,26,0.6057299043961984,NO
251,254,0.657013165717795,NO
252,16883,0.48445286266409626,NO
253,74,0.6216647251787235,NO
254,153,0.6400998938308828,NO
255,68,0.6216647251787235,NO
256,100,0.6285263682237051,NO
257,550,0.7968490192245306,NO
258,437,0.653087907087426,NO
259,1038,0.7776272709366809,NO
260,104,0.8021619041886321,NO
261,332,0.8165278124571932,NO
262,123,0.634667334402932,NO
263,106,0.6285263682237051,NO
264,106,0.6285263682237051,NO
265,94,0.7955981756239876,NO
266,101,0.7955981756239876,NO
267,38,0.6140699657279657,NO
268,628,0.9348189597269841,YES
269,32,0.6057299043961984,NO
270,111,0.634667334402932,NO
271,35,0.6057299043961984,NO
272,90,0.6285263682237051,NO
273,27,0.6057299043961984,NO
274,28,0.6057299043961984,NO
275,92,0.6285263682237051,NO
276,956,0.8368264519745601,YES
277,67,0.6216647251787235,NO
278,29,0.6057299043961984,NO
279,105,0.6285263682237051,NO
280,72,0.6216647251787235,NO
281,37,0.6140699657279657,NO
282,47,0.6140699657279657,NO
283,31,0.6057299043961984,NO
284,90,0.6285263682237051,NO
285,223,0.6522600839359372,NO
286,214,0.6522600839359372,NO
287,107,0.634667334402932,NO
288,37,0.6140699657279657,NO
289,27,0.6057299043961984,NO
290,48,0.6140699657279657,NO
291,167,0.8068267959860174,NO
292,213,0.6522600839359372,NO
293,867,0.6706390751395866,NO
294,159,0.6448357853407153,NO
295,100,0.6285263682237051,NO
296,96,0.6285263682237051,NO
297,842,0.8647905405293979,NO
298,525,0.7786140142998482,NO
299,83,0.6285263682237051,NO
300,63,0.6216647251787235,NO
301,76,0.6216647251787235,NO
302,202,0.6522600839359372,NO
303,155,0.8068267959860174,NO
304,1263,0.3222686820499072,NO
305,74,0.6216647251787235,NO
306,101,0.6285263682237051,NO
307,27,0.6057299043961984,NO
308,22,0.6057299043961984,NO
309,491,0.8045518682858849,NO
310,62,0.6216647251787235,NO
311,59,0.6140699657279657,NO
312,99,0.6285263682237051,NO
313,27,0.6057299043961984,NO
314,77,0.6216647251787235,NO
315,846,0.4845801092357211,YES
316,64,0.6216647251787235,NO
317,45,0.6140699657279657,NO
318,63,0.6216647251787235,NO
319,54,0.6140699657279657,NO
320,64,0.6216647251787235,NO
321,132,0.6400998938308828,NO
322,177,0.6448357853407153,NO
323,70,0.6216647251787235,NO
324,36,0.6140699657279657,NO
325,58,0.6140699657279657,NO
326,62,0.6216647251787235,NO
327,132,0.6400998938308828,NO
328,74,0.6216647251787235,NO
329,86,0.7998738585087718,NO
330,74,0.6216647251787235,NO
331,48,0.6140699657279657,NO
332,74,0.6216647251787235,NO
333,86,0.6285263682237051,NO
334,355,0.6586783064764303,NO
335,53,0.6140699657279657,NO
336,804,0.7228468465475641,NO
337,75,0.6216647251787235,NO
338,125,0.634667334402932,NO
339,200,0.6488859113015705,NO
340,134,0.6400998938308828,NO
341,57,0.6140699657279657,NO
342,123,0.634667334402932,NO
343,266,0.879873658385381,YES
344,162,0.6448357853407153,NO
345,130,0.634667334402932,YES
346,108,0.634667334402932,YES
347,354,0.7950806606518827,YES
348,88,0.788093371077104,YES
349,28,0.6057299043961984,NO
350,58,0.7618538295960363,NO
351,308,0.8163053414206061,YES
352,343,0.9144908922784407,YES
353,103,0.6285263682237051,NO
354,35,0.6057299043961984,NO
355,98,0.6285263682237051,NO
356,117,0.799856703793334,NO
