ID,SIZE,PREDICTED,ACTUAL
0,215,0.7325805608592034,NO
1,273,0.5785872244650359,YES
2,460,0.5980610202672956,YES
3,138,0.558433120843171,NO
4,358,0.587460705883685,NO
5,1154,0.999999927910721,YES
6,51,0.5471434624127854,NO
7,157,0.5620163786930328,NO
8,31,0.5432003393906256,NO
9,1009,0.9722086346837878,NO
10,193,0.7414491848616492,NO
11,83,0.8109104047647444,YES
12,262,0.5754518728840554,NO
13,638,0.9651094647259852,YES
14,40,0.5471434624127854,NO
15,374,0.7611433193371581,NO
16,390,0.5902420050968437,NO
17,51,0.5471434624127854,NO
18,579,0.9341807799593775,YES
19,32,0.5432003393906256,NO
20,66,0.5509966705256121,NO
21,260,0.9564388601823388,YES
22,596,0.9958073894347858,NO
23,198,0.9642077966161869,NO
24,50,0.5471434624127854,NO
25,27,0.5432003393906256,NO
26,926,0.9934379107995246,NO
27,60,0.5471434624127854,NO
28,62,0.5471434624127854,NO
29,87,0.5509966705256121,NO
30,52,0.5471434624127854,NO
31,297,0.963829504434631,NO
32,163,0.5620163786930328,NO
33,118,0.7331963934687459,NO
34,83,0.8109104047647444,NO
35,147,0.5620163786930328,NO
36,58,0.5471434624127854,NO
37,44,0.5471434624127854,NO
38,106,0.8059288815287984,NO
39,192,0.9783510096111852,NO
40,151,0.7360318362888257,NO
41,352,0.8651985797660773,YES
42,752,0.9977434095725365,YES
43,877,0.9887611888043426,YES
44,319,0.9180552923002714,YES
45,27,0.8427603689334097,NO
46,55,0.5471434624127854,NO
47,94,0.824726378713438,NO
48,191,0.568913340565362,NO
49,90,0.554759895453138,NO
50,90,0.8159673584816051,NO
51,271,0.8206600241127294,YES
52,138,0.7214400407064213,NO
53,79,0.5509966705256121,NO
54,82,0.5509966705256121,NO
55,147,0.5620163786930328,NO
56,422,0.5955418042930538,YES
57,1026,0.999936575097556,YES
58,530,0.9947058292271839,NO
59,189,0.568913340565362,YES
60,167,0.8126623541873287,YES
61,86,0.5509966705256121,NO
62,195,0.8722998831551059,YES
63,374,0.8208264714780491,YES
64,573,0.1658561859359241,NO
65,126,0.558433120843171,YES
66,106,0.7184391188183423,NO
67,109,0.554759895453138,NO
68,85,0.5509966705256121,NO
69,237,0.7325805608592034,NO
70,345,0.7977220953341065,YES
71,47,0.7846853217480068,NO
72,781,0.9626544633662917,YES
73,27,0.5432003393906256,NO
74,89,0.554759895453138,NO
75,300,0.9773886576426819,NO
76,166,0.9990117079320469,NO
77,92,0.554759895453138,NO
78,497,0.9999997408628839,NO
79,93,0.554759895453138,NO
80,244,0.5754518728840554,NO
81,183,0.8215212059677743,NO
82,252,0.5754518728840554,NO
83,109,0.554759895453138,NO
84,607,0.9929043220950482,NO
85,565,0.9581545156944821,NO
86,69,0.5509966705256121,NO
87,77,0.5509966705256121,NO
88,97,0.8059288815287984,NO
89,343,0.744651770671047,NO
90,214,0.568913340565362,NO
91,79,0.5509966705256121,NO
92,25,0.5432003393906256,NO
93,84,0.5509966705256121,NO
94,34,0.5432003393906256,NO
95,33,0.5432003393906256,NO
96,104,0.554759895453138,NO
97,172,0.5655097458460493,NO
98,70,0.5509966705256121,NO
99,140,0.5620163786930328,NO
100,156,0.5620163786930328,NO
101,142,0.8154320337086761,NO
102,152,0.7985866194873508,NO
103,31,0.7670759087433451,NO
