ID,SIZE,PREDICTED,ACTUAL
0,215,0.10532629802163927,NO
1,273,0.1654909456448412,YES
2,460,0.16844256113315617,YES
3,138,0.15676704817422082,NO
4,358,0.167139355085812,NO
5,1248,0.2285014607811961,YES
6,51,0.09811066807626537,NO
7,157,0.16027961664752388,NO
8,31,0.09811066807626537,NO
9,981,0.14540829517214163,YES
10,180,0.10331571429414586,NO
11,262,0.1654909456448412,NO
12,553,0.16705672259532045,YES
13,40,0.09811066807626537,NO
14,369,0.3063285542293691,NO
15,390,0.16812638140565725,NO
16,51,0.09811066807626537,NO
17,577,0.10799397824677677,YES
18,32,0.09811066807626537,NO
19,66,0.09811066807626537,NO
20,188,0.16027961664752388,YES
21,582,0.10799397824677677,YES
22,160,0.16027961664752388,YES
23,50,0.09811066807626537,NO
24,27,0.09497415697006494,NO
25,923,0.2762239412645474,YES
26,60,0.09811066807626537,NO
27,62,0.09811066807626537,NO
28,87,0.09811066807626537,NO
29,52,0.09811066807626537,NO
30,268,0.1069107267480136,YES
31,163,0.10331571429414586,NO
32,109,0.1009015179855867,NO
33,147,0.10331571429414586,NO
34,58,0.09811066807626537,NO
35,44,0.09811066807626537,NO
36,106,0.1009015179855867,YES
37,139,0.1009015179855867,NO
38,326,0.1080511858847593,YES
39,648,0.10682572233476878,YES
40,792,0.1813481344604054,YES
41,319,0.30380814106294196,YES
42,55,0.09811066807626537,NO
43,191,0.10331571429414586,NO
44,90,0.1009015179855867,NO
45,273,0.1069107267480136,YES
46,137,0.1009015179855867,NO
47,79,0.09811066807626537,NO
48,82,0.09811066807626537,NO
49,147,0.10331571429414586,NO
50,422,0.10873482851010088,NO
51,979,0.14270004496246988,YES
52,495,0.31246970175680405,YES
53,189,0.10331571429414586,NO
54,167,0.16325796768100997,YES
55,86,0.15269342466091873,NO
56,182,0.10331571429414586,YES
57,361,0.167139355085812,NO
58,126,0.1009015179855867,NO
59,106,0.1009015179855867,NO
60,109,0.1009015179855867,NO
61,85,0.09811066807626537,NO
62,236,0.10532629802163927,NO
63,315,0.30380814106294196,YES
64,695,0.5581305085853464,YES
65,27,0.09497415697006494,NO
66,89,0.1009015179855867,NO
67,301,0.1654909456448412,YES
68,153,0.10331571429414586,YES
69,92,0.1009015179855867,NO
70,466,0.16844256113315617,YES
71,93,0.1009015179855867,NO
72,244,0.10532629802163927,NO
73,192,0.10331571429414586,YES
74,252,0.16319699418892047,NO
75,109,0.1009015179855867,NO
76,601,0.10799397824677677,YES
77,565,0.16705672259532045,YES
78,69,0.09811066807626537,NO
79,77,0.09811066807626537,NO
80,94,0.1009015179855867,YES
81,337,0.1080511858847593,NO
82,214,0.10532629802163927,NO
83,79,0.09811066807626537,NO
84,25,0.09497415697006494,NO
85,84,0.09811066807626537,NO
86,34,0.09811066807626537,NO
87,33,0.09811066807626537,NO
88,104,0.1009015179855867,NO
89,172,0.10331571429414586,NO
90,70,0.09811066807626537,NO
91,140,0.1009015179855867,NO
92,156,0.16027961664752388,NO
93,248,0.10532629802163927,NO
94,277,0.1654909456448412,YES
95,189,0.3108146807853793,NO
96,194,0.3148661951083792,NO
97,346,0.32164927714296293,NO
98,304,0.32316938885604934,NO
99,356,0.3063285542293691,YES
100,84,0.28395398762343754,NO
101,53,0.15269342466091873,NO
102,132,0.1009015179855867,NO
103,4088,1.1595511749062419E-5,NO
104,691,0.3087483870951852,YES
105,47,0.28844107826696286,NO
106,101,0.15676704817422082,NO
107,510,0.1943109356449214,YES
108,328,0.167139355085812,YES
109,273,0.1069107267480136,YES
110,136,0.1009015179855867,NO
111,56,0.09811066807626537,NO
112,74,0.09811066807626537,NO
113,359,0.167139355085812,YES
114,174,0.10331571429414586,NO
115,148,0.10331571429414586,NO
116,92,0.1009015179855867,NO
117,45,0.09811066807626537,NO
118,168,0.10331571429414586,NO
119,77,0.09811066807626537,NO
120,666,0.16536798864440627,NO
121,88,0.1009015179855867,NO
122,262,0.1654909456448412,NO
123,54,0.09811066807626537,NO
124,48,0.09811066807626537,YES
125,140,0.1009015179855867,NO
126,152,0.10331571429414586,NO
127,39,0.09811066807626537,NO
128,131,0.1009015179855867,NO
129,47,0.09811066807626537,NO
130,129,0.1009015179855867,NO
131,43,0.09811066807626537,NO
132,243,0.10532629802163927,YES
133,62,0.09811066807626537,NO
134,45,0.09811066807626537,NO
135,97,0.15676704817422082,NO
136,476,0.18205731188643398,NO
137,77,0.15809277838644348,NO
138,69,0.15555692156908685,NO
139,104,0.16228285937319728,NO
140,115,0.16228285937319728,NO
141,421,0.1821852416496196,NO
142,61,0.15555692156908685,NO
143,2009,0.017223859993825162,NO
144,179,0.17008689278176273,NO
