ID,SIZE,PREDICTED,ACTUAL
0,215,0.25925097908178923,NO
1,273,0.1410420420266702,YES
2,460,0.14358695916074055,YES
3,138,0.1321184603419608,NO
4,358,0.14262970102348882,NO
5,1154,0.999999816068803,YES
6,51,0.12311162655255704,NO
7,157,0.1321184603419608,NO
8,31,0.12311162655255704,NO
9,1009,0.7042080975692093,NO
10,193,0.25925097908178923,NO
11,83,0.24851300557035547,YES
12,262,0.1387394222737177,NO
13,638,0.6393296531033487,YES
14,40,0.12311162655255704,NO
15,374,0.2741930771959081,NO
16,390,0.14348170536242552,NO
17,51,0.12311162655255704,NO
18,579,0.6389401723213558,YES
19,32,0.12311162655255704,NO
20,66,0.12311162655255704,NO
21,260,0.6433609089946464,YES
22,596,0.976784338009626,NO
23,198,0.7802702105067731,NO
24,50,0.12311162655255704,NO
25,27,0.12311162655255704,NO
26,926,0.9686388909225535,NO
27,60,0.12311162655255704,NO
28,62,0.12311162655255704,NO
29,87,0.1278866200237917,NO
30,52,0.12311162655255704,NO
31,297,0.7877825746438938,NO
32,163,0.1321184603419608,NO
33,118,0.24626928728992406,NO
34,83,0.24851300557035547,NO
35,147,0.1321184603419608,NO
36,58,0.12311162655255704,NO
37,44,0.12311162655255704,NO
38,106,0.40060112950291454,NO
39,192,0.793161230123422,NO
40,151,0.2532807929297122,NO
41,352,0.4312375347157098,YES
42,752,0.9739596359341635,YES
43,877,0.9182496858546442,YES
44,319,0.5629268308436687,YES
45,27,0.3901994530709189,NO
46,55,0.12311162655255704,NO
47,94,0.2509782351479707,NO
48,191,0.1357518876264194,NO
49,90,0.1278866200237917,NO
50,90,0.24851300557035547,NO
51,271,0.42804116744598947,YES
52,138,0.2532807929297122,NO
53,79,0.1278866200237917,NO
54,82,0.1278866200237917,NO
55,147,0.1321184603419608,NO
56,422,0.14358695916074055,YES
57,1026,0.9998659712180535,YES
58,530,0.9768050390031995,NO
59,189,0.1357518876264194,YES
60,167,0.40961867807725827,YES
61,86,0.1278866200237917,NO
62,195,0.5425042723951289,YES
63,374,0.3848987943880346,YES
64,573,0.6772251048604361,NO
65,126,0.1321184603419608,YES
66,106,0.24626928728992406,NO
67,109,0.1278866200237917,NO
68,85,0.1278866200237917,NO
69,237,0.2641257756967628,NO
70,345,0.272812120821779,YES
71,47,0.24047600533066824,NO
72,781,0.611157159803716,YES
73,27,0.12311162655255704,NO
74,89,0.1278866200237917,NO
75,300,0.9333458028326534,NO
76,166,0.9989672330992141,NO
77,92,0.1278866200237917,NO
78,497,0.9999999470367827,NO
79,93,0.1278866200237917,NO
80,244,0.1387394222737177,NO
81,183,0.4172149876551614,NO
82,252,0.1387394222737177,NO
83,109,0.1278866200237917,NO
84,607,0.9761277307564072,NO
85,565,0.783539888170255,NO
86,69,0.12311162655255704,NO
87,77,0.1278866200237917,NO
88,97,0.40060112950291454,NO
89,343,0.27042796391652485,NO
90,214,0.1357518876264194,NO
91,79,0.1278866200237917,NO
92,25,0.12311162655255704,NO
93,84,0.1278866200237917,NO
94,34,0.12311162655255704,NO
95,33,0.12311162655255704,NO
96,104,0.1278866200237917,NO
97,172,0.1357518876264194,NO
98,70,0.12311162655255704,NO
99,140,0.1321184603419608,NO
100,156,0.1321184603419608,NO
101,142,0.25807790377060297,NO
102,152,0.2608182970093072,NO
103,31,0.24047600533066824,NO
104,60,0.24047600533066824,NO
105,60,0.24047600533066824,NO
106,876,0.2780284453377419,NO
107,61,0.24047600533066824,NO
108,185,0.26690264766316063,NO
109,264,0.27492155421956166,NO
110,248,0.1387394222737177,NO
111,286,0.64196692758174,YES
112,185,0.6317059514644842,NO
113,194,0.1357518876264194,NO
114,346,0.14262970102348882,NO
115,309,0.2678621817141128,NO
116,363,0.9994892750175692,YES
117,84,0.1278866200237917,NO
118,53,0.12311162655255704,NO
119,132,0.1321184603419608,NO
120,4088,5.124772280849913E-9,NO
121,721,0.9998654147684881,YES
122,47,0.12311162655255704,NO
123,101,0.1278866200237917,NO
124,517,0.9343546650130025,NO
125,327,0.4312375347157098,NO
126,274,0.7857609148797892,YES
127,136,0.1321184603419608,NO
128,56,0.12311162655255704,NO
129,74,0.1278866200237917,NO
130,361,0.9767304263249573,YES
131,174,0.1357518876264194,NO
132,148,0.1321184603419608,NO
133,92,0.1278866200237917,NO
134,45,0.12311162655255704,NO
135,168,0.1321184603419608,NO
136,77,0.1278866200237917,NO
137,666,0.1332021192211731,NO
138,88,0.1278866200237917,NO
139,263,0.2641257756967628,NO
140,54,0.12311162655255704,NO
141,51,0.3901994530709189,NO
142,132,0.25807790377060297,NO
143,160,0.2532807929297122,YES
144,152,0.1321184603419608,NO
145,39,0.12311162655255704,NO
146,677,0.2935137105401088,NO
147,131,0.1321184603419608,NO
148,47,0.12311162655255704,NO
149,129,0.1321184603419608,NO
150,43,0.12311162655255704,NO
151,257,0.4295279084746852,NO
152,356,0.28832022054036693,NO
153,62,0.12311162655255704,NO
154,45,0.12311162655255704,NO
155,97,0.1278866200237917,NO
156,476,0.14294409215577802,NO
157,77,0.1278866200237917,NO
158,69,0.12311162655255704,NO
159,104,0.1278866200237917,NO
160,115,0.1278866200237917,NO
161,421,0.14358695916074055,NO
162,61,0.12311162655255704,NO
163,2009,0.006854651143071525,NO
164,179,0.1357518876264194,NO
165,106,0.1278866200237917,NO
166,33,0.12311162655255704,NO
167,657,0.13665849087329734,NO
168,295,0.1410420420266702,NO
169,872,0.1138173852561574,NO
170,444,0.14358695916074055,NO
171,168,0.1321184603419608,NO
172,752,0.12913317422729972,NO
173,135,0.1321184603419608,NO
174,1126,0.08213578941394341,NO
175,163,0.1321184603419608,NO
176,184,0.1357518876264194,NO
177,51,0.12311162655255704,NO
178,25,0.12311162655255704,NO
179,180,0.1357518876264194,NO
180,64,0.12311162655255704,NO
181,101,0.1278866200237917,NO
182,512,0.14294409215577802,NO
183,187,0.1357518876264194,NO
184,56,0.12311162655255704,NO
185,39,0.12311162655255704,NO
186,261,0.1387394222737177,NO
187,73,0.12311162655255704,NO
188,65,0.12311162655255704,NO
189,329,0.14262970102348882,NO
190,64,0.12311162655255704,NO
191,164,0.1321184603419608,NO
192,624,0.13665849087329734,NO
193,74,0.1278866200237917,NO
194,117,0.1278866200237917,NO
195,84,0.1278866200237917,NO
196,226,0.1387394222737177,NO
197,76,0.1278866200237917,NO
198,323,0.14262970102348882,NO
199,72,0.12311162655255704,NO
200,42,0.12311162655255704,NO
201,48,0.12311162655255704,NO
202,89,0.1278866200237917,NO
203,380,0.14348170536242552,NO
204,141,0.1321184603419608,NO
205,148,0.1321184603419608,NO
206,191,0.1357518876264194,NO
207,46,0.12311162655255704,NO
208,165,0.1321184603419608,NO
209,171,0.1321184603419608,NO
210,56,0.12311162655255704,NO
211,179,0.1357518876264194,NO
212,74,0.1278866200237917,NO
213,36,0.12311162655255704,NO
214,37,0.12311162655255704,NO
215,34,0.12311162655255704,NO
216,34,0.12311162655255704,NO
217,38,0.12311162655255704,NO
218,39,0.12311162655255704,NO
