ID,SIZE,PREDICTED,ACTUAL
0,215,2.675637937252084E-75,NO
1,271,2.7578333150541614E-75,NO
2,451,3.47417813800952E-75,NO
3,137,2.701326193929359E-75,NO
4,368,2.9097277615480432E-75,YES
5,764,8.144529928644162E-75,YES
6,51,6.637902529787313E-5,NO
7,150,2.657237364398454E-75,NO
8,31,6.637902529787313E-5,NO
9,684,6.555047170022512E-75,YES
10,180,2.657237364398454E-75,NO
11,196,2.657237364398454E-75,YES
12,482,3.47417813800952E-75,YES
13,40,6.637902529787313E-5,NO
14,259,2.7578333150541614E-75,YES
15,379,3.1425368543095525E-75,YES
16,510,3.9315832188122323E-75,YES
17,32,6.637902529787313E-5,NO
18,66,6.637902529787313E-5,NO
19,187,2.657237364398454E-75,YES
20,576,4.554351586583094E-75,YES
21,158,2.657237364398454E-75,YES
22,46,6.637902529787313E-5,YES
23,27,0.04964815303775809,NO
24,788,1.0358573487339062E-74,YES
25,60,6.637902529787313E-5,NO
26,62,6.637902529787313E-5,YES
27,88,2.701326193929359E-75,YES
28,52,6.637902529787313E-5,YES
29,163,2.657237364398454E-75,NO
30,91,2.701326193929359E-75,YES
31,147,2.657237364398454E-75,NO
32,58,6.637902529787313E-5,NO
33,44,6.637902529787313E-5,NO
34,139,2.701326193929359E-75,NO
35,282,2.7578333150541614E-75,NO
36,582,4.554351586583094E-75,YES
37,800,1.0358573487339062E-74,YES
38,216,2.675637937252084E-75,YES
39,55,6.637902529787313E-5,NO
40,184,2.657237364398454E-75,NO
41,65,6.637902529787313E-5,NO
42,150,2.657237364398454E-75,YES
43,81,6.637902529787313E-5,YES
44,84,6.637902529787313E-5,NO
45,905,1.7972108398606146E-74,YES
46,312,2.7578333150541614E-75,YES
47,171,2.657237364398454E-75,YES
48,153,2.657237364398454E-75,YES
49,84,6.637902529787313E-5,NO
50,169,2.657237364398454E-75,YES
51,189,2.657237364398454E-75,YES
52,127,2.701326193929359E-75,YES
53,79,6.637902529787313E-5,YES
54,90,2.701326193929359E-75,NO
55,85,6.637902529787313E-5,NO
56,123,2.701326193929359E-75,YES
57,276,2.7578333150541614E-75,YES
58,549,4.554351586583094E-75,YES
59,27,0.04964815303775809,NO
60,88,2.701326193929359E-75,YES
61,283,2.7578333150541614E-75,YES
62,175,2.657237364398454E-75,YES
63,507,3.9315832188122323E-75,YES
64,209,2.675637937252084E-75,NO
65,147,2.657237364398454E-75,NO
66,98,2.701326193929359E-75,NO
67,132,2.701326193929359E-75,NO
68,236,2.675637937252084E-75,YES
69,227,2.675637937252084E-75,YES
70,172,2.657237364398454E-75,NO
71,507,3.9315832188122323E-75,YES
72,90,2.701326193929359E-75,YES
73,58,6.637902529787313E-5,NO
74,132,2.701326193929359E-75,NO
75,529,3.9315832188122323E-75,YES
76,694,6.555047170022512E-75,YES
77,148,2.657237364398454E-75,YES
78,174,2.657237364398454E-75,NO
79,148,2.657237364398454E-75,NO
80,92,2.701326193929359E-75,NO
81,77,6.637902529787313E-5,NO
82,664,6.555047170022512E-75,NO
83,55,6.637902529787313E-5,NO
84,256,2.675637937252084E-75,YES
85,54,6.637902529787313E-5,NO
86,38,6.637902529787313E-5,YES
87,98,2.701326193929359E-75,YES
88,39,6.637902529787313E-5,NO
89,47,6.637902529787313E-5,NO
90,69,6.637902529787313E-5,YES
91,43,6.637902529787313E-5,NO
92,94,2.701326193929359E-75,YES
93,72,6.637902529787313E-5,NO
94,42,6.637902529787313E-5,NO
95,48,6.637902529787313E-5,NO
96,63,6.637902529787313E-5,YES
97,318,2.9097277615480432E-75,YES
98,136,2.701326193929359E-75,YES
99,141,2.701326193929359E-75,YES
100,190,2.657237364398454E-75,YES
101,46,6.637902529787313E-5,NO
102,165,2.657237364398454E-75,NO
103,162,2.657237364398454E-75,NO
104,58,6.637902529787313E-5,NO
105,148,2.657237364398454E-75,YES
106,74,6.637902529787313E-5,NO
107,36,6.637902529787313E-5,NO
108,37,6.637902529787313E-5,NO
109,38,6.637902529787313E-5,NO
110,39,6.637902529787313E-5,NO
111,96,2.701326193929359E-75,YES
112,88,2.701326193929359E-75,NO
113,71,6.637902529787313E-5,NO
114,114,2.701326193929359E-75,NO
115,342,2.9097277615480432E-75,YES
116,84,6.637902529787313E-5,NO
117,58,6.637902529787313E-5,NO
118,129,2.701326193929359E-75,NO
119,363,2.9097277615480432E-75,YES
120,242,2.675637937252084E-75,YES
121,682,6.555047170022512E-75,YES
122,366,2.9097277615480432E-75,YES
123,103,2.701326193929359E-75,YES
124,41,6.637902529787313E-5,NO
125,66,6.637902529787313E-5,NO
126,63,6.637902529787313E-5,NO
127,47,6.637902529787313E-5,NO
128,183,2.657237364398454E-75,NO
129,49,6.637902529787313E-5,NO
130,50,6.637902529787313E-5,NO
131,98,2.701326193929359E-75,NO
132,143,2.657237364398454E-75,NO
133,43,6.637902529787313E-5,NO
134,42,6.637902529787313E-5,NO
135,56,6.637902529787313E-5,NO
136,162,2.657237364398454E-75,YES
137,6523,0.0028248587570621473,YES
138,153,2.657237364398454E-75,NO
139,43,6.637902529787313E-5,NO
140,41,6.637902529787313E-5,NO
141,400,3.1425368543095525E-75,YES
142,425,3.1425368543095525E-75,YES
143,1041,3.4235222646644785E-74,YES
144,92,2.701326193929359E-75,NO
145,355,2.9097277615480432E-75,YES
146,123,2.701326193929359E-75,NO
147,105,2.701326193929359E-75,YES
148,105,2.701326193929359E-75,YES
149,92,2.701326193929359E-75,YES
150,101,2.701326193929359E-75,NO
151,45,6.637902529787313E-5,YES
152,299,2.7578333150541614E-75,YES
153,32,6.637902529787313E-5,NO
154,111,2.701326193929359E-75,NO
155,35,6.637902529787313E-5,NO
156,85,6.637902529787313E-5,YES
157,27,0.04964815303775809,NO
158,28,0.04964815303775809,NO
159,36,6.637902529787313E-5,YES
160,574,4.554351586583094E-75,YES
161,67,6.637902529787313E-5,NO
162,29,6.637902529787313E-5,NO
163,72,6.637902529787313E-5,NO
164,37,6.637902529787313E-5,NO
165,51,6.637902529787313E-5,NO
166,31,6.637902529787313E-5,NO
167,77,6.637902529787313E-5,YES
168,168,2.657237364398454E-75,YES
169,81,6.637902529787313E-5,YES
170,37,6.637902529787313E-5,NO
171,27,0.04964815303775809,NO
172,48,6.637902529787313E-5,NO
173,436,3.47417813800952E-75,YES
174,77,6.637902529787313E-5,YES
175,63,6.637902529787313E-5,NO
176,76,6.637902529787313E-5,NO
177,191,2.657237364398454E-75,YES
178,160,2.657237364398454E-75,NO
179,906,1.7972108398606146E-74,YES
180,74,6.637902529787313E-5,NO
181,94,2.701326193929359E-75,NO
182,22,0.04964815303775809,NO
183,481,3.47417813800952E-75,NO
184,62,6.637902529787313E-5,NO
185,58,6.637902529787313E-5,NO
186,94,2.701326193929359E-75,NO
187,27,0.04964815303775809,NO
188,77,6.637902529787313E-5,NO
189,744,8.144529928644162E-75,YES
190,64,6.637902529787313E-5,YES
191,45,6.637902529787313E-5,NO
192,63,6.637902529787313E-5,NO
193,37,6.637902529787313E-5,NO
194,64,6.637902529787313E-5,NO
195,124,2.701326193929359E-75,NO
196,172,2.657237364398454E-75,NO
197,36,6.637902529787313E-5,NO
198,58,6.637902529787313E-5,NO
199,62,6.637902529787313E-5,NO
200,132,2.701326193929359E-75,NO
201,74,6.637902529787313E-5,NO
202,83,6.637902529787313E-5,NO
203,74,6.637902529787313E-5,NO
204,48,6.637902529787313E-5,NO
205,60,6.637902529787313E-5,YES
206,86,2.701326193929359E-75,NO
207,355,2.9097277615480432E-75,NO
208,53,6.637902529787313E-5,NO
209,612,5.400442351281618E-75,YES
210,39,6.637902529787313E-5,NO
211,78,6.637902529787313E-5,YES
212,85,6.637902529787313E-5,YES
213,31,6.637902529787313E-5,NO
214,57,6.637902529787313E-5,NO
215,108,2.701326193929359E-75,NO
