ID,SIZE,PREDICTED,ACTUAL
0,215,0.36763739517362876,NO
1,273,0.57229292730263,YES
2,460,0.5702181914299415,YES
3,138,0.5560543465700362,NO
4,358,0.5755515537158749,NO
5,1248,0.41200310267331985,YES
6,51,0.3360532532813814,NO
7,157,0.5603946617376391,NO
8,31,0.32970752373861517,NO
9,981,0.395579968635445,YES
10,180,0.3645718052142335,NO
11,262,0.57229292730263,NO
12,553,0.5562167841201704,YES
13,40,0.3360532532813814,NO
14,369,0.7656523724466363,NO
15,390,0.5750246627330138,NO
16,51,0.3360532532813814,NO
17,577,0.35259768223759214,YES
18,32,0.32970752373861517,NO
19,66,0.34196457895357435,NO
20,188,0.5641860882771629,YES
21,582,0.35259768223759214,YES
22,160,0.5603946617376391,YES
23,50,0.3360532532813814,NO
24,27,0.32970752373861517,NO
25,923,0.6801109708065369,YES
26,60,0.34196457895357435,NO
27,62,0.34196457895357435,NO
28,87,0.3474275394426508,NO
29,52,0.3360532532813814,NO
30,268,0.3722603716095166,YES
31,163,0.36101062434956877,NO
32,109,0.3524298147253341,NO
33,147,0.35696062438929915,NO
34,58,0.3360532532813814,NO
35,44,0.3360532532813814,NO
36,106,0.3474275394426508,YES
37,139,0.35696062438929915,NO
38,326,0.3753705743915583,YES
39,648,0.33626920492223566,YES
40,792,0.5300874912227174,YES
41,319,0.765631535526513,YES
42,55,0.3360532532813814,NO
43,191,0.3645718052142335,NO
44,90,0.3474275394426508,NO
45,273,0.3722603716095166,YES
46,137,0.35696062438929915,NO
47,79,0.34196457895357435,NO
48,82,0.34196457895357435,NO
49,147,0.35696062438929915,NO
50,422,0.3723236923633806,NO
51,979,0.38581012489983846,YES
52,495,0.7628853299417986,YES
53,189,0.3645718052142335,NO
54,167,0.5673665989278535,YES
55,86,0.5457165358295745,NO
56,182,0.3645718052142335,YES
57,361,0.5791313387961741,NO
58,126,0.3524298147253341,NO
59,106,0.3474275394426508,NO
60,109,0.3524298147253341,NO
61,85,0.3474275394426508,NO
62,236,0.3702017699047883,NO
63,315,0.765631535526513,YES
64,695,0.8991327083898355,YES
65,27,0.32970752373861517,NO
66,89,0.3474275394426508,NO
67,301,0.5749962847242703,YES
68,153,0.35696062438929915,YES
69,92,0.3474275394426508,NO
70,466,0.5675358036874214,YES
71,93,0.3474275394426508,NO
72,244,0.3702017699047883,NO
73,192,0.3645718052142335,YES
74,252,0.57229292730263,NO
75,109,0.3524298147253341,NO
76,601,0.3476118594652983,YES
77,565,0.5513444082803718,YES
78,69,0.34196457895357435,NO
79,77,0.34196457895357435,NO
80,94,0.3474275394426508,YES
81,337,0.3753705743915583,NO
82,214,0.36763739517362876,NO
83,79,0.34196457895357435,NO
84,25,0.32970752373861517,NO
85,84,0.3474275394426508,NO
86,34,0.32970752373861517,NO
87,33,0.32970752373861517,NO
88,104,0.3474275394426508,NO
89,172,0.36101062434956877,NO
90,70,0.34196457895357435,NO
91,140,0.35696062438929915,NO
92,156,0.5603946617376391,NO
93,248,0.3702017699047883,NO
94,277,0.5739135773806582,YES
95,189,0.7758923857147194,NO
96,194,0.7781736014406604,NO
97,346,0.7838520104807549,NO
98,304,0.7858010480946758,NO
99,356,0.768658056989154,YES
100,84,0.7436294788033581,NO
101,53,0.5331542941454142,NO
102,132,0.35696062438929915,NO
103,4088,1.495320264787771E-67,NO
104,691,0.772068176601283,YES
105,47,0.7418095935431629,NO
106,101,0.5457165358295745,NO
107,510,0.6069801092547223,YES
108,328,0.5755420975052902,YES
109,273,0.3722603716095166,YES
110,136,0.35696062438929915,NO
111,56,0.3360532532813814,NO
112,74,0.34196457895357435,NO
113,359,0.5755515537158749,YES
114,174,0.36101062434956877,NO
115,148,0.35696062438929915,NO
116,92,0.3474275394426508,NO
117,45,0.3360532532813814,NO
118,168,0.36101062434956877,NO
119,77,0.34196457895357435,NO
120,666,0.5262960434330519,NO
121,88,0.3474275394426508,NO
122,262,0.57229292730263,NO
123,54,0.3360532532813814,NO
124,48,0.3360532532813814,YES
125,140,0.35696062438929915,NO
126,152,0.35696062438929915,NO
127,39,0.3360532532813814,NO
128,131,0.35696062438929915,NO
129,47,0.3360532532813814,NO
130,129,0.3524298147253341,NO
131,43,0.3360532532813814,NO
132,243,0.3702017699047883,YES
133,62,0.34196457895357435,NO
134,45,0.3360532532813814,NO
135,97,0.5457165358295745,NO
136,476,0.584610853207869,NO
137,77,0.5527868260880072,NO
138,69,0.5527868260880072,NO
139,104,0.5613973581758634,NO
140,115,0.5691903432649414,NO
141,421,0.5952398500063393,NO
142,61,0.5498921957246483,NO
143,2009,3.4400995250363466E-4,NO
144,179,0.587728084769182,NO
145,106,0.5637900254440268,NO
146,33,0.5330983252940176,NO
147,657,0.5122471120049162,NO
148,295,0.6020465485187259,NO
149,872,0.36138367182664405,NO
150,444,0.5914180337406969,NO
151,168,0.5839904482753787,NO
152,752,0.45222280268290355,NO
153,135,0.5761717237905357,NO
154,1126,0.1627473332874223,NO
155,163,0.5823484798797233,NO
156,184,0.5891243396550677,NO
157,51,0.5433544610555279,NO
158,25,0.529691625647037,NO
159,180,0.587728084769182,NO
160,64,0.5498921957246483,NO
161,101,0.5613973581758634,NO
162,512,0.5725224967811553,NO
163,187,0.5891243396550677,NO
164,56,0.5433544610555279,NO
165,39,0.5402037847203055,NO
166,261,0.6002621028866112,NO
167,73,0.5527868260880072,NO
168,65,0.5498921957246483,NO
169,329,0.6033230888990379,NO
170,64,0.5498921957246483,NO
171,164,0.5839904482753787,NO
172,624,0.7317111891368094,NO
173,74,0.5527868260880072,NO
174,117,0.5691903432649414,NO
175,84,0.5587579050735934,NO
176,226,0.7815418304701909,NO
177,76,0.5527868260880072,NO
178,323,0.6033230888990379,NO
179,72,0.34196457895357435,NO
180,42,0.3360532532813814,NO
181,48,0.3360532532813814,NO
182,89,0.3474275394426508,NO
183,380,0.37487416217294994,NO
184,141,0.5560543465700362,NO
185,148,0.5560543465700362,NO
186,191,0.3645718052142335,NO
187,46,0.3360532532813814,NO
188,165,0.36101062434956877,NO
189,171,0.36101062434956877,NO
190,56,0.3360532532813814,NO
191,179,0.3645718052142335,NO
192,74,0.34196457895357435,NO
193,36,0.3360532532813814,NO
194,37,0.3360532532813814,NO
195,34,0.32970752373861517,NO
196,34,0.32970752373861517,NO
197,38,0.3360532532813814,NO
198,39,0.3360532532813814,NO
199,156,0.36101062434956877,NO
200,84,0.3474275394426508,NO
201,117,0.3524298147253341,NO
202,94,0.3474275394426508,NO
203,71,0.34196457895357435,NO
204,183,0.3645718052142335,NO
205,85,0.3474275394426508,NO
206,183,0.3645718052142335,NO
207,70,0.34196457895357435,NO
208,54,0.3360532532813814,NO
209,160,0.36101062434956877,NO
210,125,0.3524298147253341,NO
211,151,0.35696062438929915,NO
212,422,0.5723592498189961,NO
213,221,0.567431294325204,NO
214,50,0.3360532532813814,NO
215,42,0.3360532532813814,NO
216,624,0.34216494570144995,NO
217,377,0.37487416217294994,NO
218,383,0.37487416217294994,NO
219,72,0.34196457895357435,NO
220,92,0.3474275394426508,NO
221,282,0.5739135773806582,NO
222,371,0.37487416217294994,NO
223,47,0.3360532532813814,NO
224,108,0.3524298147253341,NO
225,111,0.3524298147253341,NO
226,319,0.37484694928818035,NO
227,129,0.3524298147253341,NO
228,49,0.3360532532813814,NO
229,358,0.3753796503279987,NO
230,277,0.3738096389474289,NO
231,49,0.3360532532813814,NO
232,89,0.3474275394426508,NO
233,41,0.3360532532813814,NO
234,66,0.34196457895357435,NO
235,63,0.34196457895357435,NO
236,24,0.32970752373861517,NO
237,50,0.3360532532813814,NO
238,72,0.34196457895357435,NO
239,47,0.3360532532813814,NO
240,47,0.3360532532813814,NO
241,183,0.3645718052142335,NO
242,49,0.3360532532813814,NO
243,50,0.3360532532813814,NO
244,98,0.3474275394426508,NO
245,143,0.35696062438929915,NO
246,43,0.3360532532813814,NO
247,42,0.3360532532813814,NO
248,56,0.3360532532813814,NO
249,44,0.3360532532813814,NO
250,26,0.32970752373861517,NO
251,254,0.3722603716095166,NO
252,16883,0.24405840120266836,NO
253,74,0.34196457895357435,NO
