ID,SIZE,PREDICTED,ACTUAL
0,215,7.849837592364001E-6,NO
1,271,7.849837592364001E-6,YES
2,458,4.7924414189076446E-5,YES
3,137,7.849837592364001E-6,YES
4,357,4.746948139999874E-5,YES
5,1242,1.0,YES
6,51,7.849837592364001E-6,NO
7,154,5.539310994500302E-5,YES
8,31,7.849837592364001E-6,NO
9,928,0.2094125505131401,NO
10,180,7.849837592364001E-6,NO
11,260,7.89294435450243E-4,YES
12,551,3.857259540881654E-72,YES
13,40,7.849837592364001E-6,NO
14,361,1.1156256125186829E-4,YES
15,388,3.0991937284674986E-4,YES
16,51,5.7567685522585617E-5,NO
17,577,1.4102552614220913E-71,NO
18,32,7.849837592364001E-6,NO
19,66,7.849837592364001E-6,NO
20,188,1.8708201408199103E-4,YES
21,582,8.396497626736588E-72,NO
22,158,5.776607782826315E-5,YES
23,50,5.539310994500302E-5,NO
24,27,7.849837592364001E-6,NO
25,928,1.9915674760180305E-69,YES
26,60,7.849837592364001E-6,NO
27,62,5.776607782826315E-5,NO
28,87,5.539310994500302E-5,NO
29,52,5.776607782826315E-5,NO
30,268,0.14397103415536974,NO
31,163,7.849837592364001E-6,NO
32,109,4.649617603146663E-5,NO
33,147,7.849837592364001E-6,NO
34,58,5.776607782826315E-5,NO
35,44,7.849837592364001E-6,NO
36,106,3.4336015534318934E-4,NO
37,139,7.849837592364001E-6,NO
38,326,1.1266368510480191E-4,YES
39,648,1.2708248975118565E-68,YES
40,778,0.9999993544540776,YES
41,314,0.0013584090601392225,YES
42,55,7.849837592364001E-6,NO
43,191,5.539310994500302E-5,NO
44,90,6.37716590380959E-5,NO
45,273,0.45555035918768966,NO
46,137,5.256962862168765E-4,NO
47,79,5.493684337179943E-4,NO
48,82,5.776607782826315E-5,NO
49,147,0.019885719225890518,NO
50,422,0.9999999999997838,NO
51,978,0.9999976334447293,YES
52,467,8.66824376666014E-68,YES
53,189,5.544792515035614E-4,NO
54,153,3.662357158487521E-4,YES
55,84,7.849837592364001E-6,YES
56,182,3.010130051306473E-72,NO
57,358,0.9999999983547231,NO
58,126,9.143661883317955E-6,NO
59,106,9.878046681317512E-7,NO
60,109,6.222002510448641E-5,NO
61,85,7.849837592364001E-6,NO
62,236,7.923155310094951E-4,NO
63,314,1.0688437515748702E-73,YES
64,694,0.023911953834285255,YES
65,27,7.849837592364001E-6,NO
66,89,5.776607782826315E-5,NO
67,301,0.7521676745850764,YES
68,153,0.0037956521412882242,YES
