ID,SIZE,PREDICTED,ACTUAL
0,215,0.09,NO
1,274,0.73,YES
2,461,0.74,YES
3,138,0.07,NO
4,358,0.0,NO
5,1248,0.95,YES
6,51,0.0,NO
7,45,0.02,NO
8,157,0.01,NO
9,31,0.0,NO
10,1008,0.73,YES
11,55,0.4975,NO
12,204,0.78,NO
13,55,0.02,NO
14,103,0.012666666666666666,NO
15,83,0.3425,NO
16,262,0.41,NO
17,83,0.11333333333333334,NO
18,867,0.68,YES
19,40,0.01,NO
20,387,0.81,YES
21,390,0.75,NO
22,51,0.0,NO
23,637,1.0,NO
24,32,0.0,NO
25,68,0.11,YES
26,547,0.44,YES
27,566,0.98,NO
28,314,0.94,YES
29,839,0.64,NO
30,211,0.81,NO
31,31,0.03,NO
32,50,0.004333333333333333,NO
33,27,0.0,NO
34,175,0.52,NO
35,50,0.18333333333333335,NO
36,62,0.09849999999999999,NO
37,87,0.1,NO
38,52,0.0,NO
39,373,0.97,NO
40,224,0.5425,NO
41,118,0.01,YES
42,83,0.8147619047619047,NO
43,147,0.4083333333333334,NO
44,58,0.03225,NO
45,44,0.59,NO
46,106,0.4671666666666667,NO
47,189,0.86,NO
48,151,0.755,NO
49,352,0.02,YES
50,849,0.5825,YES
51,877,0.81,YES
52,41,0.0,NO
53,319,0.68,YES
54,27,0.0,NO
55,55,0.0,NO
56,94,0.5268531746031746,NO
57,191,0.69,NO
58,90,0.17566666666666667,NO
59,90,0.17566666666666667,NO
60,271,0.52,YES
61,152,0.49,NO
62,90,0.71,YES
63,82,0.2525,NO
64,147,0.4083333333333334,NO
65,422,0.76,YES
66,1059,0.54,YES
67,530,0.4,NO
68,205,0.58,YES
69,190,0.71,NO
70,86,0.09,NO
71,207,0.97,YES
72,397,0.52,YES
73,573,0.9,NO
74,126,0.0,YES
75,167,0.6275,YES
76,109,0.0175,NO
77,85,0.027499999999999997,NO
78,237,0.25,NO
79,424,0.65,YES
80,47,0.07349603174603175,NO
81,1118,0.8,YES
82,27,0.0,NO
83,89,0.07666666666666666,NO
84,474,0.63,YES
85,166,0.24,NO
86,92,0.49183333333333323,NO
87,476,0.62,YES
88,93,0.19377380952380954,NO
89,244,0.16,NO
90,204,0.32,YES
91,252,0.0,NO
92,109,0.0175,YES
93,618,0.91,YES
94,565,0.89,YES
95,69,0.67,NO
96,77,0.06,NO
97,97,0.23300000000000004,NO
98,343,0.02,NO
99,214,0.0,NO
100,79,0.35,NO
101,25,0.0,NO
102,84,0.3268650793650794,NO
103,34,0.0,NO
104,33,0.0,NO
105,104,0.6314285714285715,NO
106,172,0.03,NO
107,70,0.07,NO
108,140,0.075,NO
109,156,0.03,NO
110,142,0.085,NO
111,152,0.6204999999999999,NO
112,31,0.0,NO
113,60,0.2915952380952381,NO
114,60,0.2915952380952381,NO
115,876,0.84,NO
