ID,SIZE,PREDICTED,ACTUAL
0,76,4.341031429067546E-5,NO
1,72,3.7209302325581394E-5,NO
2,196,2.603488674824264E-4,NO
3,170,6.511264487563484E-5,NO
4,120,5.209147262593113E-5,NO
5,65,1.3709334685987688E-5,NO
6,103,5.209147262593113E-5,NO
7,96,3.2558442404115385E-5,NO
8,221,2.603488674824264E-4,YES
9,312,0.9997396511325175,NO
10,151,2.603488674824264E-4,NO
11,53,2.00364663687912E-5,NO
12,605,1.3020833333333333E-4,NO
13,852,2.603488674824264E-4,YES
14,51,2.367928772702517E-5,NO
15,61,3.2558442404115385E-5,NO
16,162,4.341031429067546E-5,NO
17,68,2.367928772702517E-5,NO
18,138,3.7209302325581394E-5,NO
19,219,2.603488674824264E-4,YES
20,369,2.603488674824264E-4,NO
21,262,2.603488674824264E-4,NO
22,35,2.367928772702517E-5,NO
23,546,2.603488674824264E-4,NO
24,263,1.3020833333333333E-4,NO
25,45,1.627975124540097E-5,NO
26,129,6.511264487563484E-5,NO
27,61,3.2558442404115385E-5,NO
28,172,8.681309141418526E-5,NO
29,210,1.3020833333333333E-4,NO
30,348,2.603488674824264E-4,NO
31,49,2.6047093144405085E-5,NO
32,41,1.2403716153359547E-5,NO
33,97,6.511264487563484E-5,NO
34,1387,0.9997396511325175,NO
35,653,2.603488674824264E-4,NO
36,46,0.0769400308561582,NO
37,458,2.603488674824264E-4,NO
38,371,2.603488674824264E-4,YES
39,221,2.603488674824264E-4,NO
40,460,1.3020833333333333E-4,NO
41,171,1.3020833333333333E-4,NO
42,47,2.6047093144405085E-5,NO
43,131,2.603488674824264E-4,NO
44,80,2.894104708708361E-5,NO
45,131,5.209147262593113E-5,NO
46,323,2.603488674824264E-4,YES
47,159,4.341031429067546E-5,NO
48,701,2.603488674824264E-4,YES
49,43,0.04763027002890066,NO
50,203,1.3020833333333333E-4,NO
51,54,2.1706099413935314E-5,NO
52,84,3.7209302325581394E-5,NO
53,166,2.603488674824264E-4,NO
54,36,0.10002083767451553,NO
55,84,3.7209302325581394E-5,NO
56,36,0.10002083767451553,NO
57,197,1.3020833333333333E-4,NO
58,43,0.04763027002890066,NO
59,49,2.6047093144405085E-5,NO
60,73,2.894104708708361E-5,NO
61,75,3.7209302325581394E-5,NO
62,131,5.209147262593113E-5,NO
63,94,2.894104708708361E-5,NO
