ID,SIZE,PREDICTED,ACTUAL
0,56,3.828989972381797E-5,NO
1,45,5.743265049529861E-5,NO
2,45,5.743265049529861E-5,NO
3,97,5.743265049529861E-5,NO
4,43,5.743265049529861E-5,NO
5,76,5.743265049529861E-5,NO
6,76,0.21276736156824091,NO
7,72,2.2525093924293163E-6,NO
8,196,1.276395154850582E-5,NO
9,170,2.6715786681348486E-6,NO
10,120,3.961296083041493E-6,NO
11,88,1.1485210846858858E-4,NO
12,72,1.1485210846858858E-4,NO
13,242,2.2974643591730237E-5,NO
14,312,0.588234101623419,NO
15,158,3.828989972381797E-5,NO
16,53,0.10416761401311193,NO
17,605,1.1487585719052743E-5,NO
18,890,1.1485210846858858E-4,YES
19,69,1.1485210846858858E-4,NO
20,61,1.4919240748531233E-6,NO
21,162,0.44444472809360497,NO
22,68,1.6411159926543444E-6,NO
23,146,1.641067515375746E-5,NO
24,215,7.658449130762405E-6,YES
25,437,6.382057234522231E-6,NO
26,72,2.2525093924293163E-6,NO
27,74,0.13698744389963458,NO
28,327,0.909082364587817,NO
29,265,0.6666641138502897,NO
30,35,2.0154040963244727E-6,NO
31,555,1.1485210846858858E-4,NO
32,297,1.1487585719052743E-5,NO
33,45,7.814851496054528E-7,NO
34,420,1.1485210846858858E-4,NO
35,181,1.1485210846858858E-4,NO
36,129,4.254722925604972E-6,NO
37,61,1.4919240748531233E-6,NO
38,65,9.045534544582514E-7,NO
39,161,1.1485210846858858E-4,NO
40,244,1.4359399671398628E-5,NO
41,425,1.1485210846858858E-4,NO
42,49,1.454153954957464E-6,NO
43,41,5.743918228657086E-7,NO
44,107,0.999988512414281,NO
45,1636,0.999988512414281,YES
46,1069,0.999988512414281,YES
47,46,0.08064593830264696,NO
48,465,2.2974643591730237E-5,NO
49,98,1.1485210846858858E-4,NO
50,408,1.1485210846858858E-4,YES
51,221,1.4359399671398628E-5,NO
52,460,7.658449130762405E-6,NO
53,198,0.45454569189648075,YES
54,57,3.828989972381797E-5,NO
55,418,1.1485210846858858E-4,NO
56,374,1.1485210846858858E-4,YES
57,53,0.10416761401311193,NO
58,163,1.1485210846858858E-4,NO
59,47,1.1603861609782283E-6,NO
60,286,1.276395154850582E-5,NO
61,82,1.8832469484348168E-6,NO
62,131,4.595097631514612E-6,NO
63,407,1.1485210846858858E-4,YES
64,159,4.994667347127345E-6,NO
65,931,1.1485210846858858E-4,YES
66,43,0.19230814547663594,NO
67,206,1.1487585719052743E-5,NO
68,58,1.8528721102154082E-6,NO
69,121,1.1485210846858858E-4,NO
70,167,3.7057304879414827E-6,NO
71,36,0.3061229035165167,NO
72,84,2.088691211859412E-6,NO
73,36,0.3061229035165167,NO
74,214,1.1485210846858858E-4,NO
75,43,0.19230814547663594,NO
76,49,1.454153954957464E-6,NO
77,73,1.7673552381762257E-6,NO
78,75,1.6411159926543444E-6,NO
79,192,1.1485210846858858E-4,NO
80,192,5.470344747319989E-6,NO
81,141,1.1485210846858858E-4,NO
82,95,0.31250067311377383,NO
83,160,4.786558199935867E-6,NO
84,193,8.836651250866131E-6,NO
85,109,5.470344747319989E-6,NO
86,70,1.4727968994652923E-6,NO
87,235,1.1485210846858858E-4,NO
88,63,1.914634277384425E-6,NO
89,46,0.08064593830264696,NO
90,54,0.1030937236287894,NO
91,70,1.4727968994652923E-6,YES
92,62,1.1485210846858858E-4,NO
93,44,3.282221212297248E-6,NO
94,51,1.235249599316625E-6,NO
95,211,1.1485210846858858E-4,NO
96,78,2.9455851224333194E-6,NO
97,59,1.400953349571351E-6,NO
98,56,0.4310346193558481,NO
99,44,3.282221212297248E-6,NO
100,224,7.658449130762405E-6,NO
101,125,1.1485210846858858E-4,NO
102,117,1.1485210846858858E-4,NO
103,211,1.276395154850582E-5,NO
104,83,2.2091920955066733E-6,NO
105,213,9.573024756191444E-6,NO
106,175,6.382057234522231E-6,NO
107,47,1.1603861609782283E-6,NO
108,230,4.595097631514612E-6,NO
109,47,1.1603861609782283E-6,NO
110,93,2.127370514174583E-6,NO
111,47,1.1603861609782283E-6,NO
112,57,1.6180017576966369E-6,NO
113,155,4.418364668980745E-6,NO
114,167,3.7057304879414827E-6,NO
115,65,9.045534544582514E-7,NO
116,65,9.045534544582514E-7,NO
117,45,7.814851496054528E-7,NO
118,521,1.1485210846858858E-4,YES
119,47,1.1603861609782283E-6,NO
120,32,1.7949700646367998E-6,NO
