ID,SIZE,PREDICTED,ACTUAL
0,56,0.3824885093425265,NO
1,45,1.1919803561637303E-7,NO
2,45,1.1919803561637303E-7,NO
3,97,0.39423082572198126,NO
4,43,0.19465655328510698,NO
5,76,0.1864409731702219,NO
6,76,0.1864409731702219,NO
7,72,2.8053670037221607E-7,NO
8,196,1.8515364049087932E-6,NO
9,170,5.786065995868748E-7,NO
10,120,0.5194805054276628,NO
11,242,2.1363869424030075E-6,NO
12,312,0.5999997778153022,NO
13,158,0.45454556931024287,NO
14,53,0.12000014071723573,NO
15,632,3.967561219469616E-6,NO
16,937,9.257544899092759E-6,YES
17,87,0.14285731998172924,NO
18,61,0.23404263177099563,NO
19,162,0.3859650234073819,NO
20,68,2.696420771068483E-7,NO
21,39,1.0248392334694455E-7,NO
22,911,6.943190812769916E-6,NO
23,56,0.3824885093425265,NO
24,213,0.7578945860516895,NO
25,484,0.8076916503410748,NO
26,86,5.909173637521834E-7,NO
27,311,9.257544899092759E-6,NO
28,359,3.967561219469616E-6,NO
29,146,1.388653589252932E-6,NO
30,215,0.7307687377558061,NO
31,437,1.1109234884775014E-6,NO
32,72,2.8053670037221607E-7,NO
33,74,0.40825690411004273,NO
34,358,1.8515364049087932E-6,YES
35,265,0.6956517014031444,NO
36,35,3.346160281077463E-7,NO
37,555,3.4716195105016483E-6,NO
38,297,1.9837884805370508E-6,NO
39,45,1.1919803561637303E-7,NO
40,378,2.777160630970895E-5,NO
41,180,3.085886390006665E-6,NO
42,128,5.143170435410522E-7,NO
43,61,0.23404263177099563,NO
44,65,1.542952241616446E-7,NO
45,161,0.6091953325816497,YES
46,244,2.3144183635210634E-6,NO
47,448,5.554568076786348E-6,NO
48,54,0.09316784222372797,NO
49,41,8.761244180781614E-8,NO
50,107,6.943277588072003E-7,NO
51,1746,0.9999972227005347,YES
52,1068,0.9999991040935755,YES
53,46,0.07486643644168738,NO
54,465,1.7358157813427575E-6,NO
55,136,0.16666710750971725,NO
56,423,0.9545443068975703,YES
57,221,1.3225274027677853E-6,NO
58,460,1.3225274027677853E-6,NO
59,215,0.7307687377558061,NO
60,57,0.5464683918916463,NO
61,429,2.777160630970895E-5,NO
62,440,2.777160630970895E-5,YES
63,53,0.12000014071723573,NO
64,163,0.47945207042960836,NO
65,47,0.0977012778517508,NO
66,307,0.48000004443693944,NO
67,82,2.9545885646786024E-7,NO
68,130,0.4102564741656488,NO
69,406,1.3225274027677853E-6,NO
70,158,0.45454556931024287,NO
71,966,2.777160630970895E-5,YES
72,43,0.19465655328510698,NO
73,206,1.068195753280963E-6,NO
74,58,3.346160281077463E-7,NO
75,121,0.4324324831503434,NO
76,167,0.18032815994405305,NO
77,36,0.2774194346033959,NO
78,84,3.085903530952538E-7,NO
79,36,0.2774194346033959,NO
80,214,0.49180328615241153,NO
81,43,0.19465655328510698,YES
82,49,1.9837955643124696E-7,NO
83,73,3.38696708613125E-7,NO
84,75,0.37864080942259093,NO
85,192,6.612645759244148E-7,NO
86,192,6.612645759244148E-7,YES
87,142,1.157211860032911E-6,NO
88,95,0.3428572259876126,NO
89,160,7.935172812193502E-7,NO
90,193,1.8515364049087932E-6,NO
91,109,0.7849461514639581,NO
92,70,0.2537314453679588,NO
93,235,9.576929559767701E-7,NO
94,62,0.3926940911435889,NO
95,46,0.07486643644168738,NO
96,95,0.3428572259876126,NO
97,85,3.192313929597985E-7,NO
98,62,0.3926940911435889,NO
99,62,0.3926940911435889,NO
100,51,1.7143913207910748E-7,NO
101,211,0.749999807131059,NO
102,78,3.38696708613125E-7,NO
103,59,2.314428005319481E-7,NO
104,56,0.3824885093425265,YES
105,44,0.19642872198446984,NO
106,224,1.1109234884775014E-6,NO
107,125,0.7685183804147968,NO
108,117,4.4084324495895743E-7,NO
109,211,0.749999807131059,NO
110,83,3.7531254151894987E-7,NO
111,213,0.7578945860516895,NO
112,174,1.8515364049087932E-6,NO
113,47,0.0977012778517508,NO
114,230,6.773929583647191E-7,NO
115,47,0.0977012778517508,NO
116,93,3.560657582242288E-7,NO
117,47,0.0977012778517508,NO
118,57,0.5464683918916463,NO
119,155,5.786065995868748E-7,NO
120,167,0.18032815994405305,NO
121,65,1.542952241616446E-7,NO
122,65,1.542952241616446E-7,NO
123,45,1.1919803561637303E-7,NO
124,518,0.999999158390843,YES
125,47,0.0977012778517508,NO
126,32,2.2042171965090488E-7,NO
127,56,0.3824885093425265,NO
128,61,0.23404263177099563,NO
129,146,1.388653589252932E-6,NO
130,166,2.1363869424030075E-6,NO
131,134,9.91896207980797E-7,NO
132,162,0.3859650234073819,NO
133,161,0.6091953325816497,NO
134,43,0.19465655328510698,YES
135,43,0.19465655328510698,YES
136,99,6.037633778870455E-7,NO
137,79,0.11363660751200082,NO
138,81,3.4716412044928587E-7,NO
139,51,1.7143913207910748E-7,NO
140,177,0.5588234333110603,NO
141,103,3.804538052989606E-7,NO
142,1157,9.257544899092759E-6,YES
143,156,6.458863498378824E-7,YES
144,36,0.2774194346033959,NO
145,71,0.12025329806027472,NO
146,41,8.761244180781614E-8,NO
147,39,1.0248392334694455E-7,NO
148,418,0.5555553841168936,YES
149,245,1.1109234884775014E-6,NO
150,57,0.5464683918916463,NO
151,47,0.0977012778517508,NO
152,289,8.416091567076249E-7,NO
153,118,5.340984471621746E-7,NO
154,68,2.696420771068483E-7,NO
155,250,2.524818970479816E-6,NO
156,152,0.6190475403255936,NO
157,54,0.09316784222372797,YES
158,61,0.23404263177099563,NO
159,61,0.23404263177099563,NO
160,214,0.49180328615241153,NO
161,97,0.39423082572198126,YES
162,127,1.068195753280963E-6,NO
163,165,0.8679241427014336,YES
164,189,1.9837884805370508E-6,NO
165,184,0.44000013331081855,NO
166,93,3.560657582242288E-7,NO
167,89,3.120576582694031E-7,NO
168,1104,4.6288153010118584E-6,YES
169,581,2.777160630970895E-5,NO
170,115,0.46853148075496315,NO
171,129,1.157211860032911E-6,NO
172,436,1.9837884805370508E-6,NO
173,166,2.1363869424030075E-6,NO
