ID,SIZE,PREDICTED,ACTUAL
0,56,0.41258745508291383,NO
1,45,1.8687969955724462E-7,NO
2,45,1.8687969955724462E-7,NO
3,97,8.276090374906893E-7,NO
4,43,0.0882354625033635,NO
5,76,0.021739853223875904,NO
6,76,0.021739853223875904,NO
7,72,5.431187398776245E-7,NO
8,196,3.159947039287621E-6,NO
9,170,7.395656530919391E-7,NO
10,120,9.65543610708265E-7,NO
11,88,1.1212761019060572E-6,NO
12,72,5.431187398776245E-7,NO
13,242,4.965613129081114E-6,NO
14,312,0.10000278075163714,NO
15,158,6.951830764631866E-6,NO
16,53,0.009346113176655181,NO
17,626,4.965613129081114E-6,NO
18,929,0.9999652427791872,NO
19,87,0.0131583400641955,NO
20,61,3.5834651749895635E-7,NO
21,162,0.142857852236083,NO
22,68,4.0418150012772134E-7,NO
23,39,1.6242815802570522E-7,NO
24,911,3.475722081262382E-5,NO
25,56,0.41258745508291383,NO
26,213,0.6470585228411242,NO
27,484,3.475722081262382E-5,NO
28,86,3.475722081262382E-5,NO
29,311,0.9999652427791872,NO
30,359,0.9999652427791872,NO
31,146,3.4759395464594075E-6,NO
32,215,0.4999999999999999,NO
33,437,1.6552153352390379E-6,NO
34,72,5.431187398776245E-7,NO
35,74,0.5406976579693509,NO
36,327,0.25000434487912543,YES
37,265,0.14286068972366361,NO
38,35,5.037623491042854E-7,NO
39,555,8.689758250925458E-6,NO
40,297,2.896619644874431E-6,NO
41,45,1.8687969955724462E-7,NO
42,420,1.1586277213268603E-5,NO
43,181,1.737921445950643E-5,NO
44,128,1.4483140176520511E-6,NO
45,61,3.5834651749895635E-7,NO
46,65,2.1724763754056554E-7,NO
47,161,1.7379758143285677E-6,NO
48,244,3.86215206837554E-6,NO
49,448,3.4759395464594075E-6,NO
50,54,0.009174624970860919,NO
51,41,1.4015978776444297E-7,NO
52,107,8.477945895444885E-7,NO
53,1644,0.9999652427791872,YES
54,1069,1.931083492325874E-6,YES
55,46,0.007042494859492802,NO
56,465,3.86215206837554E-6,NO
57,136,0.0312510183465311,NO
58,424,0.9999652427791872,YES
59,221,3.4759395464594075E-6,NO
60,460,2.0446761744108777E-6,NO
61,209,1.2873906522564739E-6,YES
62,57,0.6446280576262909,NO
63,418,0.16667052880381886,NO
64,382,6.951830764631866E-6,NO
65,53,0.009346113176655181,NO
66,163,1.198605302869581E-6,NO
67,47,0.008000273627711146,NO
68,307,3.475722081262382E-5,NO
69,82,4.7615895900223747E-7,NO
70,131,1.2873906522564739E-6,NO
71,407,0.9999652427791872,YES
72,158,6.951830764631866E-6,NO
73,967,0.9999652427791872,YES
74,43,0.0882354625033635,NO
75,206,2.3172984008323733E-6,NO
76,58,4.4563597601408925E-7,NO
77,121,1.1586518853583477E-6,NO
78,167,9.147256189033537E-7,NO
79,36,0.1844662323852283,NO
80,84,5.266606135806812E-7,NO
81,36,0.1844662323852283,NO
82,214,0.2272735890791885,NO
83,43,0.0882354625033635,NO
84,49,3.374719771706957E-7,NO
85,73,4.5142345099685584E-7,NO
86,75,0.46308726554460744,NO
87,192,1.198605302869581E-6,NO
88,192,1.198605302869581E-6,NO
89,142,2.3172984008323733E-6,NO
90,95,0.08474625200235893,NO
91,160,1.1586518853583477E-6,NO
92,193,2.3172984008323733E-6,NO
93,109,9.65543610708265E-7,NO
94,70,0.09183702423667182,NO
95,235,1.0862362998446682E-6,NO
96,63,4.7615895900223747E-7,NO
97,46,0.007042494859492802,NO
98,71,0.01020442908400618,NO
99,85,4.827722714918146E-7,NO
100,62,3.1599650128673774E-7,NO
101,44,0.16363678879502394,NO
102,51,2.970907389389404E-7,NO
103,211,2.48281889325865E-6,NO
104,78,7.556431429918632E-7,NO
105,59,3.5110719899667606E-7,NO
106,56,0.41258745508291383,NO
107,44,0.16363678879502394,NO
108,224,1.829447890920999E-6,NO
109,125,0.8194441360066044,NO
110,117,1.1586518853583477E-6,NO
111,211,2.48281889325865E-6,NO
112,83,5.698294671353704E-7,NO
113,213,0.6470585228411242,NO
114,175,1.5799785122922328E-6,NO
115,47,0.008000273627711146,NO
116,230,1.0533201176769235E-6,NO
117,47,0.008000273627711146,NO
118,93,5.266606135806812E-7,NO
119,47,0.008000273627711146,NO
120,57,0.6446280576262909,NO
121,155,1.0862362998446682E-6,NO
122,167,9.147256189033537E-7,NO
123,65,2.1724763754056554E-7,NO
124,65,2.1724763754056554E-7,NO
125,45,1.8687969955724462E-7,NO
126,517,0.9999652427791872,YES
127,47,0.008000273627711146,NO
128,32,3.9499556419981405E-7,NO
129,56,0.41258745508291383,NO
130,61,3.5834651749895635E-7,NO
131,146,3.4759395464594075E-6,NO
132,166,4.344916881740052E-6,NO
133,134,2.172467880062393E-6,NO
134,162,0.142857852236083,NO
135,161,1.7379758143285677E-6,NO
136,43,0.0882354625033635,NO
137,43,0.0882354625033635,NO
138,99,1.4483140176520511E-6,NO
139,79,0.015385133693442786,NO
140,81,5.891456974984285E-7,NO
141,51,2.970907389389404E-7,NO
142,177,0.07143069955905135,NO
143,103,6.815605828978729E-7,NO
144,1137,3.475722081262382E-5,NO
145,156,1.198605302869581E-6,NO
146,36,0.1844662323852283,NO
147,71,0.01020442908400618,NO
148,41,1.4015978776444297E-7,NO
149,39,1.6242815802570522E-7,NO
150,382,6.951830764631866E-6,NO
151,245,2.172467880062393E-6,NO
152,57,0.6446280576262909,NO
153,47,0.008000273627711146,NO
154,290,1.6552153352390379E-6,NO
155,118,1.2873906522564739E-6,NO
156,68,4.0418150012772134E-7,NO
157,250,5.793205728321824E-6,NO
158,152,0.6249998448232412,NO
159,54,0.009174624970860919,NO
160,61,3.5834651749895635E-7,NO
161,61,3.5834651749895635E-7,NO
162,214,0.2272735890791885,NO
163,97,8.276090374906893E-7,NO
164,127,1.2873906522564739E-6,NO
165,161,3.475722081262382E-5,NO
166,189,4.965613129081114E-6,NO
167,184,0.08333574718303738,NO
168,93,5.266606135806812E-7,NO
169,89,4.827722714918146E-7,NO
170,1104,0.9999652427791872,YES
171,581,0.9999652427791872,NO
172,115,0.16666705288440928,NO
173,129,1.1586518853583477E-6,NO
174,436,3.86215206837554E-6,NO
175,166,4.344916881740052E-6,NO
176,78,7.556431429918632E-7,NO
177,85,4.827722714918146E-7,NO
178,1357,0.9999652427791872,YES
179,458,8.689758250925458E-6,NO
180,257,1.6552153352390379E-6,NO
181,96,0.021739853223875904,NO
182,50,0.014493242783730289,NO
183,83,5.698294671353704E-7,NO
184,74,0.5406976579693509,NO
185,164,0.2857153497795256,NO
186,91,4.965657512642564E-7,NO
187,410,0.25000434487912543,NO
188,886,0.9999652427791872,NO
189,1908,3.475722081262382E-5,NO
190,1571,0.4999999999999999,NO
191,74,0.5406976579693509,NO
192,1146,5.793205728321824E-6,YES
193,142,2.3172984008323733E-6,NO
194,221,3.4759395464594075E-6,NO
195,63,4.7615895900223747E-7,NO
196,230,1.0533201176769235E-6,NO
197,629,8.689758250925458E-6,NO
198,138,7.395656530919391E-7,NO
199,37,4.573632278135385E-7,NO
200,163,1.198605302869581E-6,NO
201,2218,3.475722081262382E-5,NO
202,94,3.8621789177556724E-7,NO
203,282,3.159947039287621E-6,NO
204,136,0.0312510183465311,NO
205,69,0.10666703125630018,NO
206,104,0.04166799428784951,NO
207,278,2.896619644874431E-6,NO
208,568,0.9999652427791872,NO
209,390,1.1586277213268603E-5,NO
210,379,0.11111411500716427,YES
211,169,2.48281889325865E-6,NO
212,86,1.198605302869581E-6,YES
213,82,4.7615895900223747E-7,NO
214,96,0.021739853223875904,NO
215,184,0.08333574718303738,NO
216,81,5.891456974984285E-7,NO
217,61,3.5834651749895635E-7,NO
218,77,8.083623468052308E-7,NO
219,63,4.7615895900223747E-7,NO
220,74,0.5406976579693509,NO
221,95,0.08474625200235893,NO
222,78,7.556431429918632E-7,NO
223,130,1.4483140176520511E-6,NO
224,63,4.7615895900223747E-7,NO
225,359,0.9999652427791872,YES
226,138,7.395656530919391E-7,NO
227,191,2.6738039406522476E-6,NO
228,1651,1.737921445950643E-5,NO
229,303,3.86215206837554E-6,NO
230,99,1.4483140176520511E-6,NO
231,115,0.16666705288440928,NO
232,69,0.10666703125630018,NO
233,141,2.896619644874431E-6,NO
234,281,8.689758250925458E-6,NO
235,418,0.16667052880381886,NO
236,248,1.1586277213268603E-5,NO
237,450,3.475722081262382E-5,NO
238,277,4.965613129081114E-6,NO
239,87,0.0131583400641955,NO
240,110,4.138048612139876E-7,NO
241,167,9.147256189033537E-7,YES
242,99,1.4483140176520511E-6,NO
243,152,0.6249998448232412,NO
244,231,3.159947039287621E-6,NO
245,422,3.159947039287621E-6,NO
246,224,1.829447890920999E-6,NO
