ID,SIZE,PREDICTED,ACTUAL
0,76,8.156606851549756E-4,NO
1,72,2.7218290691344586E-4,NO
2,196,4.0816326530612246E-4,NO
3,170,4.0816326530612246E-4,NO
4,120,2.7218290691344586E-4,NO
5,242,0.5,NO
6,312,0.5,NO
7,158,4.0816326530612246E-4,NO
8,53,0.11118170266836085,NO
9,605,8.156606851549756E-4,NO
10,889,0.9991843393148451,NO
11,59,2.041649652919559E-4,NO
12,61,2.7218290691344586E-4,NO
13,162,0.5,NO
14,68,2.7218290691344586E-4,NO
15,146,0.5,NO
16,215,0.9991843393148451,YES
17,437,8.156606851549756E-4,NO
18,72,8.156606851549756E-4,NO
19,74,0.14294049008168028,NO
20,327,0.9991843393148451,NO
21,265,0.9991843393148451,NO
22,35,2.041649652919559E-4,NO
23,555,0.9991843393148451,NO
24,297,8.156606851549756E-4,NO
25,45,1.1668611435239207E-4,NO
26,420,0.9991843393148451,NO
27,181,0.9991843393148451,NO
28,129,8.156606851549756E-4,NO
29,61,2.7218290691344586E-4,NO
30,65,1.361285053090117E-4,NO
31,165,8.156606851549756E-4,NO
32,244,0.5,NO
33,425,0.9991843393148451,NO
34,49,2.7218290691344586E-4,NO
35,41,9.076057360682518E-5,NO
36,97,8.156606851549756E-4,NO
37,1603,0.9991843393148451,YES
38,964,0.9991843393148451,YES
39,46,0.33342406096897115,NO
40,465,0.5,NO
41,98,0.9991843393148451,NO
42,406,0.9991843393148451,YES
43,221,8.156606851549756E-4,NO
44,460,8.156606851549756E-4,NO
45,198,0.6665759390310289,YES
46,346,0.9991843393148451,NO
47,354,0.9991843393148451,YES
48,53,0.9991843393148451,NO
49,148,0.9991843393148451,NO
50,47,2.041649652919559E-4,NO
51,286,0.9991843393148451,NO
52,82,2.7218290691344586E-4,NO
53,131,4.0816326530612246E-4,NO
54,410,0.9991843393148451,YES
55,159,2.7218290691344586E-4,NO
56,918,8.156606851549756E-4,NO
57,43,0.18753191054835086,NO
58,206,0.5,NO
59,58,2.7218290691344586E-4,NO
60,117,8.156606851549756E-4,NO
61,167,1.633453119895459E-4,NO
62,36,0.5999673309376021,NO
63,84,4.0816326530612246E-4,NO
64,36,0.5999673309376021,NO
65,201,0.5,NO
66,43,0.18753191054835086,NO
67,49,2.7218290691344586E-4,NO
68,73,4.0816326530612246E-4,NO
69,75,1.633453119895459E-4,NO
70,193,0.9991843393148451,NO
71,192,8.156606851549756E-4,NO
72,131,4.0816326530612246E-4,NO
73,95,0.4000326690623979,NO
74,160,2.7218290691344586E-4,NO
75,193,8.156606851549756E-4,NO
76,109,8.156606851549756E-4,NO
77,70,2.7218290691344586E-4,NO
78,220,8.156606851549756E-4,NO
79,63,0.9991843393148451,NO
80,46,0.33342406096897115,NO
81,54,0.250102082482646,NO
82,70,2.7218290691344586E-4,YES
83,44,4.0816326530612246E-4,NO
84,51,1.361285053090117E-4,NO
85,207,8.156606851549756E-4,NO
86,78,8.156606851549756E-4,NO
87,59,2.041649652919559E-4,NO
88,56,0.6249744741678579,NO
89,44,4.0816326530612246E-4,NO
90,224,8.156606851549756E-4,NO
91,119,0.9991843393148451,NO
92,113,8.156606851549756E-4,NO
93,211,8.156606851549756E-4,NO
94,83,8.156606851549756E-4,NO
95,213,0.6665759390310289,NO
96,175,8.156606851549756E-4,NO
97,47,2.041649652919559E-4,NO
98,230,8.156606851549756E-4,NO
99,47,2.041649652919559E-4,NO
100,93,8.156606851549756E-4,NO
101,47,2.041649652919559E-4,NO
102,57,1.361285053090117E-4,NO
103,155,8.156606851549756E-4,NO
104,167,1.633453119895459E-4,NO
105,65,1.361285053090117E-4,NO
106,65,1.361285053090117E-4,NO
107,45,1.1668611435239207E-4,NO
108,503,0.9991843393148451,YES
109,47,2.041649652919559E-4,NO
110,32,4.0816326530612246E-4,NO
111,56,0.6249744741678579,NO
112,61,2.7218290691344586E-4,NO
113,128,8.156606851549756E-4,NO
114,166,0.9991843393148451,NO
115,134,8.156606851549756E-4,NO
116,155,8.156606851549756E-4,NO
117,161,8.156606851549756E-4,NO
118,43,0.18753191054835086,NO
119,43,0.18753191054835086,NO
120,95,0.4000326690623979,NO
121,79,0.250102082482646,NO
122,81,1.633453119895459E-4,NO
123,51,1.361285053090117E-4,NO
124,178,8.156606851549756E-4,NO
125,103,0.250102082482646,NO
126,999,0.9991843393148451,YES
127,156,8.156606851549756E-4,NO
128,36,0.5999673309376021,NO
129,71,0.250102082482646,NO
130,41,9.076057360682518E-5,NO
131,39,9.076057360682518E-5,NO
132,345,0.9991843393148451,YES
133,245,8.156606851549756E-4,NO
134,57,1.361285053090117E-4,NO
135,47,2.041649652919559E-4,NO
136,282,8.156606851549756E-4,NO
137,118,4.0816326530612246E-4,NO
138,68,2.7218290691344586E-4,NO
139,224,8.156606851549756E-4,NO
140,152,0.9997958350347081,NO
141,54,0.250102082482646,NO
142,57,1.361285053090117E-4,YES
143,57,1.361285053090117E-4,YES
144,214,0.5,NO
145,97,8.156606851549756E-4,NO
146,127,0.9991843393148451,NO
147,157,4.0816326530612246E-4,NO
148,183,0.9991843393148451,NO
149,184,8.156606851549756E-4,NO
150,93,8.156606851549756E-4,NO
151,89,2.7218290691344586E-4,NO
152,1102,0.9991843393148451,YES
153,495,0.9991843393148451,NO
154,115,0.4000326690623979,NO
155,128,8.156606851549756E-4,NO
156,436,8.156606851549756E-4,NO
157,170,4.0816326530612246E-4,NO
158,78,8.156606851549756E-4,NO
159,85,2.041649652919559E-4,NO
160,1246,0.9991843393148451,NO
161,426,0.9991843393148451,YES
162,257,8.156606851549756E-4,NO
163,87,0.5,NO
164,46,0.33342406096897115,NO
165,74,8.156606851549756E-4,NO
166,67,0.16675741900353935,NO
167,164,8.156606851549756E-4,NO
168,91,4.0816326530612246E-4,NO
169,307,0.9991843393148451,NO
170,788,0.9991843393148451,NO
171,1861,0.9991843393148451,NO
172,1360,0.9991843393148451,YES
173,71,0.250102082482646,NO
174,1143,0.9991843393148451,NO
175,142,8.156606851549756E-4,NO
176,167,1.633453119895459E-4,NO
177,63,8.156606851549756E-4,NO
178,230,8.156606851549756E-4,NO
179,629,8.156606851549756E-4,NO
180,138,4.0816326530612246E-4,NO
181,37,8.156606851549756E-4,NO
182,163,8.156606851549756E-4,NO
183,2218,8.156606851549756E-4,NO
184,96,0.9991843393148451,NO
185,189,0.9991843393148451,NO
186,136,0.9991843393148451,NO
187,69,0.4000326690623979,NO
188,104,0.33342406096897115,NO
189,269,8.156606851549756E-4,NO
190,553,0.9991843393148451,NO
191,334,0.9997958350347081,YES
192,379,0.9991843393148451,YES
193,169,0.9991843393148451,NO
194,87,0.5,YES
195,82,2.7218290691344586E-4,NO
196,96,0.9991843393148451,NO
197,184,0.9991843393148451,NO
198,81,1.633453119895459E-4,NO
199,61,2.7218290691344586E-4,NO
200,77,8.156606851549756E-4,NO
201,51,1.361285053090117E-4,NO
202,62,2.041649652919559E-4,NO
203,83,8.156606851549756E-4,NO
204,66,8.156606851549756E-4,NO
205,130,8.156606851549756E-4,NO
206,51,1.361285053090117E-4,NO
207,347,0.9991843393148451,NO
208,138,4.0816326530612246E-4,NO
209,179,0.9991843393148451,NO
210,1651,0.9991843393148451,NO
211,287,8.156606851549756E-4,YES
212,99,8.156606851549756E-4,NO
213,103,0.250102082482646,NO
214,68,2.7218290691344586E-4,NO
215,137,0.33342406096897115,NO
216,281,0.9991843393148451,NO
217,418,0.9991843393148451,NO
218,247,0.9991843393148451,NO
219,360,8.156606851549756E-4,YES
220,275,0.7999019928128064,NO
221,87,0.5,NO
222,98,4.0816326530612246E-4,NO
223,163,8.156606851549756E-4,NO
224,99,4.0816326530612246E-4,NO
225,152,0.9997958350347081,NO
226,231,4.0816326530612246E-4,NO
227,422,0.9991843393148451,NO
228,219,8.156606851549756E-4,NO
229,311,8.156606851549756E-4,YES
230,107,2.7218290691344586E-4,YES
231,96,0.9991843393148451,YES
232,113,8.156606851549756E-4,NO
233,83,8.156606851549756E-4,YES
234,266,0.9991843393148451,NO
235,110,8.156606851549756E-4,NO
236,41,8.156606851549756E-4,NO
237,89,2.7218290691344586E-4,NO
238,58,2.7218290691344586E-4,NO
239,54,0.250102082482646,NO
240,55,8.156606851549756E-4,NO
241,76,0.16675741900353935,YES
242,49,2.7218290691344586E-4,NO
243,84,4.0816326530612246E-4,NO
244,405,0.9991843393148451,NO
245,87,0.5,NO
246,97,8.156606851549756E-4,NO
247,115,0.4000326690623979,NO
248,1035,0.9991843393148451,YES
249,290,8.156606851549756E-4,NO
250,201,0.9991843393148451,NO
251,200,0.9991843393148451,NO
252,406,8.156606851549756E-4,YES
253,218,0.5,NO
254,353,8.156606851549756E-4,YES
255,273,8.156606851549756E-4,YES
256,330,0.9991843393148451,NO
257,602,8.156606851549756E-4,NO
258,259,0.9991843393148451,NO
259,169,8.156606851549756E-4,NO
260,77,8.156606851549756E-4,NO
261,57,1.361285053090117E-4,NO
262,60,0.14294049008168028,NO
263,124,0.5,NO
264,133,4.0816326530612246E-4,NO
265,154,0.9995918367346939,NO
266,97,8.156606851549756E-4,NO
267,786,8.156606851549756E-4,YES
268,308,0.9991843393148451,NO
269,188,8.156606851549756E-4,NO
270,337,0.9991843393148451,NO
271,110,8.156606851549756E-4,NO
272,166,0.9991843393148451,NO
273,106,8.156606851549756E-4,NO
274,741,8.156606851549756E-4,NO
275,85,2.041649652919559E-4,NO
276,194,8.156606851549756E-4,NO
277,187,0.9991843393148451,NO
278,100,8.156606851549756E-4,NO
279,85,2.041649652919559E-4,NO
280,45,1.1668611435239207E-4,NO
281,281,8.156606851549756E-4,NO
282,42,0.5,NO
283,960,8.156606851549756E-4,NO
284,468,0.9991843393148451,NO
285,65,1.361285053090117E-4,NO
286,81,1.633453119895459E-4,NO
287,1537,0.9991843393148451,NO
288,235,4.0816326530612246E-4,NO
289,227,8.156606851549756E-4,NO
290,227,0.9991843393148451,NO
291,770,8.156606851549756E-4,NO
292,502,8.156606851549756E-4,NO
293,74,0.14294049008168028,NO
294,618,0.9997958350347081,NO
295,446,8.156606851549756E-4,NO
296,125,0.9991843393148451,YES
297,888,0.9995918367346939,YES
298,155,8.156606851549756E-4,YES
299,80,4.0816326530612246E-4,NO
300,45,1.1668611435239207E-4,NO
301,38,0.18753191054835086,NO
302,914,0.9991843393148451,YES
303,5013,0.9991843393148451,YES
304,647,0.9991843393148451,YES
305,139,0.9991843393148451,YES
306,174,8.156606851549756E-4,NO
307,477,0.9991843393148451,YES
308,162,0.5,NO
309,211,0.6665759390310289,YES
310,300,8.156606851549756E-4,NO
311,351,0.9991843393148451,YES
312,118,4.0816326530612246E-4,NO
313,115,0.4000326690623979,NO
314,192,4.0816326530612246E-4,NO
315,406,0.9991843393148451,NO
316,42,0.5,NO
317,80,4.0816326530612246E-4,NO
318,963,0.9991843393148451,NO
319,557,0.9991843393148451,NO
320,318,0.9991843393148451,YES
321,1167,0.9991843393148451,YES
322,127,8.156606851549756E-4,NO
323,734,0.9991843393148451,YES
324,462,0.9991843393148451,YES
325,38,0.18753191054835086,NO
326,607,0.9991843393148451,NO
327,512,0.9991843393148451,YES
328,523,8.156606851549756E-4,NO
329,972,0.9991843393148451,NO
330,74,0.14294049008168028,NO
331,294,0.5,NO
332,709,0.9991843393148451,YES
333,155,0.9991843393148451,NO
334,137,8.156606851549756E-4,YES
335,46,0.33342406096897115,NO
336,63,8.156606851549756E-4,NO
337,273,0.9991843393148451,YES
338,191,4.0816326530612246E-4,NO
339,704,0.9991843393148451,NO
340,154,0.9995918367346939,NO
341,3109,0.9991843393148451,NO
342,36,0.5999673309376021,NO
343,355,0.9991843393148451,YES
344,65,1.361285053090117E-4,NO
345,148,0.33342406096897115,NO
346,520,0.9997278170930866,NO
347,112,8.156606851549756E-4,NO
348,90,1.633453119895459E-4,NO
349,91,4.0816326530612246E-4,NO
350,88,2.7218290691344586E-4,NO
351,87,0.5,NO
352,83,8.156606851549756E-4,NO
353,93,0.9991843393148451,NO
354,253,8.156606851549756E-4,YES
355,121,0.9991843393148451,NO
356,67,0.16675741900353935,NO
357,357,8.156606851549756E-4,YES
358,160,2.7218290691344586E-4,NO
359,202,0.9991843393148451,NO
360,74,0.9991843393148451,NO
361,48,8.156606851549756E-4,NO
362,1703,0.9991843393148451,NO
363,1631,0.9991843393148451,YES
364,43,8.156606851549756E-4,NO
365,142,8.156606851549756E-4,NO
366,66,0.9991843393148451,NO
367,95,0.9991843393148451,NO
368,140,4.0816326530612246E-4,NO
369,49,2.7218290691344586E-4,NO
370,147,0.9991843393148451,NO
371,117,0.9991843393148451,NO
372,539,0.9991843393148451,YES
373,409,0.9991843393148451,YES
