ID,SIZE,PREDICTED,ACTUAL
0,76,5.456073155028862E-6,NO
1,72,1.8977780814222708E-6,NO
2,196,1.0912027236419983E-5,NO
3,170,2.182443551097551E-6,NO
4,120,3.2332429103066084E-6,NO
5,242,2.182357819388067E-5,NO
6,312,0.14286605060670682,NO
7,158,4.3645251396648046E-5,NO
8,53,0.012501063943553157,NO
9,605,9.699603286225593E-6,NO
10,889,0.33334303256030495,NO
11,59,1.1337392875809066E-6,NO
12,61,1.2471129335588115E-6,NO
13,162,0.08333636449611162,NO
14,68,1.4311126757943033E-6,NO
15,146,1.4549263807251354E-5,NO
16,215,8.728288382648163E-5,YES
17,437,8.728288382648163E-5,NO
18,72,7.936067043894387E-6,NO
19,74,0.01785864607268793,NO
20,327,8.728288382648163E-5,NO
21,265,1.7459014962375824E-5,NO
22,35,1.6166266821000627E-6,NO
23,555,8.728288382648163E-5,NO
24,297,9.699603286225593E-6,NO
25,45,6.563760036809566E-7,NO
26,420,4.3645251396648046E-5,NO
27,181,4.3645251396648046E-5,NO
28,129,3.357597571785436E-6,NO
29,61,1.2471129335588115E-6,NO
30,65,7.591129613224356E-7,NO
31,165,4.3645251396648046E-5,NO
32,244,1.2470849389551923E-5,NO
33,425,4.3645251396648046E-5,NO
34,49,1.2651869883109373E-6,NO
35,41,4.876985359777648E-7,NO
36,97,3.1177706692606518E-6,NO
37,1603,0.9999127171161735,YES
38,964,8.728288382648163E-5,YES
39,46,0.009616207876627814,NO
40,465,2.182357819388067E-5,NO
41,98,0.25001091178909696,NO
42,406,4.3645251396648046E-5,YES
43,221,1.2470849389551923E-5,NO
44,460,6.235502456787968E-6,NO
45,198,0.08333636449611162,YES
46,346,8.728288382648163E-5,NO
47,354,8.728288382648163E-5,YES
48,53,0.055559866532164194,NO
49,148,8.72965989245059E-6,NO
50,47,9.920221578069168E-7,NO
51,286,0.9999127171161735,NO
52,82,1.58723356300603E-6,NO
53,131,3.7955417566526357E-6,NO
54,410,4.3645251396648046E-5,YES
55,159,4.157018918593098E-6,NO
56,918,0.9999127171161735,NO
57,43,0.025641733514296352,NO
58,206,1.0912027236419983E-5,NO
59,58,1.58723356300603E-6,NO
60,117,1.2470849389551923E-5,NO
61,167,3.1177706692606518E-6,NO
62,36,0.047620301330114856,NO
63,84,1.8187042823211031E-6,NO
64,36,0.047620301330114856,NO
65,201,0.05000392838124503,NO
66,43,0.025641733514296352,NO
67,49,1.2651869883109373E-6,NO
68,73,1.505135522402437E-6,NO
69,75,1.3856806532652873E-6,NO
70,193,1.0912027236419983E-5,NO
71,192,1.4549263807251354E-5,NO
72,131,3.7955417566526357E-6,NO
73,95,0.04878240929018411,NO
74,160,4.157018918593098E-6,NO
75,193,7.274737745704267E-6,NO
76,109,4.8498486847210365E-6,NO
77,70,1.2471129335588115E-6,NO
78,220,1.2470849389551923E-5,NO
79,63,0.11111488321564367,NO
80,46,0.009616207876627814,NO
81,54,0.012501063943553157,NO
82,70,1.2471129335588115E-6,YES
83,44,2.816052626391482E-6,NO
84,51,1.027034632634847E-6,NO
85,207,5.81980713159166E-6,NO
86,78,1.0912027236419983E-5,NO
87,59,1.1337392875809066E-6,NO
88,56,0.07462797415461109,NO
89,44,2.816052626391482E-6,NO
90,224,6.235502456787968E-6,NO
91,119,0.0909155840548541,NO
92,113,3.4919005367051124E-6,NO
93,211,4.3645251396648046E-5,NO
94,83,1.8977780814222708E-6,NO
95,213,7.936067043894387E-6,NO
96,175,5.456073155028862E-6,NO
97,47,9.920221578069168E-7,NO
98,230,4.364868050038847E-6,NO
99,47,9.920221578069168E-7,NO
100,93,1.8187042823211031E-6,NO
101,47,9.920221578069168E-7,NO
102,57,1.4311126757943033E-6,NO
103,155,3.968065012777169E-6,NO
104,167,3.1177706692606518E-6,NO
105,65,7.591129613224356E-7,NO
106,65,7.591129613224356E-7,NO
107,45,6.563760036809566E-7,NO
108,503,8.728288382648163E-5,YES
109,47,9.920221578069168E-7,NO
110,32,1.505135522402437E-6,NO
111,56,0.07462797415461109,NO
112,61,1.2471129335588115E-6,NO
113,128,0.14286605060670682,NO
114,166,4.3645251396648046E-5,NO
115,134,4.3645251396648046E-5,NO
116,155,3.968065012777169E-6,NO
117,161,5.456073155028862E-6,NO
118,43,0.025641733514296352,NO
119,43,0.025641733514296352,NO
120,95,0.04878240929018411,NO
121,79,0.020409872135429195,NO
122,81,2.0785180997356123E-6,NO
123,51,1.027034632634847E-6,NO
124,178,8.728288382648163E-5,NO
125,103,2.1292134472604474E-6,NO
126,999,0.9999127171161735,YES
127,156,1.7459014962375824E-5,NO
128,36,0.047620301330114856,NO
129,71,0.014085701955104285,NO
130,41,4.876985359777648E-7,NO
131,39,5.632130629384965E-7,NO
132,345,0.12500818402042732,YES
133,245,0.20001047540897743,NO
134,57,1.4311126757943033E-6,NO
135,47,9.920221578069168E-7,NO
136,282,8.72965989245059E-6,NO
137,118,5.456073155028862E-6,NO
