ID,SIZE,PREDICTED,ACTUAL
0,76,2.9312533048712463E-5,NO
1,72,2.4427349549757373E-5,NO
2,196,1.4652830431745932E-4,NO
3,170,3.256926901239734E-5,NO
4,120,3.6640129303390025E-5,NO
5,65,9.16053579067129E-6,NO
6,103,2.6647899338362242E-5,NO
7,96,2.2548407399442088E-5,NO
8,242,2.929707516200197E-4,NO
9,312,2.929707516200197E-4,NO
10,151,5.86216294005266E-5,NO
11,53,1.172542566179765E-5,NO
12,605,7.327488900396447E-5,NO
13,858,0.9999706874669514,YES
14,51,1.3958777722097959E-5,NO
15,61,1.8320735925828263E-5,NO
16,162,0.5555537460927886,NO
17,68,1.6285164902115272E-5,NO
18,146,1.4652830431745932E-4,NO
19,219,1.4652830431745932E-4,YES
20,369,1.4652830431745932E-4,NO
21,58,2.2548407399442088E-5,NO
22,48,0.3333365904087473,NO
23,302,1.4652830431745932E-4,NO
24,268,9.769507960787629E-5,NO
25,35,1.8320735925828263E-5,NO
26,546,2.929707516200197E-4,NO
27,263,5.86216294005266E-5,YES
28,45,9.456031356672708E-6,NO
29,129,4.187399512713263E-5,NO
30,61,1.8320735925828263E-5,NO
31,161,2.929707516200197E-4,NO
32,210,7.327488900396447E-5,YES
33,348,9.769507960787629E-5,YES
34,49,1.6285164902115272E-5,NO
35,41,6.817174864625971E-6,NO
36,97,3.6640129303390025E-5,NO
37,1422,2.929707516200197E-4,NO
38,670,2.929707516200197E-4,YES
39,46,0.30303380237374156,NO
40,458,1.4652830431745932E-4,NO
41,377,0.9999706874669514,YES
42,221,2.929707516200197E-4,NO
43,460,7.327488900396447E-5,NO
44,213,0.9090800073870359,NO
45,47,1.4656696149246488E-5,NO
46,150,5.86216294005266E-5,NO
47,80,2.093787431601339E-5,NO
48,131,3.6640129303390025E-5,NO
49,385,2.929707516200197E-4,YES
50,159,3.256926901239734E-5,NO
51,743,2.929707516200197E-4,YES
52,43,0.22222584121847908,NO
53,209,2.929707516200197E-4,NO
54,54,1.3958777722097959E-5,NO
55,84,2.2548407399442088E-5,NO
56,166,1.4652830431745932E-4,NO
57,36,0.3846179864133662,YES
58,84,2.2548407399442088E-5,NO
59,36,0.3846179864133662,YES
60,197,7.327488900396447E-5,NO
61,43,0.22222584121847908,NO
62,49,1.6285164902115272E-5,NO
63,73,1.8320735925828263E-5,NO
64,75,2.093787431601339E-5,NO
65,131,3.6640129303390025E-5,NO
66,94,1.7243082742657832E-5,NO
67,148,5.86216294005266E-5,NO
68,193,7.327488900396447E-5,NO
69,109,5.86216294005266E-5,NO
70,70,1.6285164902115272E-5,NO
71,220,2.929707516200197E-4,NO
72,63,2.093787431601339E-5,NO
73,46,0.30303380237374156,NO
74,54,1.3958777722097959E-5,NO
75,70,1.6285164902115272E-5,NO
76,43,0.22222584121847908,YES
77,51,1.3958777722097959E-5,NO
