ID,SIZE,PREDICTED,ACTUAL
0,76,3.80112513303938E-5,NO
1,72,3.80112513303938E-5,NO
2,196,8.868393047179852E-5,NO
3,170,3.80112513303938E-5,NO
4,120,6.651589729945457E-5,NO
5,65,3.80112513303938E-5,NO
6,103,3.80112513303938E-5,NO
7,214,3.80112513303938E-5,NO
8,261,3.80112513303938E-5,NO
9,150,3.80112513303938E-5,NO
10,53,3.80112513303938E-5,NO
11,605,3.80112513303938E-5,NO
12,883,3.80112513303938E-5,NO
13,51,3.80112513303938E-5,NO
14,61,3.80112513303938E-5,NO
15,162,3.80112513303938E-5,NO
16,63,3.80112513303938E-5,NO
17,138,3.80112513303938E-5,NO
18,218,5.321413367390379E-5,YES
19,369,3.80112513303938E-5,NO
20,262,3.80112513303938E-5,NO
21,35,3.80112513303938E-5,NO
22,263,5.321413367390379E-5,NO
23,45,3.80112513303938E-5,NO
24,129,3.80112513303938E-5,NO
25,61,3.80112513303938E-5,NO
26,172,3.80112513303938E-5,NO
27,210,3.80112513303938E-5,NO
28,348,2.4189646831156262E-5,NO
29,49,3.80112513303938E-5,NO
30,41,3.80112513303938E-5,NO
31,97,3.80112513303938E-5,NO
32,1387,3.80112513303938E-5,NO
33,649,2.6595744680851064E-4,YES
34,46,3.80112513303938E-5,NO
35,458,3.80112513303938E-5,NO
36,371,4.434589800443459E-5,YES
37,221,3.80112513303938E-5,NO
38,460,4.434589800443459E-5,NO
39,171,2.6595744680851064E-4,YES
40,47,3.80112513303938E-5,NO
41,127,3.80112513303938E-5,NO
42,80,3.80112513303938E-5,NO
43,131,3.80112513303938E-5,NO
44,318,1.5652391685449535E-5,NO
45,159,3.80112513303938E-5,NO
46,638,4.434589800443459E-5,YES
47,43,3.80112513303938E-5,NO
48,203,3.80112513303938E-5,NO
49,54,3.80112513303938E-5,NO
50,80,3.80112513303938E-5,NO
51,166,3.80112513303938E-5,NO
52,36,3.80112513303938E-5,NO
53,84,3.80112513303938E-5,NO
54,36,3.80112513303938E-5,NO
55,197,3.80112513303938E-5,NO
56,43,3.80112513303938E-5,NO
57,49,3.80112513303938E-5,NO
58,73,3.80112513303938E-5,NO
59,75,3.80112513303938E-5,NO
60,131,3.80112513303938E-5,NO
61,94,3.80112513303938E-5,NO
62,148,3.80112513303938E-5,NO
