ID,SIZE,PREDICTED,ACTUAL
0,56,7.535232207356919E-7,NO
1,45,7.587634653652249E-7,NO
2,45,7.587634653652249E-7,NO
3,97,7.384545360698397E-7,NO
4,43,7.616507524831614E-7,NO
5,76,7.451328777443866E-7,NO
6,76,7.451328777443866E-7,NO
7,72,7.451328777443866E-7,NO
8,196,7.55466505912412E-7,NO
9,170,7.447399963496241E-7,NO
10,120,7.359078601513846E-7,NO
11,242,7.904332749921957E-7,NO
12,312,8.818861711288601E-7,NO
13,158,7.403464277222931E-7,NO
14,53,7.560549008597247E-7,NO
15,632,2.776230746924946E-6,NO
16,937,2.234783732537299E-5,YES
17,87,7.406253807068647E-7,NO
18,61,7.51166710703349E-7,NO
19,162,7.416434471808406E-7,NO
20,68,7.469729519970142E-7,NO
21,39,7.647187264654402E-7,NO
22,911,1.844667205597402E-5,NO
23,56,7.535232207356919E-7,NO
24,213,7.672176511998153E-7,NO
25,484,1.4552113554131184E-6,NO
26,86,7.406253807068647E-7,NO
27,311,8.818861711288601E-7,NO
28,359,9.864241961856678E-7,NO
29,146,7.382505599040744E-7,NO
30,215,7.672176511998153E-7,NO
31,437,1.2180030346814393E-6,NO
32,72,7.451328777443866E-7,NO
33,74,7.451328777443866E-7,NO
34,358,9.753465529803717E-7,YES
35,265,8.152760385509051E-7,NO
36,35,7.647187264654402E-7,NO
37,555,1.9368675472261978E-6,NO
38,297,8.593461321907952E-7,NO
39,45,7.587634653652249E-7,NO
40,378,1.0343002402390113E-6,NO
41,180,7.485136689571832E-7,NO
42,128,7.360342318920062E-7,NO
43,61,7.51166710703349E-7,NO
44,65,7.489837784801296E-7,NO
45,161,7.416434471808406E-7,YES
46,244,7.949875655799476E-7,NO
47,448,1.2751682235774428E-6,NO
48,54,7.535232207356919E-7,NO
49,41,7.616507524831614E-7,NO
50,107,7.369439825869403E-7,NO
51,1746,0.975032057858678,YES
52,1068,7.58545494405705E-5,YES
53,46,7.587634653652249E-7,NO
54,465,1.3376856341087577E-6,NO
55,136,7.363425168112352E-7,NO
56,423,1.1657266599447282E-6,YES
57,221,7.741918337522149E-7,NO
58,460,1.3162210046744908E-6,NO
59,215,7.672176511998153E-7,NO
60,57,7.535232207356919E-7,NO
61,429,6.267412937985239E-6,NO
62,440,1.2364930755929674E-6,YES
63,53,7.560549008597247E-7,NO
64,163,7.416434471808406E-7,NO
65,47,7.587634653652249E-7,NO
66,307,8.741138701142138E-7,NO
67,82,7.419601557109418E-7,NO
68,130,7.360342318920062E-7,NO
69,406,1.117924714458101E-6,NO
70,158,7.403464277222931E-7,NO
71,966,2.9507161330660488E-5,YES
72,43,7.616507524831614E-7,NO
73,206,7.609815523566561E-7,NO
74,58,7.51166710703349E-7,NO
75,121,7.359078601513846E-7,NO
76,167,7.431076431636093E-7,NO
77,36,7.647187264654402E-7,NO
78,84,7.419601557109418E-7,NO
79,36,7.647187264654402E-7,NO
80,214,7.672176511998153E-7,NO
81,43,7.616507524831614E-7,YES
82,49,7.560549008597247E-7,NO
83,73,7.451328777443866E-7,NO
84,75,7.451328777443866E-7,NO
85,192,7.529746161255671E-7,NO
86,192,7.529746161255671E-7,YES
87,142,7.374503116532686E-7,NO
88,95,7.384545360698397E-7,NO
89,160,7.416434471808406E-7,NO
90,193,7.55466505912412E-7,NO
91,109,7.364349866529417E-7,NO
92,70,7.469729519970142E-7,NO
93,235,7.860795150268993E-7,NO
94,62,7.51166710703349E-7,NO
95,46,7.587634653652249E-7,NO
96,95,7.384545360698397E-7,NO
97,85,7.419601557109418E-7,NO
98,62,7.51166710703349E-7,NO
99,62,7.51166710703349E-7,NO
100,51,7.560549008597247E-7,NO
