ID,SIZE,PREDICTED,ACTUAL
0,56,4.832429627298367E-5,NO
1,45,2.731786164840857E-5,NO
2,45,2.731786164840857E-5,NO
3,97,0.001882215586477577,NO
4,43,2.461965847958726E-5,NO
5,76,2.277705422140015E-4,NO
6,76,5.237091752519547E-6,NO
7,72,5.251029633566215E-6,NO
8,196,5.305831098081132E-6,NO
9,170,5.227458715854123E-6,NO
10,120,5.172571721689992E-6,NO
11,88,7.101443123568196E-4,NO
12,72,1.5758164909271313E-4,NO
13,242,5.53851528168614E-6,NO
14,312,6.170143642057418E-6,NO
15,158,5.1969384167036665E-6,NO
16,53,5.301205633203073E-6,NO
17,605,1.6475145000912133E-5,NO
18,890,1.9745409081480084E-4,YES
19,69,1.0227797120389571E-5,NO
20,61,5.2830741136724526E-6,NO
21,162,5.2057586628946095E-6,NO
22,68,5.2663531191621865E-6,NO
23,146,5.183323462908699E-6,NO
24,215,5.3941824836786666E-6,YES
25,437,8.477511817108174E-6,NO
26,72,5.251029633566215E-6,NO
27,74,5.237091752519547E-6,NO
28,327,6.355969402740412E-6,NO
29,265,5.723235132935171E-6,NO
30,35,5.388137182653809E-6,NO
31,555,1.3079663697746919E-5,NO
32,297,6.003572113490774E-6,NO
33,45,5.341757973282973E-6,NO
34,420,1.57688788496003E-5,NO
35,181,5.254629192511629E-6,NO
36,129,5.172893964627381E-6,NO
37,61,5.2830741136724526E-6,NO
38,65,5.2663531191621865E-6,NO
39,161,0.005801914709536354,NO
40,244,5.53851528168614E-6,NO
41,425,8.091730014310794E-6,NO
42,49,5.320761822488539E-6,NO
43,41,5.3642105442882575E-6,NO
44,107,1.0159358215629599E-5,NO
45,1636,1.0,YES
46,1069,0.44819532217250385,YES
47,46,5.341757973282973E-6,NO
48,465,9.208830614698026E-6,NO
49,98,1.0276985746354234E-5,NO
50,408,0.0012871982686341718,YES
51,221,5.419968202047052E-6,NO
52,460,9.053048160700367E-6,NO
53,198,5.305831098081132E-6,YES
54,57,5.269575412479059E-5,NO
55,418,2.639432340031351E-4,NO
56,374,2.7680263826039E-5,YES
57,53,5.301205633203073E-6,NO
58,163,1.0582418167584006E-4,NO
59,47,5.341757973282973E-6,NO
60,286,5.9025834634241304E-6,NO
61,82,5.224528667986256E-6,NO
62,131,5.172893964627381E-6,NO
63,407,2.8501883367071647E-5,YES
64,159,5.2057586628946095E-6,NO
65,931,0.04702442451048895,YES
66,43,5.341757973282973E-6,NO
67,206,5.347084988435118E-6,NO
68,58,5.2830741136724526E-6,NO
69,121,1.0231180625667444E-5,NO
70,167,5.215929478017155E-6,NO
71,36,5.388137182653809E-6,NO
72,84,5.21333065428785E-6,NO
73,36,5.388137182653809E-6,NO
74,214,1.1075688238662838E-5,NO
75,43,5.341757973282973E-6,NO
76,49,5.320761822488539E-6,NO
77,73,5.251029633566215E-6,NO
78,75,5.237091752519547E-6,NO
79,192,1.0656840507116484E-4,NO
80,192,5.2873543646517965E-6,NO
81,141,1.0061654501572365E-4,NO
82,95,5.194996274580544E-6,NO
83,160,5.2057586628946095E-6,NO
84,193,5.2873543646517965E-6,NO
85,109,5.1775505501664595E-6,NO
86,70,5.251029633566215E-6,NO
87,235,1.9716152810517192E-5,NO
88,63,5.2663531191621865E-6,NO
89,46,5.341757973282973E-6,NO
90,54,5.301205633203073E-6,NO
91,70,5.251029633566215E-6,YES
92,62,3.1257789829198965E-4,NO
93,44,5.341757973282973E-6,NO
94,51,5.320761822488539E-6,NO
95,211,1.062147662023686E-5,NO
96,78,5.237091752519547E-6,NO
97,59,5.2830741136724526E-6,NO
98,56,5.301205633203073E-6,NO
99,44,5.341757973282973E-6,NO
100,224,5.419968202047052E-6,NO
101,125,9.97143941880236E-6,NO
102,117,1.02347927839292E-5,NO
103,211,5.369894464846264E-6,NO
104,83,5.224528667986256E-6,NO
105,213,5.369894464846264E-6,NO
106,175,5.240355291432917E-6,NO
107,47,5.341757973282973E-6,NO
108,230,5.47611560579816E-6,NO
109,47,5.341757973282973E-6,NO
110,93,5.203489055556466E-6,NO
111,47,5.341757973282973E-6,NO
112,57,5.301205633203073E-6,NO
113,155,5.1969384167036665E-6,NO
114,167,5.215929478017155E-6,NO
115,65,5.2663531191621865E-6,NO
116,65,5.2663531191621865E-6,NO
117,45,5.341757973282973E-6,NO
118,521,2.18414229860401E-4,YES
119,47,5.341757973282973E-6,NO
120,32,5.413556747093047E-6,NO
121,56,5.301205633203073E-6,NO
122,61,5.2830741136724526E-6,NO
123,146,1.0113918143929798E-4,NO
124,166,5.215929478017155E-6,NO
125,134,5.175042661067588E-6,NO
126,162,1.8595363964422326E-5,NO
127,161,5.2057586628946095E-6,NO
128,43,5.341757973282973E-6,NO
129,43,5.341757973282973E-6,NO
130,99,1.0261392035273851E-5,NO
131,79,5.224528667986256E-6,NO
132,81,5.224528667986256E-6,NO
133,51,5.320761822488539E-6,NO
134,177,1.0336249262753225E-5,NO
135,103,5.1878457630323116E-6,NO
136,1116,0.9910731108152618,YES
137,156,5.1969384167036665E-6,NO
138,36,5.388137182653809E-6,NO
139,71,5.251029633566215E-6,NO
140,41,5.3642105442882575E-6,NO
141,39,5.3642105442882575E-6,NO
142,379,1.5620763305535012E-4,YES
143,245,5.572121324438448E-6,NO
144,57,5.301205633203073E-6,NO
145,47,5.341757973282973E-6,NO
146,290,1.1644605298116133E-5,NO
147,118,5.1743979275710905E-6,NO
148,68,5.2663531191621865E-6,NO
149,250,1.1047875911950846E-4,NO
150,152,5.189461936794885E-6,NO
151,54,5.301205633203073E-6,NO
152,57,5.301205633203073E-6,YES
153,57,5.301205633203073E-6,YES
154,214,5.369894464846264E-6,NO
155,97,5.194996274580544E-6,NO
156,127,5.1720705290784295E-6,NO
157,157,5.1969384167036665E-6,NO
158,189,1.0193698596403853E-5,NO
159,184,1.0425937516610684E-5,NO
160,93,5.203489055556466E-6,NO
161,89,5.203489055556466E-6,NO
162,1101,0.0012696961491454378,YES
163,495,1.0256472023042214E-5,NO
164,115,5.1743979275710905E-6,NO
165,128,5.1720705290784295E-6,NO
166,436,8.477511817108174E-6,NO
167,170,5.227458715854123E-6,NO
168,78,5.237091752519547E-6,NO
169,85,5.21333065428785E-6,NO
170,1338,0.07751884631216412,NO
171,440,0.002573342550629781,NO
172,257,5.644281116876718E-6,NO
173,87,5.21333065428785E-6,NO
174,46,5.341757973282973E-6,NO
175,74,5.237091752519547E-6,NO
176,67,5.2663531191621865E-6,NO
177,164,5.215929478017155E-6,NO
178,91,5.203489055556466E-6,NO
179,307,6.112546935382547E-6,NO
180,788,4.674659359813134E-5,NO
181,1883,0.9999110845773084,NO
182,1532,1.0,NO
183,71,5.251029633566215E-6,NO
184,1143,9.662944557724115E-4,YES
185,142,5.178518269778645E-6,NO
186,167,5.215929478017155E-6,NO
187,63,5.2663531191621865E-6,NO
188,230,5.47611560579816E-6,NO
189,629,1.866878913389899E-5,NO
190,138,5.175042661067588E-6,NO
191,37,5.388137182653809E-6,NO
192,163,5.2057586628946095E-6,NO
193,2218,0.9999495138371856,NO
194,94,1.0228420994261785E-5,NO
195,207,1.1521906831867653E-5,NO
196,136,5.175042661067588E-6,NO
197,69,5.251029633566215E-6,NO
198,104,5.182032013049473E-6,NO
199,269,5.723235132935171E-6,NO
200,553,1.3079663697746919E-5,NO
201,334,0.0010675949223178107,NO
202,379,7.134543149800435E-6,YES
203,169,5.227458715854123E-6,NO
204,87,5.21333065428785E-6,YES
205,82,5.224528667986256E-6,NO
206,96,5.194996274580544E-6,NO
207,184,0.11635576655148687,NO
208,81,5.224528667986256E-6,NO
209,61,5.2830741136724526E-6,NO
210,77,5.237091752519547E-6,NO
211,51,5.320761822488539E-6,NO
212,62,5.2830741136724526E-6,NO
213,83,5.224528667986256E-6,NO
214,66,5.2663531191621865E-6,NO
215,130,5.172893964627381E-6,NO
216,51,5.320761822488539E-6,NO
217,347,6.636222035519797E-6,NO
218,138,5.175042661067588E-6,NO
219,179,5.254629192511629E-6,NO
220,1651,0.3996682028125328,NO
221,290,9.825798875314385E-4,NO
222,99,5.1878457630323116E-6,NO
223,103,5.1878457630323116E-6,NO
224,68,5.2663531191621865E-6,NO
225,137,5.175042661067588E-6,NO
226,281,5.854976678654684E-6,NO
227,418,7.971159187637932E-6,NO
228,247,5.572121324438448E-6,NO
229,449,1.0,NO
230,275,5.809241382928618E-6,NO
231,87,5.21333065428785E-6,NO
