ID,SIZE,PREDICTED,ACTUAL
0,56,2.2246166313353948E-5,NO
1,45,2.2371878659804573E-5,NO
2,45,2.2371878659804573E-5,NO
3,97,2.1973310288376184E-5,NO
4,43,2.2442888335042668E-5,NO
5,76,2.2097724035539066E-5,NO
6,76,2.2097724035539066E-5,NO
7,72,2.2097724035539066E-5,NO
8,196,2.2515681520945056E-5,NO
9,170,2.2188931395652554E-5,NO
10,120,2.193412207013026E-5,NO
11,88,2.1996614661183887E-5,NO
12,72,2.2097724035539066E-5,NO
13,242,2.3459800286019254E-5,NO
14,312,2.574217184225066E-5,NO
15,158,2.209577797475918E-5,NO
16,53,2.230632020493675E-5,NO
17,626,1.6402269050342155E-4,NO
18,929,0.7618829383047971,NO
19,87,5.1038354532163536E-5,NO
20,61,2.2191374253770493E-5,NO
21,162,2.2139711486677214E-5,NO
22,68,2.2141905170101047E-5,NO
23,39,1.1406799265683568E-4,NO
24,911,1.0,NO
25,56,3.6742388632121376E-4,NO
26,213,1.0,NO
27,478,1.0,NO
28,81,0.004840378021701781,NO
29,311,1.0,NO
30,359,1.0,NO
31,146,2.2023649644217594E-5,NO
32,215,2.287683464537748E-5,NO
33,437,3.39054225975941E-5,NO
34,72,2.2097724035539066E-5,NO
35,74,2.2097724035539066E-5,NO
36,327,2.644797790534384E-5,YES
37,265,4.924339300050703E-5,NO
38,35,2.2519399868868478E-5,NO
39,555,5.010873083704522E-5,NO
40,297,2.5311769473861323E-5,NO
41,45,2.2371878659804573E-5,NO
42,420,3.2517000607786107E-5,NO
43,181,2.230337362386939E-5,NO
44,128,4.4258387721316454E-5,NO
45,61,2.2191374253770493E-5,NO
46,65,2.2191374253770493E-5,NO
47,161,2.2139711486677214E-5,NO
48,244,4.805888244261427E-5,NO
49,448,9.862092369555733E-5,NO
50,54,4.5225608665803646E-5,NO
51,41,2.2442888335042668E-5,NO
52,107,2.1942195673545585E-5,NO
53,1635,0.9936033312739134,YES
54,1069,0.0020601183449266663,YES
55,46,2.2371878659804573E-5,NO
56,465,3.652321151564737E-5,NO
57,136,4.66813657883841E-4,NO
58,424,1.1456388397567947E-4,YES
59,221,2.2981483935411694E-5,NO
60,460,3.652321151564737E-5,NO
61,209,7.546979095477414E-5,YES
62,57,2.2246166313353948E-5,NO
63,418,3.2517000607786107E-5,NO
64,382,0.001243280809274575,NO
65,53,2.230632020493675E-5,NO
66,163,2.2139711486677214E-5,NO
67,47,2.2371878659804573E-5,NO
68,315,8.475616199683877E-5,NO
69,82,2.2025104409423686E-5,NO
70,131,2.1954449794935917E-5,NO
71,407,6.337273334479405E-5,YES
72,158,4.456914438215284E-5,NO
73,967,0.9999979549284882,YES
74,43,2.2442888335042668E-5,NO
75,206,4.6001875525368285E-5,NO
76,58,2.2246166313353948E-5,NO
77,121,2.193412207013026E-5,NO
78,167,2.2188931395652554E-5,NO
79,36,2.2519399868868478E-5,NO
80,84,2.2025104409423686E-5,NO
81,36,2.2519399868868478E-5,NO
82,214,2.287683464537748E-5,NO
83,43,2.2442888335042668E-5,NO
84,49,2.2371878659804573E-5,NO
85,73,2.2097724035539066E-5,NO
86,75,2.2097724035539066E-5,NO
87,192,2.2515681520945056E-5,NO
88,192,2.2515681520945056E-5,NO
89,142,4.436668553509558E-5,NO
90,95,2.1973310288376184E-5,NO
91,160,2.209577797475918E-5,NO
92,193,2.2515681520945056E-5,NO
93,109,2.1934363538753202E-5,NO
94,70,2.2141905170101047E-5,NO
95,235,2.3331093527950098E-5,NO
96,63,2.2191374253770493E-5,NO
97,46,2.2371878659804573E-5,NO
98,71,4.9733776893711994E-5,NO
99,85,0.0010454077141984755,NO
100,62,2.2191374253770493E-5,NO
101,44,2.2442888335042668E-5,NO
102,51,2.230632020493675E-5,NO
103,211,2.2777998944329415E-5,NO
104,78,2.2058799611223674E-5,NO
105,59,2.2246166313353948E-5,NO
106,56,2.2246166313353948E-5,NO
107,44,2.2442888335042668E-5,NO
108,224,2.309202257064511E-5,NO
109,125,2.194171256651689E-5,NO
110,117,2.1931672968184062E-5,NO
111,211,2.2777998944329415E-5,NO
112,83,2.2025104409423686E-5,NO
113,213,2.287683464537748E-5,NO
114,175,2.224347254965027E-5,NO
115,47,2.2371878659804573E-5,NO
116,230,2.320853081314592E-5,NO
117,47,2.2371878659804573E-5,NO
118,93,2.1973310288376184E-5,NO
119,47,2.2371878659804573E-5,NO
120,57,2.2246166313353948E-5,NO
121,155,2.2057099798053582E-5,NO
122,167,2.2188931395652554E-5,NO
123,65,2.2191374253770493E-5,NO
124,65,2.2191374253770493E-5,NO
125,45,2.2371878659804573E-5,NO
126,517,0.016915727928889793,YES
127,47,2.2371878659804573E-5,NO
128,32,2.260146794082281E-5,NO
129,56,2.2246166313353948E-5,NO
130,61,2.2191374253770493E-5,NO
131,146,2.2023649644217594E-5,NO
132,166,2.2188931395652554E-5,NO
133,134,2.1954449794935917E-5,NO
134,162,4.48963220564933E-5,NO
135,161,2.2139711486677214E-5,NO
136,43,2.2442888335042668E-5,NO
137,43,2.2442888335042668E-5,NO
138,99,2.1955174880127705E-5,NO
139,79,2.2058799611223674E-5,NO
140,81,2.2058799611223674E-5,NO
141,51,2.230632020493675E-5,NO
142,177,2.230337362386939E-5,NO
143,103,2.1942195673545585E-5,NO
144,1137,0.9354266538402966,NO
145,156,2.209577797475918E-5,NO
146,36,2.2519399868868478E-5,NO
147,71,2.2097724035539066E-5,NO
148,41,2.2442888335042668E-5,NO
149,39,2.2519399868868478E-5,NO
150,382,0.0012488626398223833,NO
151,245,2.3594745473295234E-5,NO
152,57,2.2246166313353948E-5,NO
153,47,2.2371878659804573E-5,NO
154,290,2.4911903110005144E-5,NO
155,118,2.1931672968184062E-5,NO
156,68,2.2141905170101047E-5,NO
157,250,2.373602840598637E-5,NO
158,152,2.2057099798053582E-5,NO
159,54,2.230632020493675E-5,NO
160,61,9.322473948065305E-4,NO
161,61,9.322473948065305E-4,NO
162,214,2.287683464537748E-5,NO
163,97,2.1973310288376184E-5,NO
164,127,4.4494816246301484E-5,NO
165,157,2.209577797475918E-5,NO
166,189,2.2439429648849948E-5,NO
167,184,2.2368677166452737E-5,NO
168,93,2.1973310288376184E-5,NO
169,89,2.1996614661183887E-5,NO
170,1104,0.3578282930514241,YES
171,581,0.04921347058253807,NO
172,115,4.4474457761915106E-5,NO
173,129,4.473616717675792E-5,NO
174,436,6.875475156866975E-5,NO
175,166,4.452609893240428E-5,NO
176,78,4.4732247504106976E-5,NO
177,85,2.2025104409423686E-5,NO
178,1357,0.2228066210025707,YES
179,458,8.719946085950539E-5,NO
180,257,2.388375345228896E-5,NO
181,96,4.467648027533718E-5,NO
182,50,4.5218618664493786E-5,NO
183,83,4.4781786500814566E-5,NO
184,74,4.383846075675568E-5,NO
185,164,4.48963220564933E-5,NO
186,91,2.1996614661183887E-5,NO
187,410,0.1543353180640273,NO
188,886,0.3057854159476238,NO
189,1908,0.9992337663820555,NO
190,1571,0.8787469640487492,NO
191,74,4.4795769155935504E-5,NO
192,1146,0.9999997187286238,YES
193,142,2.19954039182753E-5,NO
194,221,3.2368643047930845E-4,NO
195,63,2.2191374253770493E-5,NO
196,230,2.320853081314592E-5,NO
197,629,6.75353264314899E-5,NO
198,138,2.197234271488303E-5,NO
199,37,2.2519399868868478E-5,NO
200,163,2.2139711486677214E-5,NO
201,2218,0.9999830130016442,NO
202,94,2.1973310288376184E-5,NO
203,282,0.0021953423185205535,NO
204,136,2.197234271488303E-5,NO
205,69,2.2141905170101047E-5,NO
206,104,2.1942195673545585E-5,NO
207,278,4.989771919269615E-5,NO
208,568,9.867697939428812E-4,NO
209,390,0.0010325280252630419,NO
210,379,2.938766514808979E-5,YES
211,169,4.5100350642701274E-5,NO
