ID,SIZE,PREDICTED,ACTUAL
0,76,8.547828552547217E-5,NO
1,72,1.0764385471217747E-4,NO
2,196,1.0882708777330008E-4,NO
3,170,8.34410634880599E-5,NO
4,120,1.0655554250255647E-4,NO
5,65,1.07990753282364E-4,NO
6,103,1.0671103384272749E-4,NO
7,96,0.0010300772006253368,NO
8,218,1.8386989127353734E-4,YES
9,312,2.0625747695928717E-4,NO
10,150,1.0685543135713342E-4,YES
11,53,1.0864760971673345E-4,NO
12,605,2.6554975644177523E-4,NO
13,886,0.001758733396781141,YES
14,51,1.0873861788315813E-4,NO
15,61,1.0814316178102915E-4,NO
16,162,1.0718692155347867E-4,NO
17,68,1.7867419951286668E-4,NO
18,138,1.0664514879271181E-4,NO
19,218,1.1034006172118259E-4,YES
20,369,1.0665607887272505E-4,NO
21,262,1.1498262227399269E-4,NO
22,35,1.098724388047343E-4,NO
23,546,0.9999999999999811,NO
24,263,1.1498262227399269E-4,NO
25,45,1.0912263729501276E-4,NO
26,129,1.0656653539871455E-4,NO
27,61,1.0814316178102915E-4,NO
28,172,1.0757727778874493E-4,NO
29,210,1.0975379826750024E-4,NO
30,348,1.0333009144761119E-4,NO
31,49,1.08831619686133E-4,NO
32,41,1.0943178364612842E-4,NO
33,97,1.0682407936771648E-4,NO
34,1387,0.04248858089405636,NO
35,653,4.5278537680796285E-5,NO
36,46,1.0902362424381086E-4,NO
37,458,1.6575853747793936E-4,NO
38,371,1.3542075514163442E-4,YES
39,221,0.003967601976244142,NO
40,460,1.664153538680121E-4,NO
41,171,1.0751574281029659E-4,NO
42,47,1.0902362424381086E-4,NO
43,127,2.07804046526945E-4,NO
44,80,1.0734534111021945E-4,NO
45,131,1.0657493931644244E-4,NO
46,318,1.2364924170152932E-4,YES
47,159,1.0709263136576873E-4,NO
48,657,2.3116049705885995E-4,YES
49,43,1.092236645766993E-4,NO
50,203,1.092187450640674E-4,NO
51,54,1.085585903133128E-4,NO
52,84,8.228718231545645E-5,NO
53,166,1.0734269556062928E-4,NO
54,36,1.0975920826755657E-4,NO
55,84,1.0718928998087108E-4,NO
56,36,1.0975920826755657E-4,NO
57,197,1.0882708777330008E-4,NO
58,43,1.092236645766993E-4,NO
59,49,1.08831619686133E-4,NO
60,73,1.0758029482507105E-4,NO
61,75,1.0751866674676356E-4,NO
62,131,1.0657493931644244E-4,NO
63,94,1.0689194598301857E-4,NO
64,148,1.0682253605040226E-4,NO
65,193,1.0864327012515684E-4,NO
66,109,8.201086688963653E-5,NO
67,70,1.0770934978930467E-4,NO
68,220,0.0013673654357189914,NO
69,63,1.0806597869175107E-4,NO
70,46,1.0902362424381086E-4,NO
71,54,1.085585903133128E-4,NO
72,70,1.0770934978930467E-4,NO
73,43,1.092236645766993E-4,NO
74,51,1.0873861788315813E-4,NO
75,207,8.188524097726721E-5,NO
76,78,1.0740119301111897E-4,NO
77,59,1.0830341757971952E-4,NO
78,56,1.0847155490849452E-4,NO
79,44,1.092236645766993E-4,NO
80,224,1.1084647323432144E-4,NO
81,119,7.801595568610845E-5,NO
82,113,7.835297415362575E-5,NO
83,83,1.0723939240770901E-4,NO
84,210,1.0975379826750024E-4,NO
85,175,1.077061460667907E-4,NO
86,47,1.0902362424381086E-4,NO
87,224,1.1084647323432144E-4,NO
88,47,1.0902362424381086E-4,NO
89,93,1.0692872127891367E-4,NO
90,47,1.0902362424381086E-4,NO
91,144,1.0673519326124512E-4,NO
92,167,1.0734269556062928E-4,NO
93,65,1.07990753282364E-4,NO
94,65,1.07990753282364E-4,NO
95,45,1.0912263729501276E-4,NO
96,399,1.4356534233802862E-4,NO
97,47,1.0902362424381086E-4,NO
98,32,1.1010506983026508E-4,NO
99,56,1.0847155490849452E-4,NO
100,61,1.0814316178102915E-4,NO
101,104,1.5849118618773485E-5,NO
102,155,1.069654847922395E-4,NO
103,145,1.0676241859344344E-4,NO
104,43,1.092236645766993E-4,NO
105,43,1.092236645766993E-4,NO
106,95,1.0689194598301857E-4,NO
107,79,1.0734534111021945E-4,NO
108,81,1.0729140853040957E-4,NO
