ID,SIZE,PREDICTED,ACTUAL
0,76,3.34869861096307E-5,NO
1,72,6.24691188134768E-5,NO
2,196,6.043744771552092E-5,NO
3,170,3.042913935676823E-5,NO
4,120,5.994713016280104E-5,NO
5,65,6.709232198616271E-5,NO
6,103,6.24691188134768E-5,NO
7,96,5.552982993766644E-4,NO
8,218,8.028971619148955E-5,YES
9,312,6.272483652409306E-5,NO
10,150,5.994713016280104E-5,YES
11,53,6.709232198616271E-5,NO
12,605,2.793476989530484E-4,NO
13,886,0.003992074437854576,YES
14,51,6.709232198616271E-5,NO
15,61,6.709232198616271E-5,NO
16,162,5.929007072988864E-5,NO
17,68,7.945431784870481E-5,NO
18,138,5.994713016280104E-5,NO
19,218,6.043744771552092E-5,YES
20,369,4.730664292054667E-5,NO
21,262,6.349518486843298E-5,NO
22,35,6.709232198616271E-5,NO
23,546,1.0,NO
24,263,6.349518486843298E-5,NO
25,45,6.709232198616271E-5,NO
26,129,5.994713016280104E-5,NO
27,61,6.709232198616271E-5,NO
28,172,5.929007072988864E-5,NO
29,210,6.043744771552092E-5,NO
30,348,4.1129620306492544E-5,NO
31,49,6.709232198616271E-5,NO
32,41,6.709232198616271E-5,NO
33,97,6.24691188134768E-5,NO
34,1387,0.8309222098090989,NO
35,653,0.003600348297404826,NO
36,46,6.709232198616271E-5,NO
37,458,1.2780960391862528E-4,NO
38,371,8.82482807182043E-5,YES
39,221,0.00682762415275258,NO
40,460,1.2780960391862528E-4,NO
41,171,5.929007072988864E-5,NO
42,47,6.709232198616271E-5,NO
43,127,7.963835377630273E-5,NO
44,80,6.24691188134768E-5,NO
45,131,5.994713016280104E-5,NO
46,318,6.87520852187095E-5,YES
47,159,5.929007072988864E-5,NO
48,657,1.722796552011757E-4,YES
49,43,6.709232198616271E-5,NO
50,203,6.043744771552092E-5,NO
51,54,6.709232198616271E-5,NO
52,84,3.0055870424318962E-5,NO
53,166,5.929007072988864E-5,NO
54,36,6.709232198616271E-5,NO
55,84,6.24691188134768E-5,NO
56,36,6.709232198616271E-5,NO
57,197,6.043744771552092E-5,NO
58,43,6.709232198616271E-5,NO
59,49,6.709232198616271E-5,NO
60,73,6.24691188134768E-5,NO
61,75,6.24691188134768E-5,NO
62,131,5.994713016280104E-5,NO
63,94,6.24691188134768E-5,NO
64,148,5.994713016280104E-5,NO
65,193,5.929007072988864E-5,NO
66,109,3.0766368445409067E-5,NO
