ID,SIZE,PREDICTED,ACTUAL
0,76,0.026123512294872343,NO
1,72,0.026180346141885583,NO
2,196,0.026171311046347387,NO
3,170,0.025869764754481193,NO
4,120,0.025742616050068737,NO
5,242,0.027131748904349325,NO
6,312,0.029728834460102004,NO
7,151,0.025752014067622956,NO
8,53,0.026506904909885408,NO
9,626,0.07647432379757856,NO
10,884,0.2743013167142666,NO
11,51,0.02655407868557906,NO
12,61,0.026359929180377394,NO
13,162,0.025810419306716473,NO
14,68,0.026241008260410714,NO
15,86,0.025993495219885844,NO
16,146,0.02573355443835569,NO
17,202,0.026269267117189386,YES
18,363,0.05888129966022009,NO
19,72,0.04734605524026228,NO
20,74,0.04728491488252572,NO
21,327,0.9995721296224963,NO
22,265,0.027815907752603553,NO
23,35,0.026905597450372482,NO
24,546,0.05558488528247586,NO
25,297,0.029045835385095448,NO
26,45,0.02668690852017808,NO
27,129,0.025720985404447918,NO
28,61,0.026359929180377394,NO
29,65,0.02629231126903873,NO
30,161,0.02580529466357619,NO
31,244,0.02719576843617249,NO
32,382,0.0341067878394209,NO
33,49,0.026586324352828764,NO
34,41,0.026775170763824067,NO
35,97,0.025881827372089557,NO
36,1687,0.9997726296859873,YES
37,957,1.0,NO
38,46,0.02665273703407998,NO
39,465,0.07574057654443933,NO
40,374,0.03351587655255091,YES
41,221,0.0266229841427422,NO
42,460,0.0417600535279781,NO
43,213,0.02646457146560661,NO
44,47,0.02663589300190592,NO
45,162,0.025810419306716473,NO
46,82,0.04709858637107254,NO
47,131,0.025719418351169112,NO
48,395,0.035114088539296706,YES
49,159,0.02579080176848092,NO
50,898,0.9999677622991593,YES
51,43,0.02672172649276652,NO
52,206,0.026335507858661972,NO
53,58,0.9973887677189437,NO
54,88,0.04698403484517354,NO
55,166,0.025838248979851423,NO
56,36,0.02688647168100143,NO
57,84,0.026021236264320114,NO
58,36,0.02688647168100143,NO
59,201,0.0474807455627193,NO
60,43,0.02672172649276652,NO
61,49,0.026586324352828764,NO
62,73,0.026168673892190696,NO
63,75,0.026134573963007356,NO
64,131,0.025719418351169112,NO
65,94,0.025910754346378437,NO
66,160,0.04666496164412545,NO
67,193,0.026126010862118913,NO
68,109,0.02579440939267345,NO
69,70,0.026216282436724983,NO
70,220,0.026606424934369047,NO
71,63,0.026332415239638304,NO
72,46,0.02665273703407998,NO
73,54,0.026491497851667947,NO
74,70,0.026216282436724983,NO
75,44,0.02670423654993373,NO
76,51,0.02655407868557906,NO
77,207,0.02634922226246733,NO
78,78,0.0260912396344764,NO
79,59,0.026402371637982116,NO
80,56,0.026446225655757532,NO
81,44,0.02670423654993373,NO
82,224,0.026690829245823448,NO
83,119,0.02574536579179598,NO
84,113,0.025772620535872485,NO
85,83,0.026030784023095072,NO
86,213,0.02646457146560661,NO
87,175,0.025912467826700373,NO
88,47,0.02663589300190592,NO
89,224,0.026690829245823448,NO
90,47,0.02663589300190592,NO
91,93,0.02591835738622127,NO
92,47,0.02663589300190592,NO
93,155,0.046619098118260954,NO
94,167,0.0258442568510756,NO
95,65,0.02629231126903873,NO
96,65,0.02629231126903873,NO
97,45,0.02668690852017808,NO
98,403,0.03585296007157493,NO
99,47,0.02663589300190592,NO
100,32,0.026983756964633922,NO
101,56,0.026446225655757532,NO
102,61,0.026359929180377394,NO
103,104,0.02582539862473231,NO
104,155,0.025769579073843273,NO
105,161,1.0,NO
106,43,0.02672172649276652,NO
107,43,0.02672172649276652,NO
108,95,0.025903299947438903,NO
109,79,0.026080785598386853,NO
110,81,0.02606033175405683,NO
111,51,0.04800703968649744,NO
112,103,0.02583107826892884,NO
113,826,0.20288385444757145,YES
114,131,0.025719418351169112,NO
115,36,0.02688647168100143,NO
116,71,0.026192171517227327,NO
117,41,0.026775170763824067,NO
118,39,0.026811615327269722,NO
119,345,0.03156823328836953,NO
120,57,0.026431450405808212,NO
121,47,0.9974107687662804,NO
122,282,0.028435906235020018,NO
123,118,0.025748261435894565,NO
124,68,0.047453370320154044,NO
125,207,0.02634922226246733,NO
126,152,0.046593703346422155,NO
127,54,0.026491497851667947,NO
128,57,0.04779020416258717,YES
129,57,0.04779020416258717,YES
130,214,0.047875522455967656,NO
131,157,0.9973228898388138,NO
132,163,0.9973264799470761,NO
133,177,0.025935824777921848,NO
134,982,0.5942937672687465,YES
135,473,1.0,NO
136,115,0.02576130402945153,NO
137,128,0.025723134458118656,NO
138,436,0.0390558633910056,NO
139,170,0.025869764754481193,NO
140,78,0.0260912396344764,NO
141,85,0.026002592017683873,NO
142,1050,1.0,NO
143,397,0.9980630681258408,NO
144,247,0.027261320169260653,NO
145,87,0.025984548436699062,NO
146,46,0.02665273703407998,NO
147,72,0.026180346141885583,NO
148,67,0.0262536022758238,NO
149,164,0.025821109615336214,NO
150,91,0.025942059624973715,NO
151,307,0.029505002112284878,NO
152,775,0.15584083071630897,NO
153,1785,1.0,YES
154,1259,0.9133866326092043,NO
155,71,0.026192171517227327,NO
156,1143,0.7658556193371165,NO
157,142,0.02572474113570834,NO
158,167,0.0258442568510756,NO
159,63,0.026332415239638304,NO
160,230,0.026834299610700694,NO
161,611,0.07179639472627,NO
162,138,0.02571956699197433,NO
163,37,0.026867510903404685,NO
164,163,0.025815690928201917,NO
165,2217,0.9999999540660441,NO
166,96,0.025888836580209726,NO
167,173,0.9973351409413358,NO
168,136,0.025718515769781198,NO
169,69,0.02622856838330201,NO
170,104,0.02582539862473231,NO
171,269,0.02797610601601179,NO
172,544,0.05526602070778028,NO
173,321,0.030199803227543627,NO
174,379,0.9979775844726619,YES
175,89,0.02595860670079976,NO
176,87,0.9973442665337905,YES
177,82,0.026040482416364714,NO
178,96,0.025888836580209726,NO
179,176,0.025927890245363735,NO
180,81,0.02606033175405683,NO
181,61,0.026359929180377394,NO
182,77,0.999497480073783,NO
183,51,0.02655407868557906,NO
184,62,0.026346094262227896,NO
185,83,0.026030784023095072,NO
186,66,0.02627925356578448,NO
187,127,0.02572442727799076,NO
188,51,0.02655407868557906,NO
189,270,0.9975403549157255,NO
190,133,0.025718158806000115,NO
191,183,0.02600467867210414,NO
192,1584,0.9981968377088205,NO
193,172,0.025890448914420678,NO
194,95,0.025903299947438903,NO
195,103,0.02583107826892884,NO
196,68,0.026241008260410714,NO
197,137,0.025718968647781427,NO
198,250,0.027351123314780585,NO
199,405,0.03599151746282014,YES
200,246,0.027239298731576926,NO
201,315,0.029882334979927757,NO
202,260,0.027662220982522023,YES
203,87,0.025984548436699062,NO
204,98,0.025874966325195103,NO
205,163,0.025815690928201917,NO
206,99,0.025868253325799777,NO
207,152,0.025755234824114896,NO
208,231,0.026852968658588244,NO
209,422,0.03760547871049397,NO
210,219,0.04807059457834405,NO
211,176,0.025927890245363735,NO
212,107,0.025804151407750584,YES
213,96,0.025888836580209726,YES
214,113,0.025772620535872485,NO
215,83,0.026030784023095072,YES
216,262,0.050098674674879475,NO
217,41,0.026775170763824067,NO
218,89,0.02595860670079976,NO
219,58,0.02641683248159231,NO
220,54,0.026491497851667947,NO
221,55,0.02647624912678858,NO
222,75,0.026134573963007356,YES
223,49,0.026586324352828764,NO
224,84,0.026021236264320114,NO
225,403,0.03585296007157493,NO
226,87,0.025984548436699062,NO
227,97,0.025881827372089557,NO
228,96,0.025888836580209726,NO
229,951,0.9999783583144113,YES
230,290,0.028748060972433712,NO
231,170,0.025869764754481193,NO
232,170,0.025869764754481193,NO
233,375,0.03357367256829029,NO
234,218,0.02655770779992124,NO
235,349,0.0572604530040161,NO
236,270,0.0280034457122202,NO
237,330,0.030659685375205754,NO
238,668,0.9998674215949053,YES
239,259,0.027637232835948617,NO
240,169,0.025863166106995638,NO
241,77,0.026112602804816667,NO
242,57,0.026431450405808212,NO
243,59,0.026402371637982116,NO
244,124,0.025731054370706132,NO
245,133,0.025718158806000115,NO
246,154,0.025765773711667637,NO
247,96,0.025888836580209726,NO
248,749,0.13667807504997886,NO
249,308,0.029541777647603247,NO
250,188,0.026062623678323658,NO
251,313,0.9995613783413536,NO
252,110,0.025789758494963476,NO
253,151,0.025752014067622956,NO
254,106,0.025814480923809058,NO
255,741,0.13090593713017626,NO
256,85,0.026002592017683873,NO
257,194,0.02614835576862907,NO
258,187,0.026052589226047362,NO
259,80,0.026070483028742354,NO
260,85,0.026002592017683873,NO
261,45,0.02668690852017808,NO
262,263,0.027763960119124888,NO
263,42,0.02673937864366497,NO
264,942,0.5171901562315881,YES
265,468,0.0428494292934192,NO
266,65,0.02629231126903873,NO
267,81,0.02606033175405683,NO
268,1527,0.9961169521847834,NO
269,235,0.026948786687584797,NO
270,209,0.026391302093090173,NO
271,198,0.04739301744534593,NO
272,721,0.9994734979381383,NO
273,499,0.047188233627958154,NO
274,124,1.0,NO
275,605,0.0701749472431265,NO
276,446,0.04018167096842539,NO
277,125,0.025727449610547026,YES
278,888,0.7910651611150451,YES
279,155,0.025769579073843273,NO
280,80,0.026070483028742354,NO
281,45,0.02668690852017808,NO
282,38,0.026830083043035448,NO
283,831,0.9999486484235298,YES
284,4539,1.0,YES
285,615,0.07298744435211263,YES
286,103,0.9973281103742728,YES
287,174,0.02590497968471637,NO
288,61,0.026359929180377394,NO
289,162,0.025810419306716473,NO
290,211,0.026420138185553332,NO
291,300,0.02918341374202748,NO
292,295,1.0,NO
293,118,0.025748261435894565,NO
294,115,0.02576130402945153,NO
295,192,0.026115066830882095,NO
296,406,0.03613139888779169,NO
297,42,0.02673937864366497,NO
298,80,0.026070483028742354,NO
299,980,0.4389900824951381,NO
300,557,0.37449730652357743,NO
301,265,0.0502356880567523,NO
302,1123,1.0,YES
303,127,0.02572442727799076,NO
304,551,0.10004672527867473,YES
305,438,0.07017620251545693,NO
306,38,0.026830083043035448,NO
307,607,0.4254083812903963,NO
308,512,0.08754091033259877,YES
309,523,0.051237055592362454,NO
310,963,0.9998959402470118,NO
311,74,0.026145787993552456,NO
312,257,0.027563333446064094,NO
313,714,0.9994526097818942,YES
314,155,0.9994906150807045,NO
315,120,0.99731871047155,NO
316,46,0.02665273703407998,NO
317,63,0.026332415239638304,NO
318,241,1.0,YES
319,191,0.02610427483702012,NO
320,723,0.11974394780026126,NO
321,153,0.02575860164609366,NO
322,3125,1.0,YES
323,36,0.02688647168100143,NO
324,312,0.9995602182465121,NO
325,65,0.02629231126903873,NO
326,148,0.025740590668132193,NO
327,520,0.05068163370964672,NO
328,112,0.02577668532506172,NO
329,90,0.025950258514657727,NO
330,91,0.025942059624973715,NO
331,88,0.025975751519456053,NO
332,87,0.025984548436699062,NO
333,83,0.047081424319606886,NO
334,92,0.025934009895660776,NO
335,253,0.04957876528380547,YES
336,121,0.02573755409433992,NO
337,272,0.05066393503597521,YES
338,160,0.025795485975631877,NO
339,202,0.047503358314173745,NO
340,74,0.026145787993552456,NO
341,48,0.026619209731103894,NO
342,1513,0.9974694642505215,NO
343,1447,0.9988882739026322,YES
344,43,0.02672172649276652,NO
345,143,0.025727829587520804,NO
346,66,0.02627925356578448,NO
347,95,0.025903299947438903,NO
348,140,0.025722234932488992,NO
349,49,0.026586324352828764,NO
350,455,0.04118875325871201,NO
351,322,0.030240481846358854,YES
352,58,0.02641683248159231,NO
353,153,0.02575860164609366,NO
354,140,0.025722234932488992,NO
355,267,0.027895186830064707,NO
356,77,0.026112602804816667,NO
357,90,0.025950258514657727,NO
358,35,0.026905597450372482,NO
359,255,0.027514950508665488,NO
360,209,0.026391302093090173,NO
361,248,0.027305877501522004,NO
362,743,0.22011305129366848,NO
363,348,0.03171289211648409,NO
364,219,0.026590025991267034,NO
365,65,0.02629231126903873,NO
366,33,0.026963967961306512,NO
367,138,0.02571956699197433,NO
368,670,0.9998689892185458,NO
369,469,0.042951230603445426,NO
370,67,0.0262536022758238,NO
371,52,0.026538195063976408,NO
372,33,0.026963967961306512,NO
373,108,0.025799207003800957,NO
374,314,0.029843635882403262,YES
375,94,0.025910754346378437,NO
376,79,0.026080785598386853,NO
377,91,0.025942059624973715,NO
378,206,0.04762052448517438,YES
379,61,0.026359929180377394,NO
380,398,0.03537828232031099,NO
381,74,0.026145787993552456,NO
382,82,0.026040482416364714,NO
383,1483,0.9931604324098361,NO
384,31,0.027003712607855536,NO
385,152,0.025755234824114896,NO
386,620,0.07470235572483112,NO
387,28,0.02708520839345149,NO
388,141,0.025723415264269873,NO
389,536,0.053715078527370445,NO
390,75,0.026134573963007356,NO
391,27,0.027126965066996047,NO
392,75,0.026134573963007356,NO
393,123,0.025733075234060897,NO
394,302,0.029288744940673794,NO
395,28,0.02708520839345149,NO
396,228,0.04840512613901627,NO
397,1077,0.6388107147230221,NO
398,4534,1.0,YES
399,119,0.02574536579179598,YES
400,288,0.02868407126934922,NO
401,272,0.028058677886195416,NO
402,94,0.025910754346378437,NO
403,237,0.027008267468889062,NO
404,387,0.03447541938710636,YES
405,733,0.1259065428832803,NO
406,31,0.04880172032190283,NO
407,31,0.027003712607855536,NO
408,286,0.028589554899819788,NO
409,108,0.025799207003800957,NO
410,70,0.026216282436724983,NO
411,73,0.026168673892190696,NO
412,37,0.026867510903404685,NO
413,100,0.025855271026936487,NO
414,36,0.02688647168100143,NO
415,56,0.026446225655757532,NO
416,53,0.026506904909885408,NO
417,35,0.026905597450372482,NO
418,53,0.026506904909885408,NO
419,38,0.026830083043035448,NO
420,38,0.026830083043035448,NO
421,37,0.026867510903404685,NO
422,48,0.026619209731103894,NO
423,73,0.026168673892190696,NO
424,42,0.02673937864366497,NO
425,43,0.02672172649276652,NO
426,284,0.028527516349580097,NO
427,42,0.02673937864366497,NO
428,217,0.02654178800811077,NO
429,648,0.08446669791449334,NO
430,31,0.027003712607855536,NO
431,38,0.026830083043035448,NO
432,107,0.025804151407750584,NO
433,160,0.025795485975631877,NO
434,37,0.026867510903404685,NO
435,43,0.02672172649276652,NO
436,37,0.026867510903404685,NO
437,33,0.026963967961306512,NO
438,33,0.026963967961306512,NO
439,198,0.026206891769674858,NO
440,253,0.027443692793162215,NO
441,60,0.026373920225726367,NO
442,62,0.026346094262227896,NO
443,65,0.02629231126903873,NO
444,38,0.026830083043035448,NO
445,948,0.3781122759623033,NO
446,156,0.025773530738705076,NO
447,129,0.025720985404447918,NO
448,32,0.026983756964633922,NO
449,42,0.02673937864366497,NO
450,827,0.32108596359898156,NO
451,112,0.02577668532506172,NO
452,82,0.026040482416364714,NO
453,421,0.99818144795602,NO
454,172,0.025890448914420678,NO
455,190,0.9973556350602258,NO
456,338,0.031147535108676305,NO
457,512,0.08754091033259877,YES
458,38,0.026830083043035448,NO
459,46,0.02665273703407998,NO
460,163,0.025815690928201917,NO
461,718,0.11702278260081324,NO
462,121,0.02573755409433992,NO
463,4755,1.0,NO
464,78,0.0260912396344764,NO
465,45,0.02668690852017808,NO
466,1387,0.9879501903789428,NO
467,212,0.026449602824874335,NO
468,185,0.026023391197172605,NO
469,481,0.044535865583445085,NO
470,650,0.08505898285802026,NO
471,437,0.0391400689130936,NO
472,134,0.02571802987005053,NO
473,202,0.026269267117189386,NO
474,835,0.21222028881246094,NO
475,50,0.026570121691935913,NO
476,197,0.026194878226399577,NO
477,949,0.37953304779738634,YES
478,596,0.06751554675877584,NO
479,85,0.026002592017683873,NO
480,83,0.026030784023095072,NO
481,73,0.026168673892190696,NO
482,89,0.02595860670079976,NO
483,76,0.026123512294872343,NO
484,743,0.13245129956281765,NO
485,91,0.025942059624973715,NO
486,353,0.03205923110863172,NO
487,363,0.032736044855900114,YES
488,748,0.13560677309180028,YES
489,903,0.3019932337794857,NO
490,41,0.026775170763824067,NO
491,43,0.02672172649276652,NO
492,82,0.026040482416364714,NO
493,65,0.02629231126903873,NO
494,409,0.0363437273205503,NO
495,214,0.02647969798767722,NO
496,43,0.02672172649276652,NO
497,111,0.025780896534469924,NO
498,309,0.05340689467832621,NO
499,262,0.027738256480943302,NO
500,41,0.026775170763824067,NO
501,739,0.12988750429522522,NO
502,55,0.02647624912678858,NO
503,128,0.025723134458118656,NO
504,501,0.0475553275679748,NO
505,110,0.025789758494963476,NO
506,107,0.025804151407750584,NO
507,313,0.029805153220164065,NO
508,42,0.02673937864366497,NO
509,495,0.04658754568019371,NO
510,84,0.026021236264320114,NO
511,39,0.026811615327269722,NO
