ID,SIZE,PREDICTED,ACTUAL
0,76,0.02,NO
1,72,0.0,NO
2,196,0.0,NO
3,170,0.0,NO
4,120,0.0,NO
5,242,0.0,NO
6,312,0.1250164557664558,NO
7,158,0.0,NO
8,53,0.011697456432818866,NO
9,605,0.0,NO
10,889,0.14,NO
11,59,0.0,NO
12,61,0.0,NO
13,162,0.07923072193447481,NO
14,68,0.0,NO
15,146,0.0,NO
16,215,0.4,YES
17,437,0.39,NO
18,72,0.0,NO
19,74,0.016566161002837244,NO
20,327,0.26,NO
21,265,0.01,NO
22,35,0.0,NO
23,555,0.22,NO
24,297,0.0,NO
25,45,0.0,NO
26,420,0.23,NO
27,181,0.03,NO
28,129,0.0,NO
29,61,0.0,NO
30,65,0.0,NO
31,165,0.01,NO
32,244,0.0,NO
33,425,0.02,NO
34,49,0.0,NO
35,41,0.0,NO
36,97,0.0,NO
37,1603,0.32,YES
38,964,0.21,YES
39,46,0.009444080574605883,NO
40,465,0.0,NO
41,98,0.0,NO
42,406,0.14,YES
43,221,0.0,NO
44,460,0.0,NO
45,198,0.09231781672691858,YES
46,346,0.31,NO
47,354,0.4,YES
48,53,0.055,NO
49,148,0.09,NO
50,47,0.0,NO
51,286,0.22,NO
52,82,0.0,NO
53,131,0.0,NO
54,410,0.13,YES
55,159,0.0,NO
56,918,0.32,NO
57,43,0.02569882961023453,NO
58,206,0.0,NO
59,58,0.0,NO
60,117,0.0,NO
61,167,0.0,NO
62,36,0.050689106086279925,NO
63,84,0.0,NO
64,36,0.050689106086279925,NO
65,201,0.0510982163874175,NO
66,43,0.02569882961023453,NO
67,49,0.0,NO
68,73,0.0,NO
69,75,0.0,NO
70,193,0.06,NO
71,192,0.01,NO
72,131,0.0,NO
73,95,0.049350680078000225,NO
74,160,0.0,NO
75,193,0.0,NO
76,109,0.0,NO
77,70,0.0,NO
78,220,0.0,NO
79,63,0.0018181818181818182,NO
80,46,0.009444080574605883,NO
81,54,0.011779440340420827,NO
82,70,0.0,YES
83,44,0.0,NO
84,51,0.0,NO
85,207,0.0,NO
86,78,0.0,NO
87,59,0.0,NO
88,56,0.0752815646315398,NO
89,44,0.0,NO
90,224,0.0,NO
91,119,0.0716647635541497,NO
92,113,0.0,NO
93,211,0.02,NO
94,83,0.0,NO
95,213,0.0,NO
96,175,0.0,NO
97,47,0.0,NO
98,230,0.0,NO
99,47,0.0,NO
100,93,0.0,NO
101,47,0.0,NO
102,57,0.0,NO
103,155,0.0,NO
104,167,0.0,NO
105,65,0.0,NO
106,65,0.0,NO
107,45,0.0,NO
108,503,0.41,YES
109,47,0.0,NO
110,32,0.0,NO
111,56,0.0752815646315398,NO
112,61,0.0,NO
113,128,0.013333333333333334,NO
114,166,0.15,NO
115,134,0.124,NO
116,155,0.0,NO
117,161,0.0,NO
118,43,0.02569882961023453,NO
119,43,0.02569882961023453,NO
120,95,0.049350680078000225,NO
121,79,0.017298539855285257,NO
122,81,0.0,NO
123,51,0.0,NO
124,178,0.05,NO
125,103,0.0,NO
126,999,0.41,YES
127,156,0.02,NO
