ID,SIZE,PREDICTED,ACTUAL
0,76,0.26621457553169486,NO
1,72,0.0,NO
2,196,0.0,NO
3,170,0.0,NO
4,120,0.0,NO
5,242,0.3966666666666667,NO
6,312,0.38,NO
7,151,0.0,YES
8,53,0.13783685605471083,NO
9,626,0.0,NO
10,884,0.0,NO
11,51,0.0,NO
12,61,0.0,NO
13,162,0.3525504261241456,NO
14,68,0.0,NO
15,86,0.0,NO
16,146,0.030761363636363635,NO
17,214,0.0,YES
18,386,0.18,NO
19,72,0.0,NO
20,74,0.21102318001908416,NO
21,327,0.14,NO
22,265,0.1746547619047619,NO
23,35,0.0,NO
24,552,0.4,NO
25,297,0.03,NO
26,45,0.0,NO
27,129,0.0,NO
28,61,0.0,NO
29,65,0.0,NO
30,161,0.0,NO
31,244,0.0,NO
32,382,0.11725396825396828,NO
33,49,0.0,NO
34,41,0.0,NO
35,97,0.0,NO
36,1765,0.77,YES
37,961,0.72,YES
38,46,0.11556106669385215,NO
39,465,0.0,NO
40,404,0.04,YES
41,221,0.0,NO
42,460,0.0,NO
43,213,0.0,YES
44,47,0.0,NO
45,259,0.12,NO
46,82,0.0,NO
47,131,0.0,NO
48,416,0.13,YES
49,159,0.0,NO
50,898,0.3,NO
51,43,0.2606044409878923,NO
52,206,0.0,NO
53,58,0.0,NO
54,112,0.16,NO
55,167,1.0,NO
56,36,0.40808529974574353,NO
57,84,0.0,NO
58,36,0.40808529974574353,NO
59,201,0.39935737674665855,NO
60,43,0.2606044409878923,NO
61,49,0.0,NO
62,73,0.0,NO
63,75,0.0,NO
64,174,0.18,NO
65,194,0.0,NO
66,131,0.0,NO
67,95,0.02,NO
68,160,0.02,NO
69,193,0.0,NO
70,109,0.0,NO
71,70,0.0,NO
72,220,0.0,NO
73,63,0.0,NO
74,46,0.11556106669385215,NO
75,54,0.14564924379406238,NO
76,70,0.0,NO
77,44,0.0,NO
78,51,0.0,NO
79,207,0.0,NO
80,78,0.0,NO
81,59,0.0,NO
82,56,0.5077627731598288,NO
83,44,0.0,NO
84,224,0.16,NO
85,119,0.5571054114014641,NO
86,113,0.0,NO
87,192,0.01,NO
88,83,0.0,NO
89,213,0.23,NO
90,175,0.0,NO
91,47,0.0,NO
92,228,0.1,NO
93,47,0.0,NO
94,93,0.0,NO
95,47,0.0,NO
96,57,0.0,NO
97,155,0.0,NO
98,167,0.0,NO
99,65,0.0,NO
100,65,0.0,NO
101,45,0.0,NO
102,500,0.25,NO
103,47,0.0,NO
104,32,0.0,NO
105,56,0.5077627731598288,NO
106,61,0.0,NO
107,104,0.46597236655673185,NO
108,155,0.0,NO
109,161,0.02,NO
110,43,0.2606044409878923,NO
111,43,0.2606044409878923,NO
112,95,0.40419846865376213,NO
113,79,0.20561091554747646,NO
114,81,0.0,NO
115,51,0.0,NO
116,158,0.0,NO
117,103,0.0,NO
118,929,0.57,YES
119,153,0.07,NO
120,36,0.40808529974574353,NO
121,71,0.15557474107729843,NO
122,41,0.0,NO
123,39,0.0,NO
124,345,0.6762086638851346,NO
125,227,0.0,NO
126,57,0.0,NO
127,47,0.0,NO
128,282,0.0,NO
129,118,0.0,NO
130,68,0.0,NO
131,207,1.0,NO
132,152,0.015681818181818182,NO
133,54,0.14564924379406238,NO
134,57,0.0,YES
135,57,0.0,YES
136,214,0.99,NO
137,84,0.0,NO
138,127,0.0,NO
139,157,0.0,NO
140,183,0.13,NO
141,177,0.632317092221504,NO
142,93,0.0,NO
143,89,0.0,NO
144,1105,0.0,YES
145,494,0.16,NO
146,115,0.4556088606807951,NO
147,128,0.0,NO
148,436,0.0,NO
149,170,0.0,NO
150,78,0.0,NO
151,85,0.0,NO
152,1157,0.36,NO
153,425,0.26,YES
154,257,0.26,NO
155,87,0.1931802987390506,NO
156,46,0.11556106669385215,NO
157,72,0.0,NO
158,67,0.17709065078501285,NO
159,164,0.0,NO
160,91,0.0,NO
161,307,0.6463264235764238,NO
162,775,0.0,NO
163,1856,0.52,NO
164,1357,0.39,YES
165,71,0.15557474107729843,NO
166,1143,0.0,NO
167,142,0.0,NO
168,167,0.0,NO
169,63,0.0,NO
170,230,0.0,NO
171,629,0.49,NO
172,138,0.0,NO
173,37,0.0,NO
174,163,0.0,NO
175,2217,0.19,NO
176,96,0.2602837876071397,NO
177,173,0.0,NO
178,136,0.36036627012298356,NO
179,69,0.3393500578380518,NO
180,104,0.46597236655673185,NO
181,269,0.0,NO
182,544,0.0,NO
183,334,0.32,YES
184,379,0.7574463526669409,YES
185,168,0.18,NO
186,87,0.1931802987390506,YES
187,82,0.0,NO
188,96,0.2602837876071397,NO
189,184,0.18,NO
190,81,0.0,NO
191,61,0.0,NO
192,77,0.0,NO
193,51,0.0,NO
194,62,0.0,NO
195,83,0.0,NO
196,66,0.0,NO
197,127,0.0,NO
198,51,0.0,NO
199,344,0.41,NO
200,138,0.0,NO
201,183,0.05921356421356421,NO
202,1625,0.04,NO
203,239,0.1,NO
204,95,0.40419846865376213,NO
205,103,0.0,NO
206,68,0.0,NO
207,137,0.0,NO
208,250,0.44,NO
209,418,0.3,NO
210,251,0.21,NO
211,360,0.23,YES
212,275,0.18,NO
