ID,SIZE,PREDICTED,ACTUAL
0,56,0.49375755428411766,NO
1,45,0.0,NO
2,45,0.0,NO
3,97,0.0,NO
4,43,0.1989989756681525,NO
5,76,0.43331424734770707,NO
6,76,0.43331424734770707,NO
7,72,0.0,NO
8,196,0.0,NO
9,170,0.0,NO
10,120,0.0,NO
11,88,0.0,NO
12,72,0.0,NO
13,242,0.018181818181818184,NO
14,312,0.6190005401270428,NO
15,158,0.0,NO
16,53,0.12735608021399214,NO
17,626,0.48,NO
18,929,0.64,NO
19,87,0.07,NO
20,61,0.0,NO
21,162,0.5002686365993745,NO
22,68,0.0,NO
23,39,0.0,NO
24,911,0.33,NO
25,56,0.0,NO
26,213,0.0,NO
27,478,0.03,NO
28,81,0.0,NO
29,311,0.15,NO
30,359,0.15,NO
31,146,0.008504228329809725,NO
32,215,0.0,NO
33,437,0.0,NO
34,72,0.0,NO
35,74,0.5230569688405796,NO
36,327,0.8487148590966229,YES
37,265,0.51,NO
38,35,0.0,NO
39,555,0.0,NO
40,297,0.0,NO
41,45,0.0,NO
42,420,0.07651515426687051,NO
43,181,0.0,NO
44,128,0.08,NO
45,61,0.0,NO
46,65,0.0,NO
47,161,0.0,NO
48,244,0.04,NO
49,448,0.34,NO
50,54,0.0,NO
51,41,0.0,NO
52,107,0.0,NO
53,1635,0.43,YES
54,1069,0.08,YES
55,46,0.09437652282772635,NO
56,465,0.0,NO
57,136,0.36,NO
58,424,0.38,YES
59,221,0.0,NO
60,460,0.0,NO
61,209,0.47,YES
62,57,0.0,NO
63,418,0.6201039621712999,NO
64,382,0.11,NO
65,53,0.12735608021399214,NO
66,163,0.0,NO
67,47,0.13827943893767328,NO
68,315,0.32,NO
69,82,0.0,NO
70,131,0.0,NO
71,407,0.0,YES
72,158,0.0,NO
73,967,0.66,YES
74,43,0.1989989756681525,NO
75,206,0.8669534635015453,NO
76,58,0.0,NO
77,121,0.0,NO
78,167,0.0,NO
79,36,0.4504221201436024,NO
80,84,0.0,NO
81,36,0.4504221201436024,NO
82,214,0.0,NO
83,43,0.1989989756681525,NO
84,49,0.0,NO
85,73,0.0,NO
86,75,0.589613043783062,NO
87,192,0.0,NO
88,192,0.0,NO
89,142,0.0,NO
90,95,0.4287798779577747,NO
91,160,0.0,NO
92,193,0.0,NO
93,109,0.0,NO
94,70,0.0,NO
95,235,0.0,NO
96,63,0.0,NO
97,46,0.09437652282772635,NO
98,71,0.02,NO
99,85,0.08,NO
100,62,0.0,NO
101,44,0.0,NO
102,51,0.0,NO
103,211,0.0,NO
104,78,0.0,NO
105,59,0.0,NO
106,56,0.49375755428411766,NO
107,44,0.0,NO
108,224,0.0,NO
109,125,0.46157857148892484,NO
110,117,0.0,NO
111,211,0.0,NO
112,83,0.0,NO
113,213,0.8615732833164321,NO
114,175,0.0,NO
115,47,0.13827943893767328,NO
116,230,0.0,NO
117,47,0.13827943893767328,NO
118,93,0.0,NO
119,47,0.13827943893767328,NO
120,57,0.0,NO
121,155,0.0,NO
122,167,0.0,NO
123,65,0.0,NO
124,65,0.0,NO
125,45,0.0,NO
126,517,0.56,YES
127,47,0.13827943893767328,NO
128,32,0.0,NO
129,56,0.49375755428411766,NO
130,61,0.0,NO
131,146,0.008504228329809725,NO
132,166,0.0,NO
133,134,0.0,NO
134,162,0.004799999999999999,NO
135,161,0.0,NO
136,43,0.1989989756681525,NO
137,43,0.1989989756681525,NO
138,99,0.0,NO
139,79,0.2956035267890541,NO
140,81,0.0,NO
141,51,0.0,NO
142,177,0.6490935254179235,NO
143,103,0.0,NO
144,1137,0.68,NO
145,156,0.0,NO
146,36,0.4504221201436024,NO
147,71,0.18148661467836538,NO
148,41,0.0,NO
149,39,0.0,NO
150,382,0.39,NO
151,245,0.0,NO
152,57,0.0,NO
153,47,0.13827943893767328,NO
154,290,0.0,NO
155,118,0.0,NO
156,68,0.0,NO
157,250,0.0,NO
158,152,0.7572729620899149,NO
159,54,0.13808946812279824,NO
160,61,0.08,NO
161,61,0.08,NO
162,214,0.0,NO
163,97,0.0,NO
164,127,0.02,NO
165,157,0.0,NO
166,189,0.0,NO
167,184,0.7190389537498423,NO
168,93,0.0,NO
169,89,0.0,NO
170,1104,0.87,YES
171,581,0.45,NO
172,115,0.0,NO
173,129,0.01,NO
174,436,0.97,NO
175,166,0.02,NO
176,78,0.0,NO
177,85,0.0,NO
178,1357,0.45,YES
179,458,0.31,NO
180,257,0.0,NO
181,96,0.198,NO
182,50,0.08,NO
183,83,0.04,NO
184,74,0.0,NO
185,164,0.0,NO
186,91,0.0,NO
187,410,0.19,NO
188,886,0.49,NO
189,1908,0.63,NO
190,1571,0.55,NO
191,74,0.0,NO
192,1146,0.73,YES
193,142,0.0,NO
194,221,0.1,NO
195,63,0.0,NO
196,230,0.0,NO
197,629,0.0,NO
198,138,0.0,NO
199,37,0.0,NO
200,163,0.0,NO
201,2218,0.44,NO
202,94,0.0,NO
203,282,0.1,NO
204,136,0.32868723850911086,NO
205,69,0.3226566451369794,NO
206,104,0.6345533557910129,NO
207,278,0.13,NO
208,568,0.34,NO
209,390,0.44,NO
210,379,0.7113435318630821,YES
211,169,0.32,NO
212,86,0.0,YES
213,82,0.0,NO
214,96,0.22006388776242802,NO
215,184,0.7190389537498423,NO
216,81,0.0,NO
217,61,0.0,NO
218,77,0.0,NO
219,63,0.15380850219135603,NO
220,74,0.01,NO
221,95,0.12,NO
222,78,0.01,NO
223,130,0.0,NO
224,63,0.15380850219135603,NO
225,359,0.27,YES
226,138,0.0,NO
227,191,0.0,NO
228,1651,0.06,NO
229,303,0.05,NO
230,99,0.0,NO
231,115,0.04,NO
232,69,0.0,NO
233,141,0.02,NO
234,281,0.0,NO
235,418,0.6201039621712999,NO
236,248,0.19,NO
237,450,0.08,NO
238,277,0.41,NO
239,87,0.16787181388774972,NO
240,110,0.05,NO
241,167,0.009166666666666667,NO
242,99,0.0,NO
243,152,0.7572729620899149,NO
244,231,0.0,NO
245,422,0.0,NO
246,224,0.12,NO
247,333,0.92,NO
248,108,0.0,YES
249,97,0.0,YES
250,114,0.0,NO
251,84,0.0,YES
252,269,0.46,NO
253,110,0.0,NO
254,41,0.0,NO
255,89,0.0,NO
256,58,0.0,NO
257,54,0.13808946812279824,NO
258,55,0.0,NO
259,76,0.43331424734770707,YES
260,49,0.0,NO
261,178,0.13,NO
262,410,0.69,NO
263,87,0.16787181388774972,NO
264,97,0.0,NO
265,115,0.3840111413309524,NO
266,1093,0.91,YES
267,290,0.0,NO
268,201,0.3638446432394807,NO
269,200,0.0,NO
270,538,0.02,NO
271,228,0.13,NO
272,374,1.0,NO
273,286,0.0,NO
274,333,0.78,NO
275,604,0.29,NO
276,264,0.09,NO
277,169,0.0,NO
278,77,0.0,NO
279,57,0.0,NO
280,60,0.3151139339685992,NO
281,136,0.0,NO
282,133,0.0,NO
283,155,0.0,NO
284,111,0.01,NO
285,887,0.6,YES
286,309,0.07,NO
287,243,0.19,YES
288,333,1.0,NO
289,110,0.0,NO
290,227,0.21766666666666665,NO
291,106,0.0,NO
292,952,0.36,NO
293,102,0.13,NO
294,215,0.16,NO
295,192,0.51,YES
296,111,0.14,YES
297,93,0.0,NO
298,45,0.0,NO
299,340,0.2,NO
300,42,0.335888117063562,NO
301,1076,0.45,NO
302,582,0.46,YES
303,65,0.0,NO
304,81,0.0,NO
305,1536,0.7,YES
306,242,0.12,NO
307,263,0.06,NO
308,227,0.008636363636363636,NO
309,910,0.41,YES
310,509,0.18,NO
311,87,0.2,YES
312,619,0.24,NO
313,446,0.2,NO
314,122,0.44,YES
315,908,0.0,NO
316,157,0.0,YES
317,84,0.0,NO
318,45,0.0,NO
319,38,0.20717729127257184,NO
320,1024,0.51,YES
321,5364,0.37,YES
322,661,0.42,NO
323,161,0.47,YES
324,175,0.29004156622082994,NO
325,491,0.72,YES
326,186,0.07,NO
327,243,0.24,YES
328,326,0.16,NO
329,366,0.67,YES
330,325,0.28,NO
331,140,0.03,NO
332,118,0.0,NO
333,213,0.8615732833164321,NO
334,406,0.0,NO
335,42,0.335888117063562,NO
336,105,0.0,NO
337,976,0.008,NO
338,561,0.5,NO
339,419,0.61,YES
340,1294,0.45,YES
341,140,0.01,NO
342,857,0.79,YES
343,462,0.02,NO
344,38,0.20717729127257184,NO
345,612,0.79,NO
346,520,0.45,NO
347,523,0.0,NO
348,978,0.81,YES
349,74,0.5230569688405796,NO
350,294,0.08223330339162516,NO
351,729,0.28,NO
352,155,0.0,NO
353,161,0.19,YES
354,46,0.09437652282772635,NO
355,63,0.0,NO
356,333,0.33,YES
357,191,0.0,NO
358,722,0.01757142857142857,NO
359,154,0.8336403669706,NO
360,3246,0.87,NO
361,36,0.4504221201436024,NO
362,394,0.4,YES
363,65,0.0,NO
364,148,0.4243526545364303,NO
365,520,0.0,NO
