ID,SIZE,PREDICTED,ACTUAL
0,76,0.37,NO
1,72,0.04,NO
2,196,0.7,NO
3,170,0.02,NO
4,120,0.0,NO
5,65,0.01,NO
6,103,0.06,NO
7,96,0.0,NO
8,242,0.78,NO
9,312,0.98,NO
10,151,0.08,NO
11,53,0.0,NO
12,605,0.94,NO
13,858,0.87,YES
14,51,0.0,NO
15,61,0.005,NO
16,162,0.9,NO
17,68,0.0625,NO
18,146,0.44,NO
19,219,0.68,YES
20,369,0.55,NO
21,58,0.5285000000000001,NO
22,48,0.5221666666666667,NO
23,302,0.69,NO
24,268,0.44,NO
25,35,0.07,NO
26,546,0.35,NO
27,263,0.02,YES
28,45,0.07416666666666667,NO
29,129,0.0,NO
30,61,0.005,NO
31,161,0.79,NO
32,210,0.37,YES
33,348,0.28,YES
34,49,0.04,NO
35,41,0.0,NO
36,97,0.0,NO
37,1422,0.97,NO
38,670,0.97,YES
39,46,0.47300000000000003,NO
40,458,0.12,NO
41,377,0.73,YES
42,221,0.68,NO
43,460,0.12,NO
44,213,0.9,NO
45,47,0.6750595238095238,NO
46,150,0.69,NO
47,80,0.16,NO
48,131,0.01,NO
49,385,0.54,YES
50,159,0.04,NO
51,743,0.99,YES
52,43,0.2956190476190476,NO
53,209,0.68,NO
54,54,0.0,NO
55,84,0.0,NO
56,166,0.38,NO
57,36,0.63,YES
58,84,0.0,NO
59,36,0.63,YES
60,197,0.7,NO
61,43,0.2956190476190476,NO
62,49,0.04,NO
63,73,0.03,NO
64,75,0.28,NO
65,131,0.01,NO
66,94,0.0,NO
67,148,0.66,NO
68,193,0.83,NO
69,109,0.65,NO
70,70,0.92,NO
71,220,0.68,NO
72,63,0.0,NO
73,46,0.47300000000000003,NO
74,54,0.0,NO
75,70,0.92,NO
76,43,0.2956190476190476,YES
77,51,0.0,NO
78,207,0.38,NO
79,78,0.65,NO
80,59,0.10283333333333333,NO
81,56,0.33157142857142846,NO
82,44,0.05333333333333333,NO
83,224,0.32,NO
84,119,0.01,NO
85,113,0.26,NO
86,83,0.0,NO
87,210,0.37,YES
88,175,0.7,NO
89,47,0.6750595238095238,NO
90,224,0.32,NO
91,47,0.6750595238095238,NO
92,93,0.0,NO
93,47,0.6750595238095238,NO
94,144,0.68,NO
95,167,0.36,NO
96,65,0.01,NO
97,65,0.01,NO
98,45,0.07416666666666667,NO
99,401,0.66,YES
100,47,0.6750595238095238,NO
101,32,0.0,NO
102,56,0.33157142857142846,NO
103,61,0.005,NO
104,104,0.12,NO
105,155,0.0,NO
106,145,0.68,NO
107,43,0.2956190476190476,NO
108,43,0.2956190476190476,NO
109,95,0.0,NO
110,79,0.6,NO
111,81,0.09,NO
112,51,0.0,NO
113,103,0.06,NO
114,826,0.49,YES
115,131,0.07,NO
116,36,0.63,NO
117,71,0.62,NO
118,41,0.0,NO
119,39,0.11966666666666669,NO
120,345,0.23,NO
121,57,0.008333333333333333,NO
122,43,0.2956190476190476,NO
123,282,0.0,NO
124,118,0.1,NO
125,64,0.01,NO
126,207,0.38,NO
127,140,0.74,NO
128,54,0.0,NO
129,53,0.0,NO
130,53,0.0,NO
131,198,0.7,NO
132,150,0.65,YES
133,147,0.68,NO
134,177,0.75,NO
135,989,0.67,NO
136,418,0.6,YES
137,115,0.26,NO
138,128,0.0,NO
139,436,0.02,NO
140,170,0.02,NO
141,78,0.65,NO
142,85,0.0,NO
143,1028,0.67,YES
144,333,0.15,YES
145,247,0.87,NO
