ID,SIZE,PREDICTED,ACTUAL
0,76,0.0,NO
1,72,0.0,NO
2,196,0.0,NO
3,170,0.0,NO
4,120,0.0,NO
5,242,0.02166666666666666,NO
6,312,0.0,NO
7,151,0.0,NO
8,53,0.0,NO
9,626,0.03,NO
10,884,0.27,NO
11,51,0.0,NO
12,61,0.0,NO
13,162,0.09343805622482093,NO
14,68,0.0,NO
15,86,0.0,NO
16,146,0.0,NO
17,202,0.0,YES
18,369,0.02,NO
19,62,0.0,NO
20,64,0.08828058586580254,NO
21,330,0.0,YES
22,265,0.0,NO
23,35,0.0,NO
24,546,0.0,NO
25,297,0.0,NO
26,45,0.0,NO
27,129,0.0,NO
28,61,0.0,NO
29,65,0.0,NO
30,161,0.001333333333333333,NO
31,244,0.011666666666666665,NO
32,382,0.0,NO
33,49,0.0,NO
34,41,0.0,NO
35,97,0.0,NO
36,1668,0.23,YES
37,674,0.0,YES
38,46,0.03167535070039874,NO
39,458,0.0,NO
40,374,0.28,YES
41,221,0.0,NO
42,460,0.0,NO
43,213,0.04625,NO
44,47,0.0,NO
45,162,0.15175599400599402,NO
46,80,0.0,NO
47,131,0.0,NO
48,395,0.1,YES
49,159,0.0,NO
50,860,0.01,YES
51,43,0.020799799121430415,NO
52,206,0.002,NO
53,54,0.0,YES
54,84,0.0,NO
55,166,0.0,NO
56,36,0.0,NO
57,84,0.0,NO
58,36,0.0,NO
59,197,0.0,NO
60,43,0.020799799121430415,NO
61,49,0.0,NO
62,73,0.0,NO
63,75,0.0,NO
64,131,0.0,NO
65,94,0.0,NO
66,148,0.0,NO
67,193,0.0,NO
68,109,0.0,NO
69,70,0.0,NO
70,220,0.0,NO
71,63,0.0,NO
72,46,0.03167535070039874,NO
73,54,0.0,NO
74,70,0.0,NO
75,44,0.0,NO
76,51,0.0,NO
77,207,0.0,NO
78,78,0.0,NO
79,59,0.0,NO
80,56,0.03395254464313234,NO
81,44,0.0,NO
82,224,0.0,NO
83,119,0.0,NO
84,113,0.0,NO
85,83,0.0,NO
86,213,0.13231782106782108,NO
87,175,0.0,NO
88,47,0.0,NO
89,224,0.0,NO
90,47,0.0,NO
91,93,0.0,NO
92,47,0.0,NO
93,144,0.0,NO
94,167,0.0,NO
95,65,0.0,NO
96,65,0.0,NO
97,45,0.0,NO
98,403,0.035166666666666666,NO
99,47,0.0,NO
100,32,0.0,NO
101,56,0.03395254464313234,NO
102,61,0.0,NO
103,104,0.13716963591963596,NO
104,155,0.0,NO
105,145,0.0,YES
106,43,0.020799799121430415,NO
107,43,0.020799799121430415,NO
108,95,0.12491810632421078,NO
109,79,0.045966132343358584,NO
110,81,0.0,NO
111,51,0.0,NO
112,103,0.0,NO
113,826,0.29,YES
114,131,0.0,NO
115,36,0.041547679560204595,NO
116,71,0.039969439633934005,NO
117,41,0.0,NO
118,39,0.0,NO
119,345,0.3291666666666666,NO
120,57,0.0,NO
121,43,0.020799799121430415,YES
122,282,0.0,NO
123,118,0.0,NO
124,64,0.0,NO
125,207,0.0,NO
126,140,0.0,NO
127,54,0.0,NO
128,53,0.0,NO
129,53,0.0,NO
130,198,0.1770944630704694,NO
131,157,0.0,YES
132,147,0.0,YES
133,177,0.1962857142857143,NO
134,989,0.06,YES
135,418,0.0,YES
136,115,0.0,NO
137,128,0.0,NO
138,436,0.0,NO
139,170,0.0,NO
140,78,0.0,NO
141,85,0.0,NO
142,1028,0.08,YES
143,333,0.0,YES
144,247,0.0,NO
145,87,0.0,NO
146,46,0.03167535070039874,NO
147,72,0.0,NO
148,67,0.03388362140246902,NO
149,164,0.02,NO
150,91,0.0,NO
151,307,0.20499999999999996,NO
152,775,0.0,NO
153,1780,0.01,YES
154,1259,0.16,NO
155,71,0.039969439633934005,NO
156,1143,0.02,NO
157,142,0.0,NO
158,167,0.0,NO
159,63,0.0,NO
160,230,0.0,NO
161,611,0.0,NO
162,138,0.0,NO
163,37,0.0,NO
164,163,0.0,NO
165,2217,0.03,NO
166,96,0.0,NO
167,152,0.0,YES
168,136,0.10797043964807122,NO
169,69,0.08106545173852166,NO
170,104,0.13716963591963596,NO
171,269,0.0,NO
172,544,0.0,NO
173,321,0.007996031746031746,NO
174,379,0.06666666666666667,YES
175,89,0.0,NO
176,87,0.0,YES
177,82,0.0,NO
178,96,0.0,NO
179,176,0.0,NO
180,81,0.0,NO
181,61,0.0,NO
182,76,0.0,YES
183,51,0.0,NO
184,62,0.0,NO
185,83,0.0,NO
186,66,0.0,NO
187,127,0.0,NO
188,51,0.0,NO
189,266,0.0,YES
190,133,0.0,NO
191,183,0.0,NO
192,1584,0.0,YES
193,172,0.0,NO
194,95,0.12491810632421078,NO
195,103,0.0,NO
196,68,0.0,NO
197,137,0.0,NO
198,250,0.0,NO
199,405,0.0,NO
200,246,0.14906782106782107,NO
201,315,0.6425,NO
202,260,0.0,NO
203,87,0.0,NO
204,98,0.0,NO
205,163,0.0,NO
206,99,0.0,NO
207,152,0.0,NO
208,231,0.0,NO
209,422,0.0,NO
210,194,0.0,NO
211,176,0.0,NO
212,107,0.0,YES
213,96,0.0,YES
214,113,0.0,NO
215,83,0.0,YES
216,261,0.0,NO
217,41,0.0,NO
218,89,0.0,NO
219,58,0.0,NO
220,54,0.0,NO
221,55,0.0,NO
222,75,0.0,NO
223,49,0.0,NO
224,84,0.0,NO
225,403,0.0,NO
226,87,0.0,NO
227,97,0.0,NO
228,96,0.0,NO
229,950,0.13,YES
230,290,0.0,NO
231,170,0.0,NO
232,170,0.0,NO
233,375,0.02,NO
234,218,0.26299999999999996,NO
235,342,0.02666666666666666,NO
236,270,0.0,NO
237,330,0.0,NO
238,613,0.37,YES
239,259,0.0,NO
240,169,0.0,NO
241,77,0.0,NO
242,57,0.0,NO
243,59,0.0,NO
244,124,0.0,NO
245,133,0.0,NO
246,154,0.26624100899100905,NO
247,96,0.0,NO
248,749,0.0,NO
249,308,0.2616626984126984,NO
250,188,0.0,NO
251,296,0.0,YES
252,110,0.0,NO
253,151,0.0,NO
254,106,0.0,NO
255,741,0.0,NO
256,85,0.0,NO
257,194,0.0,NO
258,187,0.15802092352092353,NO
259,80,0.0,NO
260,85,0.0,NO
261,45,0.0,NO
262,263,0.0,NO
263,42,0.0,NO
264,939,0.0,YES
265,468,0.06,NO
266,65,0.0,NO
267,81,0.0,NO
268,1527,0.1,NO
269,235,0.0,NO
270,209,0.0,NO
271,185,0.0,NO
272,705,0.0,YES
273,499,0.05749999999999998,NO
274,56,0.03395254464313234,YES
275,605,0.0,NO
276,446,0.0,NO
277,125,0.0,NO
278,853,0.0,YES
279,155,0.0,NO
280,80,0.0,NO
281,45,0.0,NO
282,38,0.012504966725486552,NO
283,826,0.003333333333333333,YES
284,4414,0.87,YES
285,615,0.01,YES
286,125,0.0,YES
287,174,0.0,NO
288,61,0.0,NO
289,162,0.09343805622482093,NO
290,211,0.0,NO
291,300,0.0,NO
292,285,0.0,YES
293,118,0.0,NO
294,115,0.0,NO
295,192,0.0,NO
296,406,0.0,NO
297,42,0.0,NO
298,80,0.0,NO
299,980,0.0,NO
300,536,0.0,NO
301,264,0.0,NO
302,1107,0.34,YES
303,127,0.0,NO
304,397,0.06,YES
305,437,0.0,NO
306,38,0.012504966725486552,NO
307,575,0.0,NO
308,501,0.0225,YES
309,523,0.0,NO
310,960,0.0,YES
311,74,0.07051632352892619,NO
312,257,0.0,NO
313,684,0.172,YES
314,148,0.0,YES
315,46,0.03167535070039874,NO
316,63,0.0,NO
317,241,0.005,YES
318,191,0.0,NO
319,723,0.0,NO
320,153,0.0,NO
321,3055,0.06,NO
322,36,0.041547679560204595,NO
323,302,0.0,YES
324,65,0.0,NO
325,148,0.0,NO
326,520,0.0,NO
327,112,0.0,NO
328,90,0.0,NO
329,91,0.0,NO
330,88,0.0,NO
331,87,0.0,NO
332,67,0.03388362140246902,NO
333,92,0.08054830910986413,NO
334,238,0.0,YES
335,121,0.0,NO
336,272,0.1385,YES
337,160,0.0,NO
338,197,0.0,NO
339,74,0.07051632352892619,NO
340,48,0.1253983233757592,NO
341,1482,0.0,NO
342,1424,0.01,NO
343,43,0.020799799121430415,NO
344,143,0.0,NO
345,66,0.0,NO
346,95,0.0,NO
347,140,0.0,NO
348,49,0.0,NO
349,455,0.0,NO
350,322,0.0,YES
351,58,0.0,NO
352,153,0.0,NO
353,140,0.0,NO
354,267,0.0,NO
355,77,0.0,NO
356,90,0.0,NO
357,35,0.0,NO
358,255,0.01,NO
359,209,0.0,NO
360,248,0.0025,NO
361,739,0.4285,NO
362,348,0.0,NO
363,219,0.0,NO
364,65,0.0,NO
365,33,0.0,NO
366,138,0.0,NO
367,660,0.8373333333333334,YES
368,469,0.09,NO
369,67,0.03388362140246902,NO
370,52,0.0,NO
371,33,0.0,NO
372,108,0.0,NO
373,314,0.1725,YES
374,94,0.0,NO
375,79,0.045966132343358584,NO
376,91,0.0,NO
377,205,0.0,YES
378,61,0.0,NO
379,398,0.004,NO
380,74,0.09039084831577097,NO
381,82,0.0,NO
382,1483,0.0,NO
383,31,0.0,NO
384,152,0.0,NO
385,620,0.0,NO
386,28,0.0,NO
387,141,0.0,NO
388,536,0.0,NO
389,75,0.0,NO
390,27,0.0,NO
391,75,0.0,NO
392,123,0.0,NO
393,302,0.0,NO
394,28,0.0,NO
395,216,0.0,NO
396,1077,0.01,NO
397,4479,0.15,YES
398,119,0.0,NO
399,288,0.0,NO
400,272,0.0,NO
401,94,0.0,NO
402,237,0.0,NO
403,387,0.0,YES
404,733,0.0,NO
405,31,0.0,NO
406,286,0.0,NO
407,108,0.0,NO
408,70,0.0,NO
409,73,0.0,NO
410,37,0.0,NO
411,100,0.0,NO
412,36,0.041547679560204595,NO
413,56,0.03395254464313234,NO
414,53,0.0,NO
415,35,0.0,NO
416,53,0.0,NO
417,38,0.012504966725486552,NO
418,38,0.012504966725486552,NO
419,37,0.0,NO
420,48,0.1253983233757592,NO
421,73,0.0,NO
422,42,0.0,NO
423,43,0.020799799121430415,NO
424,284,0.0,NO
425,42,0.0,NO
426,217,0.23825,NO
427,648,0.0,NO
428,31,0.0,NO
429,38,0.012504966725486552,NO
430,107,0.0,NO
431,160,0.0,NO
432,37,0.0,NO
433,43,0.020799799121430415,NO
434,37,0.0,NO
435,33,0.0,NO
436,33,0.0,NO
437,198,0.1770944630704694,NO
438,253,0.0,NO
439,60,0.0489813633535467,NO
440,62,0.0,NO
441,65,0.0,NO
442,38,0.012504966725486552,NO
443,948,0.0,NO
444,156,0.0,NO
445,129,0.0,NO
446,32,0.0,NO
447,42,0.0,NO
448,800,0.68,NO
449,112,0.0,NO
450,82,0.0,NO
451,418,0.0,YES
452,172,0.0,NO
453,184,0.0,YES
454,338,0.69,NO
455,510,0.25,YES
456,38,0.012504966725486552,NO
457,46,0.03167535070039874,NO
458,163,0.0,NO
459,718,0.0,NO
460,121,0.0,NO
461,4728,0.16,NO
462,78,0.0,NO
463,45,0.0,NO
464,1371,0.02,NO
465,212,0.0,NO
466,185,0.0,NO
467,481,0.0,NO
468,650,0.0,NO
469,437,0.0,NO
470,134,0.0,NO
471,202,0.0,NO
472,835,0.0,NO
473,50,0.0,NO
474,197,0.0,NO
475,949,0.58,YES
