ID,SIZE,PREDICTED,ACTUAL
0,76,0.31263658275446454,NO
1,72,0.0,NO
2,196,0.0,NO
3,170,0.0,NO
4,120,0.0,NO
5,242,0.11559090909090909,NO
6,312,0.0,NO
7,151,0.0,YES
8,53,0.15866159253093326,NO
9,626,0.0,NO
10,884,0.01,NO
11,51,0.0,NO
12,61,0.0,NO
13,162,0.3957046777542625,NO
14,68,0.0,NO
15,86,0.0,NO
16,146,0.05262172468054821,NO
17,214,0.32498664376671177,YES
18,363,0.07070526695526697,NO
19,72,0.0,NO
20,74,0.27689076172624716,NO
21,327,0.8818998142380495,YES
22,265,0.5252225135975136,NO
23,35,0.0,NO
24,546,0.0,NO
25,297,0.04,NO
26,45,0.0,NO
27,129,0.0,NO
28,61,0.0,NO
29,65,0.0,NO
30,161,0.0,NO
31,244,0.00625,NO
32,382,0.212781746031746,NO
33,49,0.0,NO
34,41,0.0,NO
35,97,0.0,NO
36,1687,0.0,YES
37,960,0.6113888888888889,YES
38,46,0.14181176480964983,NO
39,465,0.0,NO
40,383,0.06692307692307692,YES
41,221,0.0,NO
42,460,0.0,NO
43,213,0.0,NO
44,47,0.0,NO
45,162,0.3957046777542625,YES
46,82,0.0,NO
47,131,0.0,NO
48,395,0.8919054001554001,YES
49,159,0.0,NO
50,898,0.0,YES
51,43,0.2881672313029374,NO
52,206,0.0,NO
53,58,0.0,NO
54,88,0.0,NO
55,166,0.0,NO
56,36,0.45229363703607706,NO
57,84,0.0,NO
58,36,0.45229363703607706,NO
59,201,0.4612533772295517,NO
60,43,0.2881672313029374,NO
61,49,0.0,NO
62,73,0.0,NO
63,75,0.0,NO
64,131,0.0,NO
65,94,0.0,NO
66,160,0.0,NO
67,193,0.0,NO
68,109,0.0,NO
69,70,0.0,NO
70,220,0.0,NO
71,63,0.0,NO
72,46,0.14181176480964983,NO
73,54,0.16386804542943303,NO
74,70,0.0,NO
75,44,0.0,NO
76,51,0.0,NO
77,207,0.0,NO
78,78,0.0,NO
79,59,0.0,NO
80,56,0.5533773242946796,NO
81,44,0.0,NO
82,224,0.0,NO
83,119,0.0,NO
84,113,0.0,NO
85,83,0.0,NO
86,213,0.0,NO
87,175,0.0,NO
88,47,0.0,NO
89,224,0.0,NO
90,47,0.0,NO
91,93,0.0,NO
92,47,0.0,NO
93,155,0.0,NO
94,167,0.0,NO
95,65,0.0,NO
96,65,0.0,NO
97,45,0.0,NO
98,403,0.01,NO
99,47,0.0,NO
100,32,0.0,NO
101,56,0.5533773242946796,NO
102,61,0.0,NO
103,104,0.48565061001090415,NO
104,155,0.0,NO
105,161,0.0,NO
106,43,0.2881672313029374,NO
107,43,0.2881672313029374,NO
108,95,0.4580201359867662,NO
109,79,0.2459603139110174,NO
110,81,0.0,NO
111,51,0.0,NO
112,103,0.0,NO
113,831,0.03,NO
114,131,0.0,NO
115,36,0.45229363703607706,NO
116,71,0.19206850842553522,NO
117,41,0.0,NO
118,39,0.0,NO
119,345,0.7183887060651768,NO
120,57,0.0,NO
121,47,0.0,NO
122,282,0.0,NO
123,118,0.0,NO
124,68,0.0,NO
125,207,0.0,NO
126,152,0.8554604161188817,NO
127,54,0.16386804542943303,NO
128,57,0.0,YES
129,57,0.0,YES
130,214,0.0,NO
131,157,0.0,NO
132,163,0.0,NO
133,177,0.6522310222457282,NO
134,1105,0.65,YES
135,473,0.10995941558441559,NO
136,115,0.5018048203561696,NO
137,128,0.0,NO
138,436,0.0,NO
139,170,0.0,NO
140,78,0.0,NO
