ID,SIZE,PREDICTED,ACTUAL
0,76,0.32295701776057567,NO
1,72,0.0,NO
2,196,0.0,NO
3,170,0.0,NO
4,120,0.0,NO
5,242,0.0,NO
6,312,0.7079264697385657,NO
7,158,1.0,NO
8,53,0.28754596242322367,NO
9,605,0.0,NO
10,888,0.907779746426639,NO
11,59,0.1309042774349393,NO
12,61,0.16093696037995278,NO
13,162,0.7336015714717786,NO
14,68,0.0,NO
15,146,0.0,NO
16,214,0.0,YES
17,433,0.0,NO
18,72,0.0,NO
19,74,0.3801447519900353,NO
20,327,1.0,NO
21,265,0.0,NO
22,35,0.0,NO
23,554,0.0,NO
24,297,0.0,NO
25,45,0.1209736558030234,NO
26,420,0.0,NO
27,181,0.0,NO
28,129,0.0,NO
29,61,0.16093696037995278,NO
30,65,0.0,NO
31,161,0.0,NO
32,244,0.0,NO
33,382,0.01,NO
34,49,0.0,NO
35,41,0.0,NO
36,97,0.0,NO
37,1562,0.4086363636363636,YES
38,964,0.10764880952380952,YES
39,46,0.2358761154983286,NO
40,465,0.0,NO
41,408,0.2841050149891815,YES
42,221,0.4606498427552555,NO
43,460,0.0,NO
44,198,0.52868265834252,YES
45,346,0.17953128340258703,NO
46,332,0.0,NO
47,53,0.28754596242322367,NO
48,147,0.456577673850234,NO
49,47,0.0,NO
50,260,0.9341459487102612,NO
51,82,0.14985628181284177,NO
52,131,0.4535598049201046,NO
53,409,0.7053988025294039,YES
54,159,0.0,NO
55,902,0.0,NO
56,43,0.3342864204200099,NO
57,206,0.0,NO
58,58,0.0,NO
59,112,0.0,NO
60,167,0.31613854321921997,NO
61,36,0.39962468322654254,NO
62,84,0.0,NO
63,36,0.39962468322654254,NO
64,201,0.4310464020940874,NO
65,43,0.3342864204200099,NO
66,49,0.0,NO
67,73,0.0,NO
68,75,0.0,NO
69,174,0.0,NO
70,190,0.7397554225265022,NO
71,131,0.4535598049201046,NO
72,95,0.430960556669563,NO
73,160,0.0,NO
74,193,0.5952279053274478,NO
75,109,0.0,NO
76,70,0.1757008441245502,NO
77,220,0.0,NO
78,63,0.2868354134139483,NO
79,46,0.2358761154983286,NO
80,54,0.24282420349785497,NO
81,70,0.1757008441245502,NO
82,44,0.0,NO
83,51,0.17237688908071588,NO
84,207,0.5766691752344405,NO
85,78,0.0,NO
86,59,0.1309042774349393,NO
87,56,0.5229675687004827,NO
88,44,0.0,NO
89,224,0.0,NO
90,119,0.5286534558028378,NO
91,113,0.0,NO
92,192,0.0,NO
93,83,0.0,NO
94,213,0.46263021699381907,NO
95,175,0.5573640274475169,NO
96,47,0.0,NO
97,230,0.0,NO
98,47,0.0,NO
99,93,0.0,NO
100,47,0.0,NO
101,57,0.0,NO
102,155,0.0,NO
103,167,0.31613854321921997,NO
104,65,0.0,NO
105,65,0.0,NO
106,45,0.1209736558030234,NO
107,513,1.0,NO
108,47,0.0,NO
109,32,0.0,NO
110,56,0.5229675687004827,NO
111,61,0.16093696037995278,NO
112,104,0.6357430527144813,NO
113,164,0.0,NO
114,119,0.5286534558028378,NO
115,155,0.0,NO
116,161,0.0,NO
117,43,0.3342864204200099,NO
118,43,0.3342864204200099,NO
119,95,0.430960556669563,NO
120,79,0.41759928950470554,NO
121,81,0.0,NO
122,51,0.17237688908071588,NO
123,158,0.0,NO
124,103,0.0,NO
125,1019,1.0,NO
126,149,0.9029734280316135,NO
127,36,0.39962468322654254,NO
128,71,0.18029459896791555,NO
129,41,0.0,NO
130,39,0.0,NO
131,345,0.820418226502443,NO
132,227,0.0,NO
133,57,0.0,NO
134,47,0.0,NO
135,282,0.4830763424804255,NO
136,118,0.0,NO
137,68,0.0,NO
138,207,0.5766691752344405,NO
139,152,0.7923876486919939,NO
140,54,0.24282420349785497,NO
141,57,0.0,YES
142,57,0.0,YES
143,214,0.0,NO
144,85,0.0,NO
145,127,0.0,NO
146,157,0.0,NO
147,183,0.0,NO
148,177,0.7559562247999135,NO
149,93,0.0,NO
150,89,0.2504311466693315,NO
151,1102,1.0,YES
152,494,0.0,NO
153,115,0.5340655665888169,NO
154,128,0.39428960691496984,NO
155,436,0.0,NO
156,170,0.0,NO
157,78,0.0,NO
158,85,0.0,NO
159,1245,1.0,NO
160,425,0.0,YES
161,257,0.0,NO
162,87,0.2088358024734881,NO
163,46,0.2358761154983286,NO
164,72,0.0,NO
165,67,0.33691899541489523,NO
166,164,0.0,NO
167,91,0.0,NO
168,307,0.7409411386577042,NO
169,775,0.0,NO
170,1866,0.21196693738377553,NO
171,1357,0.03,YES
172,71,0.18029459896791555,NO
173,1143,0.07,NO
174,142,0.0,NO
175,167,0.31613854321921997,NO
