ID,SIZE,PREDICTED,ACTUAL
0,76,0.01,NO
1,72,0.0,NO
2,196,0.17,NO
3,170,0.0,NO
4,120,0.0,NO
5,65,0.0,NO
6,103,0.0,NO
7,96,0.0,NO
8,221,0.51,YES
9,312,1.0,NO
10,151,0.61,NO
11,53,0.0,NO
12,605,0.0,NO
13,852,0.36,YES
14,51,0.0,NO
15,61,0.0,NO
16,162,0.0,NO
17,68,0.0,NO
18,138,0.0,NO
19,219,0.74,YES
20,369,0.12,NO
21,262,0.0,NO
22,35,0.0,NO
23,546,0.0,NO
24,263,0.0,NO
25,45,0.0,NO
26,129,0.0,NO
27,61,0.0,NO
28,172,0.0,NO
29,210,0.0,NO
30,348,0.2,NO
31,49,0.0,NO
32,41,0.0,NO
33,97,0.0,NO
34,1387,0.62,NO
35,653,0.0,NO
36,46,0.07749084695833923,NO
37,458,0.0,NO
38,371,0.16,YES
39,221,0.0,NO
40,460,0.0,NO
41,171,0.12,NO
42,47,0.0,NO
43,131,0.2791666666666666,NO
44,80,0.0,NO
45,131,0.0,NO
46,323,0.2016666666666667,YES
47,159,0.0,NO
48,701,0.1,YES
49,43,0.04655842890862746,NO
50,203,0.14,NO
51,54,0.0,NO
52,84,0.0,NO
53,166,0.36,NO
54,36,0.09216612962201197,NO
55,84,0.0,NO
56,36,0.09216612962201197,NO
57,197,0.01,NO
58,43,0.04655842890862746,NO
59,49,0.0,NO
60,73,0.0,NO
61,75,0.0,NO
62,131,0.0,NO
63,94,0.0,NO
64,148,0.0,NO
65,193,0.11,NO
66,109,0.0,NO
67,70,0.0,NO
68,220,0.0,NO
69,63,0.0,NO
70,46,0.07749084695833923,NO
71,54,0.0,NO
72,70,0.0,NO
73,43,0.04655842890862746,NO
74,51,0.0,NO
75,207,0.0,NO
76,78,0.0,NO
77,59,0.0,NO
78,56,0.10944202855967564,NO
79,44,0.04,NO
80,224,0.02,NO
81,119,0.0,NO
82,113,0.0,NO
83,83,0.0,NO
84,210,0.0,NO
85,175,0.08,NO
86,47,0.0,NO
87,224,0.02,NO
88,47,0.0,NO
89,93,0.0,NO
90,47,0.0,NO
91,144,0.0,NO
92,167,0.0,NO
93,65,0.0,NO
94,65,0.0,NO
95,45,0.0,NO
96,401,0.35,NO
97,47,0.0,NO
98,32,0.0,NO
99,56,0.10944202855967564,NO
100,61,0.0,NO
101,104,0.0,NO
102,155,0.0,NO
103,145,0.0,NO
104,43,0.04655842890862746,NO
105,43,0.04655842890862746,NO
106,95,0.0,NO
107,79,0.136423449916097,NO
108,81,0.0,NO
109,51,0.0,NO
110,103,0.0,NO
111,826,0.86,YES
112,131,0.0,NO
113,36,0.09216612962201197,NO
114,71,0.10712771787036494,NO
115,41,0.0,NO
116,39,0.0,NO
117,345,0.04,YES
118,57,0.0,NO
119,43,0.04655842890862746,NO
120,282,0.0,NO
121,118,0.0,NO
122,64,0.0,NO
123,207,0.0,NO
124,140,0.0,NO
125,54,0.0,NO
126,53,0.0,NO
127,53,0.0,NO
128,198,0.04,NO
129,150,0.04,NO
130,147,0.0,NO
131,177,0.4380238095238095,NO
132,989,0.61,NO
133,414,0.0,YES
134,115,0.0,NO
135,128,0.0,NO
136,436,0.0,NO
137,170,0.0,NO
138,78,0.0,NO
139,85,0.0,NO
140,1028,0.26,YES
141,333,0.04,YES
142,247,0.19366666666666668,NO
143,87,0.0,NO
144,46,0.07749084695833923,NO
145,72,0.0,NO
146,67,0.06990534031671804,NO
147,164,0.25,NO
148,91,0.0,NO
149,307,0.10683333333333332,NO
150,773,0.03,NO
151,1772,0.02,YES
152,1254,0.03,YES
153,71,0.10712771787036494,NO
154,1137,0.07,NO
155,142,0.19,NO
156,167,0.0,NO
157,63,0.0,NO
158,230,0.0,NO
159,611,0.0,NO
160,138,0.0,NO
161,37,0.0,NO
162,163,0.0,NO
163,2214,0.02,NO
164,96,0.0,NO
165,152,0.0,YES
166,136,0.26358730158730154,NO
167,69,0.65332980456273,NO
168,104,0.0,NO
169,269,0.0,NO
170,544,0.0,NO
171,321,0.43,NO
172,379,0.89,NO
173,89,0.0,NO
174,87,0.0,NO
175,82,0.0,NO
176,96,0.0,NO
177,176,0.1235,NO
178,81,0.0,NO
179,61,0.0,NO
180,76,0.01,NO
181,51,0.0,NO
182,62,0.0,NO
183,83,0.0,NO
184,66,0.0,NO
185,127,0.0,NO
186,51,0.0,NO
187,266,0.0,NO
188,133,0.0,NO
189,183,0.07,NO
190,1578,0.02,YES
191,172,0.0,NO
192,95,0.0,NO
193,68,0.0,NO
194,136,0.26358730158730154,NO
195,250,0.02,NO
196,404,0.0,NO
197,243,0.01,NO
198,313,0.01,NO
199,260,0.0,NO
200,87,0.0,NO
201,98,0.0,NO
202,163,0.71,NO
203,99,0.0,NO
204,152,0.0,NO
205,231,0.0,NO
206,422,0.0,NO
207,194,0.0,NO
208,176,0.1235,NO
209,107,0.0,YES
210,96,0.0,YES
211,113,0.0,NO
212,83,0.0,YES
213,261,0.0,NO
214,89,0.0,NO
215,58,0.0,NO
216,54,0.0,NO
217,55,0.0,NO
218,75,0.0,NO
219,49,0.0,NO
220,84,0.0,NO
221,403,0.0,NO
222,87,0.0,NO
223,97,0.0,NO
224,96,0.0,NO
225,862,0.0,YES
226,290,0.12,NO
227,170,0.0,NO
228,170,0.0,NO
229,375,0.91,NO
230,218,0.0,NO
231,342,0.02,NO
232,270,0.0,NO
233,330,0.03,NO
234,521,0.0,YES
235,259,0.0,NO
236,169,0.04,NO
237,77,0.02,NO
238,57,0.0,NO
239,59,0.0,NO
240,124,0.0,NO
241,133,0.0,NO
242,154,0.0,NO
243,736,0.61,NO
244,308,0.5923333333333333,NO
245,188,0.11,NO
246,298,0.0,NO
247,110,0.0,NO
248,151,0.02,NO
249,106,0.0,NO
250,741,0.0,NO
251,85,0.0,NO
252,194,0.01,NO
253,187,0.26,NO
254,80,0.0,NO
255,85,0.0,NO
256,45,0.0,NO
257,263,0.0,NO
258,42,0.0,NO
259,939,0.17,NO
260,468,0.07,NO
261,65,0.0,NO
262,81,0.0,NO
263,1518,0.1,NO
264,235,0.0,NO
265,209,0.0,NO
266,185,0.0,NO
267,692,0.01,YES
268,496,0.0,NO
269,56,0.10944202855967564,YES
270,605,0.0,NO
271,446,0.0,NO
272,104,0.0,YES
273,853,0.0,YES
274,154,0.0,YES
275,95,0.0,YES
276,45,0.0,NO
277,38,0.04369594243654696,NO
278,793,0.77,YES
279,4118,0.94,YES
280,615,0.0,YES
281,96,0.0,YES
282,174,0.02,NO
283,61,0.0,NO
284,162,0.0,NO
285,228,0.01,YES
286,316,0.02,NO
287,261,0.0,NO
288,118,0.0,NO
289,115,0.0,NO
290,192,0.07,NO
291,406,0.0,NO
292,42,0.0,NO
293,80,0.0,NO
294,939,0.09,NO
295,536,0.0,NO
296,198,0.04,YES
297,1114,0.61,YES
298,127,0.0,NO
299,395,0.0,YES
300,437,0.0,NO
301,38,0.04369594243654696,NO
302,575,0.0,NO
303,490,0.0,YES
304,523,0.0,NO
305,953,0.01,YES
306,74,0.14067118992118988,NO
307,257,0.0,NO
308,644,0.0,YES
309,115,0.0,YES
310,46,0.07749084695833923,NO
311,63,0.0,NO
312,241,0.91,NO
313,191,0.27,NO
314,697,0.68,NO
315,138,0.0,NO
316,2906,0.14,NO
317,36,0.09216612962201197,NO
318,302,0.0,NO
319,65,0.0,NO
320,152,0.43,NO
321,123,0.0,NO
322,280,0.1,NO
323,216,0.0,NO
324,119,0.22,NO
325,147,0.0,NO
326,520,0.0,NO
327,112,0.0,NO
328,90,0.0,NO
329,91,0.0,NO
330,88,0.0,NO
331,87,0.0,NO
332,67,0.06990534031671804,NO
333,92,0.06,NO
334,238,0.0,NO
335,121,0.0,NO
336,162,0.0,YES
337,160,0.0,NO
338,181,0.21,NO
339,74,0.8,NO
340,48,0.1525706793206794,NO
341,1482,0.47,NO
342,1420,0.38,NO
343,43,0.04655842890862746,NO
344,143,0.2,NO
345,66,0.5981666666666667,NO
346,95,0.0,NO
347,140,0.0,NO
348,49,0.0,NO
349,455,0.0,NO
350,322,0.3631666666666668,NO
351,58,0.0,NO
352,153,0.0,NO
353,140,0.0,NO
354,267,0.0,NO
355,77,0.02,NO
356,90,0.0,NO
357,35,0.0,NO
358,255,0.0,NO
359,148,0.14,NO
360,248,0.52,NO
361,725,0.29,NO
362,348,0.2,NO
363,219,0.0,NO
364,65,0.0,NO
365,33,0.0,NO
366,138,0.0,NO
367,655,0.03,NO
368,469,0.65,NO
369,67,0.06990534031671804,NO
370,52,0.0,NO
371,33,0.0,NO
372,41,0.0,NO
373,259,0.0,YES
374,94,0.0,NO
375,79,0.136423449916097,NO
376,69,0.65332980456273,NO
377,191,0.27,YES
378,61,0.0,NO
379,402,0.0,YES
380,82,0.0,NO
381,1479,0.04,NO
382,31,0.0,NO
383,620,0.0,NO
384,30,0.0,NO
385,28,0.0,NO
386,141,0.0,NO
387,536,0.0,NO
388,75,0.0,NO
389,27,0.0,NO
390,75,0.0,NO
391,28,0.0,NO
392,1077,0.06,NO
393,4386,0.65,YES
394,276,0.0,NO
395,272,0.0,NO
396,94,0.0,NO
397,188,0.11,NO
398,353,0.15,YES
399,698,0.0,YES
400,31,0.0,NO
401,286,0.0,NO
402,108,0.0,NO
403,70,0.0,NO
404,73,0.0,NO
405,37,0.0,NO
406,100,0.0,NO
407,36,0.09216612962201197,NO
408,56,0.10944202855967564,NO
409,53,0.0,NO
410,35,0.0,NO
411,53,0.0,NO
412,38,0.04369594243654696,NO
413,38,0.04369594243654696,NO
414,37,0.0,NO
415,48,0.7063010853082302,NO
416,73,0.0,NO
417,42,0.0,NO
418,43,0.04655842890862746,NO
419,275,0.01,NO
420,42,0.0,NO
421,188,0.11,NO
422,588,0.0,NO
423,31,0.0,NO
424,38,0.04369594243654696,NO
425,107,0.0,NO
