ID,SIZE,PREDICTED,ACTUAL
0,56,0.4205696051024999,NO
1,45,0.0,NO
2,45,0.0,NO
3,97,0.05733333333333332,NO
4,43,0.26374027279909634,NO
5,76,0.22451984126984126,NO
6,76,0.22451984126984126,NO
7,72,0.0,NO
8,196,0.11233333333333334,NO
9,170,0.0,NO
10,120,0.015,NO
11,242,0.32,NO
12,312,0.61,NO
13,158,0.01,NO
14,53,0.08298243423243425,NO
15,632,1.0,NO
16,937,0.91,NO
17,87,0.17474025974025972,NO
18,61,0.0,NO
19,162,0.6625555555555555,NO
20,68,0.0044444444444444444,NO
21,39,0.0,NO
22,911,0.31,NO
23,56,0.4205696051024999,NO
24,213,0.487901334776335,NO
25,484,0.4468333333333333,NO
26,86,0.01125,NO
27,311,0.61,NO
28,359,0.14,NO
29,146,0.19024999999999997,NO
30,215,0.8407554112554112,NO
31,437,0.68,NO
32,72,0.0,NO
33,74,0.5106981131613486,NO
34,358,0.82,YES
35,265,0.99,NO
36,35,0.0,NO
37,555,0.11,NO
38,297,0.73,NO
39,45,0.0,NO
40,378,0.9733333333333333,NO
41,180,0.7083333333333335,NO
42,128,0.0,NO
43,61,0.0,NO
44,65,0.0,NO
45,161,0.054166666666666655,NO
46,244,0.13666666666666666,NO
47,448,0.06,NO
48,54,0.13504145854145855,NO
49,41,0.0,NO
50,107,0.0,NO
51,1721,0.75,YES
52,1068,0.94,NO
53,46,0.07587120962972357,NO
54,465,0.16,NO
55,136,0.37752380952380954,NO
56,423,0.18,YES
57,221,0.07416666666666666,NO
58,460,0.03,NO
59,215,0.72,NO
60,57,0.7803838180391721,NO
61,418,0.9,NO
62,440,0.99,NO
63,53,0.08298243423243425,NO
64,163,0.07425000000000001,NO
65,47,0.12200527087291786,NO
66,307,0.48333333333333334,NO
67,82,0.0,NO
68,130,0.4991666666666666,NO
69,406,1.0,NO
70,158,0.01,NO
71,966,0.99,YES
72,43,0.26374027279909634,NO
73,206,0.02,NO
74,58,0.0,NO
75,121,0.028999999999999998,NO
76,167,0.34542857142857136,NO
77,36,0.3236928798325857,NO
78,84,0.0,NO
79,36,0.3236928798325857,NO
80,214,0.6570887445887447,NO
81,43,0.26374027279909634,NO
82,49,0.0,NO
83,73,0.0,NO
84,75,0.5559745400798033,NO
85,192,0.0,NO
86,192,0.0,NO
87,142,0.0036666666666666675,NO
88,95,0.28588095238095246,NO
89,160,0.02,NO
90,193,0.0,NO
91,109,0.0,NO
92,70,0.3268889721389721,NO
93,235,0.33,NO
94,62,0.013666666666666669,NO
95,46,0.07587120962972357,NO
96,95,0.28588095238095246,NO
97,85,0.0,NO
98,62,0.0,NO
99,62,0.0,NO
100,51,0.0,NO
101,211,0.6008571428571429,NO
102,78,0.0028571428571428567,NO
103,59,0.0,NO
104,56,0.4205696051024999,NO
105,44,0.28639885114885094,NO
106,224,0.0095,NO
107,125,1.0,NO
108,117,0.002,NO
109,211,0.6008571428571429,NO
110,83,0.0,NO
111,213,0.487901334776335,NO
112,174,0.37666666666666665,NO
113,47,0.12200527087291786,NO
114,230,0.02,NO
115,47,0.12200527087291786,NO
116,93,0.0,NO
117,47,0.12200527087291786,NO
118,57,0.7803838180391721,NO
119,155,0.0,NO
120,167,0.34542857142857136,NO
121,65,0.0,NO
122,65,0.0,NO
123,45,0.0,NO
124,518,0.87,NO
125,47,0.12200527087291786,NO
126,32,0.0,NO
127,56,0.4205696051024999,NO
128,61,0.0,NO
129,146,0.19024999999999997,NO
130,166,0.37042857142857144,NO
131,134,0.005,NO
132,162,0.6625555555555555,NO
133,161,0.054166666666666655,NO
134,43,0.26374027279909634,NO
135,43,0.26374027279909634,NO
136,99,0.0,NO
137,79,0.19539285714285715,NO
138,81,0.0,NO
139,51,0.0,NO
140,177,0.3945,NO
141,103,0.09483333333333335,NO
142,1157,0.98,NO
143,156,0.01,NO
144,36,0.3236928798325857,NO
145,71,0.11601276501276502,NO
146,41,0.0,NO
147,39,0.0,NO
148,418,0.4575000000000001,NO
149,245,0.07328571428571429,NO
150,57,0.7803838180391721,NO
151,47,0.12200527087291786,NO
152,289,0.74,NO
153,118,0.053809523809523814,NO
154,68,0.0044444444444444444,NO
155,250,0.06333333333333335,NO
156,152,0.9954545454545455,NO
157,54,0.13504145854145855,NO
158,61,0.0,NO
159,61,0.0,NO
160,214,0.6570887445887447,NO
161,97,0.05733333333333332,NO
162,127,0.01,NO
163,165,0.8731428571428572,NO
164,189,0.13,NO
165,184,0.41347619047619055,NO
166,93,0.0,NO
167,89,0.0,NO
168,1104,0.97,YES
169,581,0.3,NO
170,115,0.2911927239427239,NO
171,129,0.0,NO
172,436,0.68,NO
173,166,0.37042857142857144,NO
174,78,0.0028571428571428567,NO
175,85,0.0,NO
176,1357,1.0,YES
177,458,0.01,NO
178,257,0.8490000000000001,NO
179,96,0.2402142857142857,NO
180,50,0.1233886946386946,NO
181,83,0.0,YES
182,74,0.5106981131613486,NO
183,163,0.46414285714285725,NO
184,91,0.003333333333333333,NO
185,410,0.5307142857142858,NO
186,886,0.95,NO
187,1908,0.93,NO
188,1571,0.67,YES
189,74,0.5106981131613486,NO
190,1146,0.97,YES
191,142,0.0036666666666666675,NO
192,221,0.07416666666666666,NO
193,63,0.0,NO
194,230,0.02,NO
195,629,0.07,NO
196,138,0.005285714285714287,NO
197,37,0.0,NO
198,163,0.07425000000000001,NO
199,2218,0.94,NO
200,112,0.91,NO
201,282,0.0,NO
202,136,0.37752380952380954,NO
203,69,0.2588644966144967,NO
204,104,0.2255793650793651,NO
205,278,0.0,NO
206,568,0.67,NO
207,390,0.11,NO
208,379,0.91,YES
209,169,0.015,NO
210,87,0.33,YES
211,82,0.0,NO
212,96,0.2402142857142857,NO
213,184,0.41347619047619055,NO
214,81,0.0,NO
215,61,0.0,NO
216,77,0.0125,NO
217,63,0.0,NO
218,74,0.5106981131613486,NO
219,95,0.28588095238095246,NO
220,78,0.0028571428571428567,NO
221,130,0.0,NO
222,63,0.0,NO
223,359,0.14,YES
224,138,0.005285714285714287,NO
225,191,0.0,NO
226,1651,1.0,NO
227,303,0.8925,NO
228,99,0.0,NO
229,120,0.015,NO
230,69,0.2588644966144967,NO
231,141,0.009333333333333332,NO
232,281,0.0,NO
233,418,0.4575000000000001,NO
234,248,0.40811904761904755,NO
235,450,0.02,NO
236,277,0.01,NO
237,86,0.0,NO
238,110,0.010833333333333334,NO
239,178,0.7083333333333335,NO
240,99,0.0,NO
241,152,0.9954545454545455,NO
242,231,0.33,NO
243,422,0.9425,NO
244,224,0.0095,NO
245,333,1.0,NO
246,108,0.0,YES
247,97,0.05733333333333332,YES
248,114,0.2871927239427239,NO
249,84,0.0,YES
250,269,0.7156666666666667,NO
251,109,0.0,NO
252,41,0.0,NO
253,89,0.0,NO
254,58,0.0,NO
255,54,0.13504145854145855,NO
256,55,0.011704545454545454,NO
257,75,0.54,YES
258,49,0.0,NO
259,178,0.14916666666666667,NO
260,410,0.5307142857142858,NO
261,87,0.17474025974025972,NO
262,97,0.05733333333333332,NO
263,115,0.2911927239427239,NO
264,1094,0.97,YES
265,290,0.12,NO
266,201,0.5053333333333333,NO
267,200,0.09000000000000001,NO
268,538,0.0,NO
269,228,0.6532142857142856,YES
270,374,0.9531135253635253,YES
271,286,0.01,NO
272,333,1.0,NO
273,604,0.08,YES
274,264,1.0,NO
275,169,0.015,NO
276,77,0.0125,NO
277,57,0.7803838180391721,NO
278,60,0.33182359307359294,NO
279,136,0.37752380952380954,NO
280,133,0.0,NO
281,155,0.0,NO
282,111,0.3227474747474747,NO
283,886,0.94,YES
284,309,0.20916666666666667,NO
285,243,0.74,YES
286,333,1.0,NO
287,110,0.010833333333333334,NO
288,227,0.6532142857142856,NO
289,106,0.006666666666666666,NO
290,952,0.99,NO
291,102,0.009523809523809523,NO
292,215,0.8407554112554112,NO
293,192,0.0,YES
294,111,0.3227474747474747,YES
295,93,0.0,NO
296,45,0.0,NO
297,340,1.0,NO
298,42,0.29193481436863783,NO
299,1076,0.14,YES
300,582,0.3,YES
301,65,0.0,NO
302,81,0.0,NO
303,1536,0.29,YES
304,242,0.32,NO
305,263,1.0,NO
306,227,0.6532142857142856,YES
307,910,0.31,YES
308,508,0.99,NO
309,87,0.17474025974025972,YES
310,618,0.83,NO
311,446,0.27,NO
312,122,0.4766666666666666,YES
313,908,0.31,NO
314,157,0.86,YES
315,84,0.0,NO
316,45,0.0,NO
317,38,0.15567573320736577,NO
318,1028,0.92,YES
319,5397,1.0,YES
320,661,0.42,NO
321,155,0.61,NO
322,175,0.015,NO
323,495,1.0,YES
324,186,0.9059523809523811,NO
325,235,0.33,YES
326,326,0.715,NO
327,392,0.98,NO
328,325,0.365,NO
329,140,0.25870190920190916,NO
330,118,0.053809523809523814,NO
331,213,0.487901334776335,NO
332,406,0.37,NO
333,42,0.29193481436863783,NO
334,105,0.016285714285714285,NO
335,988,1.0,NO
336,561,0.67,NO
337,458,0.97,YES
338,1288,0.99,YES
339,140,0.25870190920190916,NO
340,857,1.0,YES
341,462,0.2,NO
342,38,0.15567573320736577,NO
343,612,0.96,NO
344,519,0.65,NO
345,523,0.03,NO
346,977,0.98,YES
347,74,0.5106981131613486,NO
348,294,0.22,NO
349,728,0.43,NO
350,155,0.0,NO
351,160,0.67,NO
352,46,0.07587120962972357,NO
353,63,0.0,NO
354,325,0.6505,YES
355,191,0.0,NO
356,740,1.0,NO
357,154,0.41018439893439895,NO
358,3264,1.0,YES
